r,g,b,a
0.0,0.0,0.0,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.43529412,0.43529412,0.43529412,3.0
0.42745098,0.42745098,0.42745098,3.0
0.42745098,0.42745098,0.42745098,3.0
0.42745098,0.42745098,0.42745098,3.0
0.42352942,0.42352942,0.42352942,3.0
0.42352942,0.42352942,0.42352942,3.0
0.42352942,0.42352942,0.42352942,3.0
0.41568628,0.41568628,0.41568628,3.0
0.41568628,0.41568628,0.41568628,3.0
0.40784314,0.40784314,0.40784314,3.0
0.4,0.4,0.4,3.0
0.39215687,0.39215687,0.39215687,3.0
0.39215687,0.39215687,0.39215687,3.0
0.3882353,0.3882353,0.3882353,3.0
0.37254903,0.37254903,0.37254903,3.0
0.3647059,0.3647059,0.3647059,3.0
0.36078432,0.36078432,0.36078432,3.0
0.34509805,0.34509805,0.34509805,3.0
0.33333334,0.33333334,0.33333334,3.0
0.31764707,0.31764707,0.31764707,3.0
0.3019608,0.3019608,0.3019608,3.0
0.2901961,0.2901961,0.2901961,3.0
0.27058825,0.27058825,0.27058825,3.0
0.24705882,0.24705882,0.24705882,3.0
0.22745098,0.22745098,0.22745098,3.0
0.2,0.2,0.2,3.0
0.17254902,0.17254902,0.17254902,3.0
0.14509805,0.14509805,0.14509805,3.0
0.10980392,0.10980392,0.10980392,3.0
0.07450981,0.07450981,0.07450981,3.0
0.039215688,0.039215688,0.039215688,3.0
0.0,0.0,0.0,3.0
0.019607844,0.0,0.0,3.0
0.043137256,0.0,0.0,3.0
0.06666667,0.0,0.0,3.0
0.09019608,0.0,0.0,3.0
0.10980392,0.0,0.0,3.0
0.13333334,0.0,0.0,3.0
0.15686275,0.0,0.0,3.0
0.18039216,0.0,0.0,3.0
0.20392157,0.0,0.0,3.0
0.22352941,0.0,0.0,3.0
0.24705882,0.0,0.0,3.0
0.27058825,0.0,0.0,3.0
0.29411766,0.0,0.0,3.0
0.31764707,0.0,0.0,3.0
0.3372549,0.0,0.0,3.0
0.36078432,0.0,0.0,3.0
0.38431373,0.0,0.0,3.0
0.40784314,0.0,0.0,3.0
0.43137255,0.0,0.0,3.0
0.4509804,0.0,0.0,3.0
0.48235294,0.0,0.0,3.0
0.5019608,0.0,0.0,3.0
0.5254902,0.0,0.0,3.0
0.54901963,0.0,0.0,3.0
0.59607846,0.0,0.0,3.0
0.6156863,0.0,0.0,3.0
0.6392157,0.0,0.0,3.0
0.6627451,0.0,0.0,3.0
0.6862745,0.003921569,0.0,3.0
0.70980394,0.03529412,0.0,3.0
0.7294118,0.06666667,0.0,3.0
0.7529412,0.09411765,0.0,3.0
0.7764706,0.1254902,0.0,3.0
0.8,0.15294118,0.0,3.0
0.8235294,0.18431373,0.0,3.0
0.84313726,0.21176471,0.0,3.0
0.8666667,0.24313726,0.0,3.0
0.8901961,0.27058825,0.0,3.0
0.9137255,0.3019608,0.0,3.0
0.9372549,0.33333334,0.0,3.0
0.9647059,0.36862746,0.0,3.0
0.9882353,0.4,0.0,3.0
1.0,0.42745098,0.0,3.0
1.0,0.45882353,0.0,3.0
1.0,0.4862745,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.54509807,0.05882353,3.0
1.0,0.5764706,0.12156863,3.0
1.0,0.6039216,0.18431373,3.0
1.0,0.63529414,0.24313726,3.0
1.0,0.6666667,0.30588236,3.0
1.0,0.69411767,0.36862746,3.0
1.0,0.7254902,0.42745098,3.0
1.0,0.7529412,0.49019608,3.0
1.0,0.78431374,0.5529412,3.0
1.0,0.8117647,0.6117647,3.0
1.0,0.84313726,0.6745098,3.0
1.0,0.87058824,0.7372549,3.0
1.0,0.9019608,0.8,3.0
1.0,0.93333334,0.85882354,3.0
1.0,0.9607843,0.92156863,3.0
1.0,1.0,1.0,3.0
