r,g,b,a
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.03137255,0.03137255,0.03137255,3.0
0.039215688,0.039215688,0.039215688,3.0
0.05490196,0.05490196,0.05490196,3.0
0.07058824,0.07058824,0.07058824,3.0
0.08627451,0.08627451,0.08627451,3.0
0.101960786,0.101960786,0.101960786,3.0
0.11764706,0.11764706,0.11764706,3.0
0.13333334,0.13333334,0.13333334,3.0
0.14901961,0.14901961,0.14901961,3.0
0.16470589,0.16470589,0.16470589,3.0
0.18039216,0.18039216,0.18039216,3.0
0.19607843,0.19607843,0.19607843,3.0
0.21176471,0.21176471,0.21176471,3.0
0.22745098,0.22745098,0.22745098,3.0
0.24313726,0.24313726,0.24313726,3.0
0.25882354,0.25882354,0.25882354,3.0
0.27450982,0.27450982,0.27450982,3.0
0.2901961,0.2901961,0.2901961,3.0
0.30588236,0.30588236,0.30588236,3.0
0.32156864,0.32156864,0.32156864,3.0
0.3372549,0.3372549,0.3372549,3.0
0.3529412,0.3529412,0.3529412,3.0
0.36862746,0.36862746,0.36862746,3.0
0.38431373,0.38431373,0.38431373,3.0
0.4,0.4,0.4,3.0
0.41568628,0.41568628,0.41568628,3.0
0.42745098,0.42745098,0.42745098,3.0
0.43529412,0.43529412,0.43529412,3.0
0.44313726,0.44313726,0.44313726,3.0
0.4509804,0.4509804,0.4509804,3.0
0.45882353,0.45882353,0.45882353,3.0
0.46666667,0.46666667,0.46666667,3.0
0.4745098,0.4745098,0.4745098,3.0
0.48235294,0.48235294,0.48235294,3.0
0.49019608,0.49019608,0.49019608,3.0
0.49803922,0.49803922,0.49803922,3.0
0.5058824,0.5058824,0.5058824,3.0
0.5137255,0.5137255,0.5137255,3.0
0.52156866,0.52156866,0.52156866,3.0
0.5294118,0.5294118,0.5294118,3.0
0.5372549,0.5372549,0.5372549,3.0
0.54509807,0.54509807,0.54509807,3.0
0.5529412,0.5529412,0.5529412,3.0
0.56078434,0.56078434,0.56078434,3.0
0.5686275,0.5686275,0.5686275,3.0
0.5764706,0.5764706,0.5764706,3.0
0.58431375,0.58431375,0.58431375,3.0
0.5921569,0.5921569,0.5921569,3.0
0.6,0.6,0.6,3.0
0.60784316,0.60784316,0.60784316,3.0
0.6156863,0.6156863,0.6156863,3.0
0.62352943,0.62352943,0.62352943,3.0
0.6313726,0.6313726,0.6313726,3.0
0.6392157,0.6392157,0.6392157,3.0
0.64705884,0.64705884,0.64705884,3.0
0.654902,0.654902,0.654902,3.0
0.6627451,0.6627451,0.6627451,3.0
0.67058825,0.67058825,0.67058825,3.0
0.6784314,0.6784314,0.6784314,3.0
0.6862745,0.6862745,0.6862745,3.0
0.69411767,0.69411767,0.69411767,3.0
0.7019608,0.7019608,0.7019608,3.0
0.70980394,0.70980394,0.70980394,3.0
0.7176471,0.7176471,0.7176471,3.0
0.7254902,0.7254902,0.7254902,3.0
0.73333335,0.73333335,0.73333335,3.0
0.7411765,0.7411765,0.7411765,3.0
0.7490196,0.7490196,0.7490196,3.0
0.75686276,0.75686276,0.75686276,3.0
0.7647059,0.7647059,0.7647059,3.0
0.0,0.0,1.0,3.0
0.0,0.0,1.0,3.0
0.0,0.0,1.0,3.0
0.0,0.0,1.0,3.0
0.0,0.0,1.0,3.0
0.0,1.0,0.0,3.0
0.0,1.0,0.0,3.0
0.0,1.0,0.0,3.0
0.0,1.0,0.0,3.0
0.0,1.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,3.0
