r,g,b,a
1.0,1.0,1.0,1.0
1.0,0.972549019608,0.972549019608,1.0
1.0,0.945098039216,0.952941176471,1.0
1.0,0.921568627451,0.929411764706,1.0
1.0,0.894117647059,0.913725490196,1.0
1.0,0.870588235294,0.894117647059,1.0
1.0,0.843137254902,0.878431372549,1.0
1.0,0.819607843137,0.866666666667,1.0
1.0,0.792156862745,0.854901960784,1.0
1.0,0.76862745098,0.847058823529,1.0
1.0,0.741176470588,0.839215686275,1.0
1.0,0.717647058824,0.835294117647,1.0
1.0,0.690196078431,0.83137254902,1.0
1.0,0.666666666667,0.827450980392,1.0
1.0,0.639215686275,0.827450980392,1.0
1.0,0.611764705882,0.83137254902,1.0
1.0,0.588235294118,0.835294117647,1.0
1.0,0.560784313725,0.839215686275,1.0
1.0,0.537254901961,0.847058823529,1.0
1.0,0.509803921569,0.854901960784,1.0
1.0,0.486274509804,0.866666666667,1.0
1.0,0.458823529412,0.878431372549,1.0
1.0,0.435294117647,0.894117647059,1.0
1.0,0.407843137255,0.913725490196,1.0
1.0,0.38431372549,0.929411764706,1.0
1.0,0.356862745098,0.952941176471,1.0
1.0,0.329411764706,0.972549019608,1.0
1.0,0.305882352941,0.996078431373,1.0
0.972549019608,0.278431372549,1.0,1.0
0.945098039216,0.254901960784,1.0,1.0
0.913725490196,0.227450980392,1.0,1.0
0.882352941176,0.203921568627,1.0,1.0
0.850980392157,0.176470588235,1.0,1.0
0.811764705882,0.152941176471,1.0,1.0
0.776470588235,0.125490196078,1.0,1.0
0.737254901961,0.101960784314,1.0,1.0
0.698039215686,0.0745098039216,1.0,1.0
0.654901960784,0.0509803921569,1.0,1.0
0.607843137255,0.0235294117647,1.0,1.0
0.043137254902,0.0,1.0,1.0
0.043137254902,0.0,0.964705882353,1.0
0.043137254902,0.0,0.929411764706,1.0
0.0392156862745,0.0,0.898039215686,1.0
0.0392156862745,0.0,0.862745098039,1.0
0.0392156862745,0.0,0.83137254902,1.0
0.0352941176471,0.0,0.796078431373,1.0
0.0352941176471,0.0,0.764705882353,1.0
0.0313725490196,0.0,0.729411764706,1.0
0.0313725490196,0.0,0.698039215686,1.0
0.0313725490196,0.0,0.662745098039,1.0
0.0274509803922,0.0,0.63137254902,1.0
0.0274509803922,0.0,0.596078431373,1.0
0.0235294117647,0.0,0.564705882353,1.0
0.0235294117647,0.0,0.529411764706,1.0
0.0,1.0,0.0,1.0
0.0,0.952941176471,0.0,1.0
0.0,0.905882352941,0.0,1.0
0.0,0.862745098039,0.0,1.0
0.0,0.81568627451,0.0,1.0
0.0,0.76862745098,0.0,1.0
0.0,0.725490196078,0.0,1.0
0.0,0.678431372549,0.0,1.0
0.0,0.63137254902,0.0,1.0
0.0,0.588235294118,0.0,1.0
0.0,0.541176470588,0.0,1.0
0.0,0.494117647059,0.0,1.0
0.0,0.878431372549,0.925490196078,1.0
0.0,0.811764705882,0.854901960784,1.0
0.0,0.745098039216,0.78431372549,1.0
0.0,0.674509803922,0.709803921569,1.0
0.0,0.607843137255,0.639215686275,1.0
0.0,0.541176470588,0.56862745098,1.0
0.0,0.470588235294,0.498039215686,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.498039215686,0.254901960784,0.0,1.0
0.56862745098,0.290196078431,0.0,1.0
0.639215686275,0.325490196078,0.0,1.0
0.709803921569,0.360784313725,0.0,1.0
0.78431372549,0.4,0.0,1.0
0.854901960784,0.435294117647,0.0,1.0
0.925490196078,0.470588235294,0.0,1.0
0.6,0.588235294118,0.0,1.0
0.635294117647,0.623529411765,0.0,1.0
0.670588235294,0.658823529412,0.0,1.0
0.705882352941,0.694117647059,0.0,1.0
0.745098039216,0.729411764706,0.0,1.0
0.780392156863,0.764705882353,0.0,1.0
0.81568627451,0.8,0.0,1.0
0.850980392157,0.835294117647,0.0,1.0
0.890196078431,0.870588235294,0.0,1.0
0.925490196078,0.905882352941,0.0,1.0
0.960784313725,0.941176470588,0.0,1.0
1.0,0.980392156863,0.0,1.0
0.498039215686,0.0,0.0,1.0
0.529411764706,0.0,0.0,1.0
0.564705882353,0.0,0.0,1.0
0.596078431373,0.0,0.0,1.0
0.63137254902,0.0,0.0,1.0
0.662745098039,0.0,0.0,1.0
0.698039215686,0.0,0.0,1.0
0.729411764706,0.0,0.0,1.0
0.764705882353,0.0,0.0,1.0
0.796078431373,0.0,0.0,1.0
0.83137254902,0.0,0.0,1.0
0.862745098039,0.0,0.0,1.0
0.898039215686,0.0,0.0,1.0
0.929411764706,0.0,0.0,1.0
0.964705882353,0.0,0.0,1.0
1.0,0.0,0.882352941176,1.0
1.0,0.0235294117647,0.862745098039,1.0
1.0,0.0509803921569,0.843137254902,1.0
1.0,0.0745098039216,0.827450980392,1.0
1.0,0.101960784314,0.811764705882,1.0
1.0,0.125490196078,0.796078431373,1.0
1.0,0.152941176471,0.78431372549,1.0
1.0,0.176470588235,0.772549019608,1.0
1.0,0.203921568627,0.760784313725,1.0
1.0,0.227450980392,0.749019607843,1.0
1.0,0.254901960784,0.741176470588,1.0
1.0,0.278431372549,0.733333333333,1.0
1.0,0.305882352941,0.729411764706,1.0
1.0,0.333333333333,0.725490196078,1.0
1.0,0.356862745098,0.717647058824,1.0
1.0,0.38431372549,0.717647058824,1.0
1.0,0.407843137255,0.713725490196,1.0
1.0,0.435294117647,0.713725490196,1.0
1.0,0.458823529412,0.713725490196,1.0
1.0,0.486274509804,0.717647058824,1.0
1.0,0.509803921569,0.721568627451,1.0
1.0,0.537254901961,0.725490196078,1.0
1.0,0.560784313725,0.729411764706,1.0
1.0,0.588235294118,0.737254901961,1.0
1.0,0.611764705882,0.745098039216,1.0
1.0,0.639215686275,0.752941176471,1.0
1.0,0.666666666667,0.764705882353,1.0
1.0,0.690196078431,0.772549019608,1.0
1.0,0.717647058824,0.78431372549,1.0
1.0,0.741176470588,0.8,1.0
1.0,0.76862745098,0.81568627451,1.0
1.0,0.792156862745,0.83137254902,1.0
1.0,0.819607843137,0.847058823529,1.0
1.0,0.843137254902,0.866666666667,1.0
1.0,0.870588235294,0.886274509804,1.0
1.0,0.894117647059,0.905882352941,1.0
1.0,0.921568627451,0.925490196078,1.0
1.0,0.945098039216,0.949019607843,1.0
1.0,0.972549019608,0.972549019608,1.0
