r,g,b,a
0.0,0.0,1.0,1.0
0.0,0.0,0.99607843,1.0
0.0,0.0,0.99607843,0.99607843
0.0,0.0,0.99607843,1.0
0.0,0.0,0.99215686,1.0
0.003921569,0.0,0.99215686,1.0
0.003921569,0.0,0.99215686,1.0
0.003921569,0.0,0.99215686,1.0
0.003921569,0.0,0.9882353,1.0
0.007843138,0.0,0.9882353,1.0
0.007843138,0.0,0.9882353,0.99607843
0.007843138,0.0,0.9882353,1.0
0.007843138,0.0,0.9843137,1.0
0.011764706,0.0,0.9843137,1.0
0.011764706,0.0,0.9843137,1.0
0.011764706,0.0,0.9843137,1.0
0.011764706,0.0,0.98039216,1.0
0.011764706,0.0,0.98039216,1.0
0.015686275,0.0,0.98039216,0.99607843
0.015686275,0.0,0.9764706,1.0
0.015686275,0.0,0.9764706,1.0
0.015686275,0.0,0.9764706,1.0
0.019607844,0.0,0.9764706,1.0
0.019607844,0.0,0.972549,1.0
0.019607844,0.0,0.972549,1.0
0.019607844,0.0,0.972549,1.0
0.023529412,0.0,0.972549,0.99607843
0.023529412,0.0,0.96862745,1.0
0.023529412,0.0,0.96862745,1.0
0.023529412,0.0,0.96862745,0.99607843
0.02745098,0.0,0.96862745,1.0
0.02745098,0.0,0.9647059,1.0
0.02745098,0.0,0.9647059,1.0
0.02745098,0.0,0.9647059,0.99607843
0.02745098,0.0,0.9647059,0.99607843
0.03137255,0.0,0.9607843,1.0
0.03137255,0.0,0.9607843,1.0
0.03137255,0.0,0.9607843,1.0
0.03137255,0.0,0.95686275,1.0
0.03529412,0.0,0.95686275,1.0
0.03529412,0.0,0.95686275,1.0
0.03529412,0.0,0.95686275,1.0
0.03529412,0.0,0.9529412,1.0
0.039215688,0.0,0.9529412,1.0
0.039215688,0.0,0.9529412,1.0
0.039215688,0.0,0.9529412,1.0
0.039215688,0.0,0.9490196,1.0
0.043137256,0.0,0.9490196,1.0
0.043137256,0.0,0.9490196,1.0
0.043137256,0.0,0.9490196,1.0
0.043137256,0.0,0.94509804,1.0
0.043137256,0.0,0.94509804,1.0
0.047058824,0.0,0.94509804,1.0
0.047058824,0.0,0.94509804,1.0
0.047058824,0.0,0.9411765,1.0
0.047058824,0.0,0.9411765,1.0
0.050980393,0.0,0.9411765,1.0
0.050980393,0.0,0.9372549,1.0
0.050980393,0.0,0.9372549,1.0
0.050980393,0.0,0.9372549,1.0
0.05490196,0.0,0.9372549,1.0
0.05490196,0.0,0.93333334,1.0
0.05490196,0.0,0.93333334,1.0
0.05490196,0.0,0.93333334,1.0
0.05882353,0.0,0.93333334,1.0
0.05882353,0.0,0.92941177,1.0
0.05882353,0.0,0.92941177,1.0
0.05882353,0.0,0.92941177,1.0
0.05882353,0.0,0.92941177,1.0
0.0627451,0.0,0.9254902,1.0
0.0627451,0.0,0.9254902,1.0
0.0627451,0.0,0.9254902,1.0
0.0627451,0.0,0.9254902,1.0
0.06666667,0.0,0.92156863,1.0
0.06666667,0.0,0.92156863,1.0
0.06666667,0.0,0.92156863,1.0
0.06666667,0.0,0.91764706,1.0
0.07058824,0.0,0.91764706,1.0
0.07058824,0.0,0.91764706,1.0
0.07058824,0.0,0.91764706,1.0
0.07058824,0.0,0.9137255,1.0
0.07058824,0.0,0.9137255,1.0
0.07450981,0.0,0.9137255,1.0
0.07450981,0.0,0.9137255,1.0
0.07450981,0.0,0.9098039,1.0
0.07450981,0.0,0.9098039,1.0
0.078431375,0.0,0.9098039,1.0
0.078431375,0.0,0.9098039,1.0
0.078431375,0.0,0.90588236,1.0
0.078431375,0.0,0.90588236,1.0
0.08235294,0.0,0.90588236,1.0
0.08235294,0.0,0.9019608,1.0
0.08235294,0.0,0.9019608,1.0
0.08235294,0.0,0.9019608,1.0
0.08627451,0.0,0.9019608,1.0
0.08627451,0.0,0.8980392,1.0
0.08627451,0.0,0.8980392,1.0
0.08627451,0.0,0.8980392,1.0
0.08627451,0.0,0.8980392,1.0
