r,g,b,a
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.011764706,0.011764706,0.011764706,0.050980393
0.023529412,0.023529412,0.023529412,0.105882354
0.03529412,0.03529412,0.03529412,0.15686275
0.047058824,0.047058824,0.047058824,0.21176471
0.0627451,0.0627451,0.0627451,0.2627451
0.07450981,0.07450981,0.07450981,0.31764707
0.08627451,0.08627451,0.08627451,0.36862746
0.09803922,0.09803922,0.09803922,0.41960785
0.10980392,0.10980392,0.10980392,0.4745098
0.12156863,0.12156863,0.12156863,0.5254902
0.13333334,0.13333334,0.13333334,0.5803922
0.14509805,0.14509805,0.14509805,0.6313726
0.15686275,0.15686275,0.15686275,0.68235296
0.16862746,0.16862746,0.16862746,0.7372549
0.18431373,0.18431373,0.18431373,0.7882353
0.19607843,0.19607843,0.19607843,0.84313726
0.20784314,0.20784314,0.20784314,0.89411765
0.21960784,0.21960784,0.21960784,0.9490196
0.23137255,0.23137255,0.23137255,1.0
0.24705882,0.24705882,0.24705882,1.0
0.26666668,0.26666668,0.26666668,1.0
0.28235295,0.28235295,0.28235295,1.0
0.3019608,0.3019608,0.3019608,1.0
0.31764707,0.31764707,0.31764707,1.0
0.3372549,0.3372549,0.3372549,1.0
0.3529412,0.3529412,0.3529412,1.0
0.37254903,0.37254903,0.37254903,1.0
0.3882353,0.3882353,0.3882353,1.0
0.13333334,0.3764706,0.5019608,1.0
0.13333334,0.3882353,0.5176471,1.0
0.13725491,0.40392157,0.53333336,1.0
0.13725491,0.41960785,0.54901963,1.0
0.14117648,0.43137255,0.5647059,1.0
0.14117648,0.44705883,0.58431375,1.0
0.14509805,0.4627451,0.6,1.0
0.14509805,0.4745098,0.6156863,1.0
0.14901961,0.49019608,0.6313726,1.0
0.15294118,0.5058824,0.6509804,1.0
0.15294118,0.52156866,0.6666667,1.0
0.15686275,0.53333336,0.68235296,1.0
0.15686275,0.54901963,0.69803923,1.0
0.16078432,0.5647059,0.7176471,1.0
0.16078432,0.5764706,0.73333335,1.0
0.16470589,0.5921569,0.7490196,1.0
0.16862746,0.60784316,0.7647059,1.0
0.16862746,0.61960787,0.78039217,1.0
0.17254902,0.63529414,0.8,1.0
0.17254902,0.6509804,0.8156863,1.0
0.1764706,0.6666667,0.83137256,1.0
0.1764706,0.6784314,0.84705883,1.0
0.18039216,0.69411767,0.8666667,1.0
0.18431373,0.70980394,0.88235295,1.0
0.18431373,0.72156864,0.8980392,1.0
0.1882353,0.7372549,0.9137255,1.0
0.1882353,0.7529412,0.93333334,1.0
0.19215687,0.7647059,0.9490196,1.0
0.19215687,0.78039217,0.9647059,1.0
0.19607843,0.79607844,0.98039216,1.0
0.011764706,1.0,0.011764706,1.0
0.011764706,0.9843137,0.011764706,1.0
0.011764706,0.96862745,0.011764706,1.0
0.011764706,0.9490196,0.011764706,1.0
0.011764706,0.93333334,0.011764706,1.0
0.011764706,0.9137255,0.011764706,1.0
0.011764706,0.8980392,0.011764706,1.0
0.011764706,0.8784314,0.011764706,1.0
0.011764706,0.8627451,0.011764706,1.0
0.011764706,0.84313726,0.011764706,1.0
0.011764706,0.827451,0.011764706,1.0
0.011764706,0.8117647,0.011764706,1.0
0.011764706,0.7921569,0.011764706,1.0
0.011764706,0.7764706,0.011764706,1.0
0.011764706,0.75686276,0.011764706,1.0
0.011764706,0.7411765,0.011764706,1.0
0.011764706,0.72156864,0.011764706,1.0
0.011764706,0.7058824,0.011764706,1.0
0.011764706,0.6862745,0.011764706,1.0
0.011764706,0.67058825,0.011764706,1.0
0.007843138,0.6509804,0.007843138,1.0
0.007843138,0.63529414,0.007843138,1.0
0.007843138,0.61960787,0.007843138,1.0
0.007843138,0.6,0.007843138,1.0
0.007843138,0.58431375,0.007843138,1.0
0.007843138,0.5647059,0.007843138,1.0
0.007843138,0.54901963,0.007843138,1.0
0.007843138,0.5294118,0.007843138,1.0
0.007843138,0.5137255,0.007843138,1.0
0.007843138,0.49411765,0.007843138,1.0
0.007843138,0.47843137,0.007843138,1.0
0.007843138,0.4627451,0.007843138,1.0
0.007843138,0.44313726,0.007843138,1.0
0.007843138,0.42745098,0.007843138,1.0
0.007843138,0.40784314,0.007843138,1.0
0.007843138,0.39215687,0.007843138,1.0
0.007843138,0.37254903,0.007843138,1.0
0.007843138,0.35686275,0.007843138,1.0
0.007843138,0.3372549,0.007843138,1.0
0.007843138,0.32156864,0.007843138,1.0
1.0,0.8666667,0.011764706,1.0
1.0,0.8509804,0.011764706,1.0
1.0,0.83137256,0.011764706,1.0
1.0,0.8117647,0.011764706,1.0
1.0,0.7921569,0.011764706,1.0
1.0,0.77254903,0.011764706,1.0
1.0,0.7529412,0.011764706,1.0
1.0,0.73333335,0.007843138,1.0
1.0,0.7137255,0.007843138,1.0
1.0,0.69411767,0.007843138,1.0
1.0,0.6745098,0.007843138,1.0
1.0,0.65882355,0.007843138,1.0
1.0,0.6392157,0.007843138,1.0
1.0,0.61960787,0.007843138,1.0
1.0,0.6,0.003921569,1.0
1.0,0.5803922,0.003921569,1.0
1.0,0.56078434,0.003921569,1.0
1.0,0.5411765,0.003921569,1.0
1.0,0.52156866,0.003921569,1.0
1.0,0.5019608,0.003921569,1.0
1.0,0.0,0.0,1.0
0.972549,0.0,0.0,1.0
0.9411765,0.0,0.0,1.0
0.9098039,0.0,0.0,1.0
0.8784314,0.0,0.0,1.0
0.84705883,0.0,0.0,1.0
0.8156863,0.0,0.0,1.0
0.78431374,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.72156864,0.0,0.0,1.0
0.6901961,0.0,0.0,1.0
0.6627451,0.0,0.0,1.0
0.6313726,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.5686275,0.0,0.0,1.0
0.5372549,0.0,0.0,1.0
0.5058824,0.0,0.0,1.0
0.4745098,0.0,0.0,1.0
0.44313726,0.0,0.0,1.0
0.4117647,0.0,0.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.5647059,0.18039216,0.81960785,1.0
0.5647059,0.18039216,0.81960785,1.0
0.5647059,0.18039216,0.81960785,1.0
0.5647059,0.18039216,0.81960785,1.0
0.5647059,0.18039216,0.81960785,1.0
0.5647059,0.18039216,0.81960785,1.0
0.5647059,0.18039216,0.81960785,1.0
0.5647059,0.18039216,0.81960785,1.0
0.5647059,0.18039216,0.81960785,1.0
0.5647059,0.18039216,0.81960785,1.0
1.0,0.12156863,1.0,1.0
1.0,0.12156863,1.0,1.0
1.0,0.12156863,1.0,1.0
1.0,0.12156863,1.0,1.0
1.0,0.12156863,1.0,1.0
1.0,0.12156863,1.0,1.0
1.0,0.12156863,1.0,1.0
1.0,0.12156863,1.0,1.0
1.0,0.12156863,1.0,1.0
1.0,0.12156863,1.0,1.0
1.0,0.0,0.5176471,1.0
1.0,0.0,0.5176471,1.0
