r,g,b,a
1.0,1.0,0.0,1.0
1.0,0.9843137,0.0,1.0
1.0,0.96862745,0.0,1.0
1.0,0.9529412,0.0,1.0
1.0,0.9372549,0.0,1.0
1.0,0.92156863,0.0,1.0
1.0,0.90588236,0.0,1.0
1.0,0.8901961,0.0,1.0
1.0,0.8745098,0.0,1.0
1.0,0.85882354,0.0,1.0
1.0,0.84313726,0.0,1.0
1.0,0.827451,0.0,1.0
1.0,0.8117647,0.0,1.0
1.0,0.79607844,0.0,1.0
1.0,0.78039217,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7490196,0.0,1.0
1.0,0.73333335,0.0,1.0
1.0,0.7176471,0.0,1.0
1.0,0.7019608,0.0,1.0
1.0,0.6862745,0.0,1.0
1.0,0.67058825,0.0,1.0
1.0,0.654902,0.0,1.0
1.0,0.6392157,0.0,1.0
1.0,0.62352943,0.0,1.0
1.0,0.60784316,0.0,1.0
1.0,0.5921569,0.0,1.0
1.0,0.5764706,0.0,1.0
1.0,0.56078434,0.0,1.0
1.0,0.54509807,0.0,1.0
1.0,0.5294118,0.0,1.0
1.0,0.5137255,0.0,1.0
1.0,0.5019608,0.0,1.0
1.0,0.4862745,0.0,1.0
1.0,0.47058824,0.0,1.0
1.0,0.45490196,0.0,1.0
1.0,0.4392157,0.0,1.0
1.0,0.42352942,0.0,1.0
1.0,0.40784314,0.0,1.0
1.0,0.39215687,0.0,1.0
1.0,0.3764706,0.0,1.0
1.0,0.36078432,0.0,1.0
1.0,0.34509805,0.0,1.0
1.0,0.32941177,0.0,1.0
1.0,0.3137255,0.0,1.0
1.0,0.29803923,0.0,1.0
1.0,0.28235295,0.0,1.0
1.0,0.26666668,0.0,1.0
1.0,0.2509804,0.0,1.0
1.0,0.23529412,0.0,1.0
1.0,0.21960784,0.0,1.0
1.0,0.20392157,0.0,1.0
1.0,0.1882353,0.0,1.0
1.0,0.17254902,0.0,1.0
1.0,0.15686275,0.0,1.0
1.0,0.14117648,0.0,1.0
1.0,0.1254902,0.0,1.0
1.0,0.10980392,0.0,1.0
1.0,0.09411765,0.0,1.0
1.0,0.078431375,0.0,1.0
1.0,0.0627451,0.0,1.0
1.0,0.047058824,0.0,1.0
1.0,0.03137255,0.0,1.0
1.0,0.015686275,0.0,1.0
1.0,0.0,0.0,1.0
0.9843137,0.0,0.0,1.0
0.96862745,0.0,0.0,1.0
0.9529412,0.0,0.0,1.0
0.9372549,0.0,0.0,1.0
0.92156863,0.0,0.0,1.0
0.90588236,0.0,0.0,1.0
0.8901961,0.0,0.0,1.0
0.8745098,0.0,0.0,1.0
0.85882354,0.0,0.0,1.0
0.84313726,0.0,0.0,1.0
0.827451,0.0,0.0,1.0
0.8117647,0.0,0.0,1.0
0.79607844,0.0,0.0,1.0
0.78039217,0.0,0.0,1.0
0.7647059,0.0,0.0,1.0
0.7490196,0.0,0.0,1.0
0.73333335,0.0,0.0,1.0
0.7176471,0.0,0.0,1.0
0.7019608,0.0,0.0,1.0
0.6862745,0.0,0.0,1.0
0.67058825,0.0,0.0,1.0
0.654902,0.0,0.0,1.0
0.6392157,0.0,0.0,1.0
0.62352943,0.0,0.0,1.0
0.60784316,0.0,0.0,1.0
0.5921569,0.0,0.0,1.0
0.5764706,0.0,0.0,1.0
0.56078434,0.0,0.0,1.0
0.54509807,0.0,0.0,1.0
0.5294118,0.0,0.0,1.0
0.5137255,0.0,0.0,1.0
0.5019608,0.0,0.0,1.0
0.4862745,0.0,0.0,1.0
0.47058824,0.0,0.0,1.0
0.45490196,0.0,0.0,1.0
0.4392157,0.0,0.0,1.0
0.42352942,0.0,0.0,1.0
0.40784314,0.0,0.0,1.0
0.39215687,0.0,0.0,1.0
0.3764706,0.0,0.0,1.0
0.36078432,0.0,0.0,1.0
0.34509805,0.0,0.0,1.0
0.32941177,0.0,0.0,1.0
0.3137255,0.0,0.0,1.0
0.29803923,0.0,0.0,1.0
0.28235295,0.0,0.0,1.0
0.26666668,0.0,0.0,1.0
0.2509804,0.0,0.0,1.0
0.23529412,0.0,0.0,1.0
0.21960784,0.0,0.0,1.0
0.20392157,0.0,0.0,1.0
0.1882353,0.0,0.0,1.0
0.17254902,0.0,0.0,1.0
0.15686275,0.0,0.0,1.0
0.14117648,0.0,0.0,1.0
