r,g,b,a
0.0,0.0,0.0,0.0
0.141176,0.129412,0.0,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.035294,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.4,0.027451,1.0
0.039216,0.890196,0.027451,1.0
0.039216,0.890196,0.027451,1.0
0.039216,0.890196,0.027451,1.0
0.039216,0.890196,0.027451,1.0
0.039216,0.890196,0.027451,1.0
0.039216,0.890196,0.027451,1.0
