r,g,b,a
0.11764706,0.11764706,0.19607843,1.0
0.11764706,0.11764706,0.2,1.0
0.12156863,0.12156863,0.2,1.0
0.12156863,0.12156863,0.20392157,1.0
0.1254902,0.12156863,0.20392157,1.0
0.1254902,0.12156863,0.20784314,1.0
0.1254902,0.1254902,0.20784314,1.0
0.12941177,0.1254902,0.21176471,1.0
0.12941177,0.1254902,0.21176471,1.0
0.12941177,0.1254902,0.21568628,1.0
0.13333334,0.12941177,0.21568628,1.0
0.13333334,0.12941177,0.21960784,1.0
0.13725491,0.12941177,0.21960784,1.0
0.13725491,0.12941177,0.22352941,1.0
0.13725491,0.13333334,0.22352941,1.0
0.14117648,0.13333334,0.22745098,1.0
0.14117648,0.13333334,0.22745098,1.0
0.14509805,0.13333334,0.23137255,1.0
0.14509805,0.13725491,0.23137255,1.0
0.14509805,0.13725491,0.23529412,1.0
0.14901961,0.13725491,0.23529412,1.0
0.14901961,0.13725491,0.23921569,1.0
0.14901961,0.14117648,0.23921569,1.0
0.15294118,0.14117648,0.24313726,1.0
0.15294118,0.14117648,0.24313726,1.0
0.15686275,0.14117648,0.24705882,1.0
0.15686275,0.14509805,0.24705882,1.0
0.15686275,0.14509805,0.2509804,1.0
0.16078432,0.14509805,0.2509804,1.0
0.16078432,0.14509805,0.25490198,1.0
0.16470589,0.14901961,0.25490198,1.0
0.16470589,0.14901961,0.25882354,1.0
0.16470589,0.14901961,0.25882354,1.0
0.16862746,0.14901961,0.2627451,1.0
0.16862746,0.15294118,0.2627451,1.0
0.16862746,0.15294118,0.26666668,1.0
0.17254902,0.15294118,0.26666668,1.0
0.17254902,0.15294118,0.27058825,1.0
0.1764706,0.15686275,0.27450982,1.0
0.18039216,0.16470589,0.28627452,1.0
0.18039216,0.16862746,0.29411766,1.0
0.18431373,0.1764706,0.30588236,1.0
0.1882353,0.18039216,0.3137255,1.0
0.1882353,0.1882353,0.3254902,1.0
0.19215687,0.19215687,0.33333334,1.0
0.19607843,0.2,0.34509805,1.0
0.19607843,0.20784314,0.3529412,1.0
0.2,0.21176471,0.3647059,1.0
0.20392157,0.21960784,0.37254903,1.0
0.20392157,0.22352941,0.38431373,1.0
0.20784314,0.23137255,0.39215687,1.0
0.21176471,0.23529412,0.40392157,1.0
0.21176471,0.24313726,0.4117647,1.0
0.21568628,0.2509804,0.42352942,1.0
0.21960784,0.25490198,0.43137255,1.0
0.21960784,0.2627451,0.44313726,1.0
0.22352941,0.26666668,0.4509804,1.0
0.22745098,0.27450982,0.4627451,1.0
0.22745098,0.2784314,0.47058824,1.0
0.23137255,0.28627452,0.48235294,1.0
0.23529412,0.29411766,0.49019608,1.0
0.23529412,0.29803923,0.5019608,1.0
0.23921569,0.30588236,0.50980395,1.0
0.23921569,0.30980393,0.52156866,1.0
0.24313726,0.31764707,0.5294118,1.0
0.24705882,0.3254902,0.5411765,1.0
0.24705882,0.32941177,0.54901963,1.0
0.2509804,0.3372549,0.56078434,1.0
0.25490198,0.34117648,0.5686275,1.0
0.25490198,0.34901962,0.5803922,1.0
0.25882354,0.3529412,0.5882353,1.0
0.2627451,0.36078432,0.6,1.0
0.2627451,0.36862746,0.60784316,1.0
0.26666668,0.37254903,0.61960787,1.0
0.27058825,0.38039216,0.627451,1.0
0.27058825,0.38431373,0.6392157,1.0
0.27450982,0.39215687,0.64705884,1.0
0.2784314,0.39607844,0.65882355,1.0
0.2784314,0.40392157,0.6666667,1.0
0.28235295,0.4117647,0.6784314,1.0
0.28627452,0.41568628,0.6862745,1.0
0.28627452,0.42352942,0.69803923,1.0
0.2901961,0.42745098,0.7058824,1.0
0.29411766,0.43529412,0.7176471,1.0
0.29411766,0.4392157,0.7254902,1.0
0.29803923,0.44705883,0.7372549,1.0
0.30588236,0.45490196,0.7411765,1.0
0.31764707,0.4627451,0.74509805,1.0
0.3254902,0.47058824,0.7490196,1.0
0.3372549,0.47843137,0.7529412,1.0
0.34509805,0.48235294,0.7529412,1.0
0.3529412,0.49019608,0.75686276,1.0
0.3647059,0.49803922,0.7607843,1.0
0.37254903,0.5058824,0.7647059,1.0
0.38039216,0.5137255,0.76862746,1.0
0.39215687,0.52156866,0.77254903,1.0
