r,g,b,a
1.0,1.0,1.0,0.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.65882355,0.87058824,0.972549,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.3019608,0.57254905,0.8,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
0.28627452,0.6745098,0.4,1.0
