r,g,b,a
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
0.8039216,0.9254902,0.9843137,1.0
0.8039216,0.9254902,0.9843137,1.0
0.59607846,0.8392157,0.9607843,1.0
0.59607846,0.8392157,0.9607843,1.0
0.59607846,0.8392157,0.9607843,1.0
0.59607846,0.8392157,0.9607843,1.0
0.42745098,0.6862745,0.8666667,1.0
0.42745098,0.6862745,0.8666667,1.0
0.42745098,0.6862745,0.8666667,1.0
0.42745098,0.6862745,0.8666667,1.0
0.28235295,0.57254905,0.7372549,1.0
0.28235295,0.57254905,0.7372549,1.0
0.28235295,0.57254905,0.7372549,1.0
0.28235295,0.57254905,0.7372549,1.0
0.28627452,0.6509804,0.47058824,1.0
0.28627452,0.6509804,0.47058824,1.0
0.28627452,0.6509804,0.47058824,1.0
0.28627452,0.6509804,0.47058824,1.0
0.28627452,0.6509804,0.47058824,1.0
0.28627452,0.6509804,0.47058824,1.0
0.28627452,0.6509804,0.47058824,1.0
0.28627452,0.6509804,0.47058824,1.0
0.4,0.7411765,0.2901961,1.0
0.4,0.7411765,0.2901961,1.0
0.4,0.7411765,0.2901961,1.0
0.4,0.7411765,0.2901961,1.0
0.4,0.7411765,0.2901961,1.0
0.4,0.7411765,0.2901961,1.0
0.4,0.7411765,0.2901961,1.0
0.4,0.7411765,0.2901961,1.0
0.75686276,0.84313726,0.33333334,1.0
0.75686276,0.84313726,0.33333334,1.0
0.75686276,0.84313726,0.33333334,1.0
0.75686276,0.84313726,0.33333334,1.0
0.75686276,0.84313726,0.33333334,1.0
0.75686276,0.84313726,0.33333334,1.0
0.75686276,0.84313726,0.33333334,1.0
0.75686276,0.84313726,0.33333334,1.0
0.9764706,0.8156863,0.32156864,1.0
0.9764706,0.8156863,0.32156864,1.0
0.9764706,0.8156863,0.32156864,1.0
0.9764706,0.8156863,0.32156864,1.0
0.9764706,0.8156863,0.32156864,1.0
0.9764706,0.8156863,0.32156864,1.0
0.9764706,0.8156863,0.32156864,1.0
0.9764706,0.8156863,0.32156864,1.0
0.9764706,0.8156863,0.32156864,1.0
0.9764706,0.8156863,0.32156864,1.0
0.9647059,0.56078434,0.21960784,1.0
0.9647059,0.56078434,0.21960784,1.0
0.9647059,0.56078434,0.21960784,1.0
0.9647059,0.56078434,0.21960784,1.0
0.9647059,0.56078434,0.21960784,1.0
