r,g,b,a
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.580392,0.607843,0.709804,1.0
0.572549,0.603922,0.709804,1.0
0.560784,0.596078,0.705882,1.0
0.552941,0.588235,0.705882,1.0
0.541176,0.580392,0.701961,1.0
0.533333,0.572549,0.701961,1.0
0.521569,0.564706,0.698039,1.0
0.513725,0.556863,0.694118,1.0
0.501961,0.552941,0.694118,1.0
0.494118,0.545098,0.690196,1.0
0.482353,0.537255,0.690196,1.0
0.470588,0.529412,0.686275,1.0
0.462745,0.521569,0.686275,1.0
0.45098,0.513725,0.682353,1.0
0.443137,0.505882,0.678431,1.0
0.431373,0.498039,0.678431,1.0
0.423529,0.494118,0.67451,1.0
0.411765,0.486275,0.67451,1.0
0.403922,0.478431,0.670588,1.0
0.392157,0.470588,0.666667,1.0
0.384314,0.462745,0.666667,1.0
0.372549,0.454902,0.662745,1.0
0.360784,0.447059,0.662745,1.0
0.352941,0.439216,0.658824,1.0
0.341176,0.435294,0.658824,1.0
0.333333,0.427451,0.654902,1.0
0.321569,0.419608,0.65098,1.0
0.313725,0.411765,0.65098,1.0
0.301961,0.403922,0.647059,1.0
0.294118,0.396078,0.647059,1.0
0.270588,0.380392,0.639216,1.0
0.270588,0.392157,0.639216,1.0
0.27451,0.407843,0.643137,1.0
0.278431,0.419608,0.643137,1.0
0.278431,0.435294,0.647059,1.0
0.282353,0.45098,0.647059,1.0
0.286275,0.462745,0.65098,1.0
0.290196,0.478431,0.654902,1.0
0.290196,0.494118,0.654902,1.0
0.294118,0.505882,0.658824,1.0
0.298039,0.521569,0.658824,1.0
0.298039,0.537255,0.662745,1.0
0.301961,0.54902,0.666667,1.0
0.305882,0.564706,0.666667,1.0
0.309804,0.580392,0.670588,1.0
0.309804,0.592157,0.670588,1.0
0.313725,0.607843,0.67451,1.0
0.317647,0.623529,0.678431,1.0
0.317647,0.635294,0.678431,1.0
0.321569,0.65098,0.682353,1.0
0.32549,0.666667,0.682353,1.0
0.329412,0.678431,0.686275,1.0
0.329412,0.694118,0.690196,1.0
0.333333,0.709804,0.690196,1.0
0.337255,0.721569,0.694118,1.0
0.337255,0.737255,0.694118,1.0
0.341176,0.752941,0.698039,1.0
0.345098,0.764706,0.701961,1.0
0.34902,0.780392,0.701961,1.0
0.34902,0.796078,0.705882,1.0
0.352941,0.807843,0.705882,1.0
0.360784,0.839216,0.713725,1.0
0.356863,0.831373,0.701961,1.0
0.34902,0.823529,0.686275,1.0
0.341176,0.811765,0.67451,1.0
0.337255,0.803922,0.658824,1.0
0.329412,0.792157,0.647059,1.0
0.321569,0.784314,0.631373,1.0
0.317647,0.772549,0.619608,1.0
0.309804,0.764706,0.603922,1.0
0.301961,0.752941,0.592157,1.0
0.298039,0.745098,0.576471,1.0
0.290196,0.737255,0.564706,1.0
0.282353,0.72549,0.54902,1.0
0.278431,0.717647,0.537255,1.0
0.270588,0.705882,0.521569,1.0
0.262745,0.698039,0.509804,1.0
0.258824,0.686275,0.494118,1.0
0.25098,0.678431,0.482353,1.0
0.243137,0.666667,0.466667,1.0
0.239216,0.658824,0.454902,1.0
0.231373,0.65098,0.439216,1.0
0.223529,0.639216,0.427451,1.0
0.219608,0.631373,0.411765,1.0
0.211765,0.619608,0.4,1.0
0.203922,0.611765,0.384314,1.0
0.2,0.6,0.372549,1.0
0.192157,0.592157,0.356863,1.0
0.184314,0.580392,0.345098,1.0
0.180392,0.572549,0.329412,1.0
0.172549,0.560784,0.317647,1.0
0.164706,0.552941,0.301961,1.0
0.160784,0.545098,0.290196,1.0
0.152941,0.533333,0.27451,1.0
0.145098,0.52549,0.262745,1.0
0.141176,0.513725,0.247059,1.0
0.133333,0.505882,0.235294,1.0
