r,g,b,a
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.81960785,0.92156863,0.81960785,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.95686275,0.9490196,0.34117648,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.9647059,0.5882353,0.19607843,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.8235294,0.078431375,0.09803922,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
0.54509807,0.09803922,0.5686275,1.0
