r,g,b,a
0.4,0.4,0.4,1.0
1.0,1.0,1.0,1.0
1.0,0.992156862745,1.0,1.0
1.0,0.98431372549,1.0,1.0
1.0,0.976470588235,1.0,1.0
1.0,0.96862745098,1.0,1.0
1.0,0.960784313725,1.0,1.0
1.0,0.952941176471,1.0,1.0
1.0,0.945098039216,1.0,1.0
1.0,0.937254901961,1.0,1.0
1.0,0.925490196078,1.0,1.0
1.0,0.917647058824,1.0,1.0
1.0,0.909803921569,1.0,1.0
1.0,0.901960784314,1.0,1.0
1.0,0.890196078431,1.0,1.0
1.0,0.882352941176,1.0,1.0
1.0,0.874509803922,1.0,1.0
1.0,0.866666666667,1.0,1.0
1.0,0.854901960784,1.0,1.0
1.0,0.847058823529,1.0,1.0
1.0,0.835294117647,1.0,1.0
1.0,0.827450980392,1.0,1.0
1.0,0.81568627451,1.0,1.0
1.0,0.807843137255,1.0,1.0
1.0,0.796078431373,1.0,1.0
1.0,0.788235294118,1.0,1.0
1.0,0.776470588235,1.0,1.0
1.0,0.76862745098,1.0,1.0
1.0,0.756862745098,1.0,1.0
1.0,0.745098039216,1.0,1.0
1.0,0.733333333333,1.0,1.0
1.0,0.725490196078,1.0,1.0
1.0,0.713725490196,1.0,1.0
1.0,0.701960784314,1.0,1.0
1.0,0.690196078431,1.0,1.0
1.0,0.678431372549,1.0,1.0
1.0,0.666666666667,1.0,1.0
1.0,0.654901960784,1.0,1.0
1.0,0.643137254902,1.0,1.0
1.0,0.63137254902,1.0,1.0
1.0,0.61568627451,1.0,1.0
1.0,0.603921568627,1.0,1.0
1.0,0.592156862745,1.0,1.0
1.0,0.576470588235,1.0,1.0
1.0,0.564705882353,1.0,1.0
1.0,0.549019607843,1.0,1.0
1.0,0.533333333333,1.0,1.0
1.0,0.517647058824,1.0,1.0
1.0,0.501960784314,1.0,1.0
1.0,0.486274509804,1.0,1.0
1.0,0.470588235294,1.0,1.0
1.0,0.454901960784,1.0,1.0
1.0,0.435294117647,1.0,1.0
1.0,0.41568627451,1.0,1.0
1.0,0.396078431373,1.0,1.0
1.0,0.376470588235,1.0,1.0
1.0,0.356862745098,1.0,1.0
1.0,0.333333333333,1.0,1.0
1.0,0.305882352941,1.0,1.0
1.0,0.282352941176,1.0,1.0
1.0,0.250980392157,1.0,1.0
1.0,0.21568627451,1.0,1.0
1.0,0.176470588235,1.0,1.0
1.0,0.125490196078,1.0,1.0
1.0,0.0,1.0,1.0
0.996078431373,0.0666666666667,0.996078431373,1.0
0.992156862745,0.0941176470588,0.992156862745,1.0
0.98431372549,0.117647058824,0.98431372549,1.0
0.980392156863,0.137254901961,0.980392156863,1.0
0.972549019608,0.152941176471,0.972549019608,1.0
0.96862745098,0.164705882353,0.96862745098,1.0
0.960784313725,0.180392156863,0.960784313725,1.0
0.956862745098,0.192156862745,0.956862745098,1.0
0.949019607843,0.203921568627,0.949019607843,1.0
0.945098039216,0.21568627451,0.945098039216,1.0
0.941176470588,0.227450980392,0.941176470588,1.0
0.933333333333,0.235294117647,0.933333333333,1.0
0.929411764706,0.247058823529,0.929411764706,1.0
0.921568627451,0.254901960784,0.921568627451,1.0
0.913725490196,0.262745098039,0.913725490196,1.0
0.909803921569,0.274509803922,0.909803921569,1.0
0.901960784314,0.282352941176,0.901960784314,1.0
0.898039215686,0.290196078431,0.898039215686,1.0
0.890196078431,0.298039215686,0.890196078431,1.0
0.886274509804,0.305882352941,0.886274509804,1.0
0.878431372549,0.313725490196,0.878431372549,1.0
0.870588235294,0.321568627451,0.870588235294,1.0
0.866666666667,0.329411764706,0.866666666667,1.0
0.858823529412,0.333333333333,0.858823529412,1.0
0.854901960784,0.341176470588,0.854901960784,1.0
0.847058823529,0.349019607843,0.847058823529,1.0
0.839215686275,0.356862745098,0.839215686275,1.0
0.835294117647,0.360784313725,0.835294117647,1.0
0.827450980392,0.36862745098,0.827450980392,1.0
0.819607843137,0.372549019608,0.819607843137,1.0
0.81568627451,0.380392156863,0.81568627451,1.0
0.807843137255,0.388235294118,0.807843137255,1.0
0.8,0.392156862745,0.8,1.0
0.792156862745,0.4,0.792156862745,1.0
0.788235294118,0.403921568627,0.788235294118,1.0
0.780392156863,0.411764705882,0.780392156863,1.0
0.772549019608,0.41568627451,0.772549019608,1.0
