r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.7372549,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
1.0,0.70980394,1.0,1.0
