r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.50980395,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,0.7647059,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7647059,0.0,1.0
0.7254902,0.32156864,0.1764706,1.0
0.7254902,0.32156864,0.1764706,1.0
0.7254902,0.32156864,0.1764706,1.0
0.7254902,0.32156864,0.1764706,1.0
0.7254902,0.32156864,0.1764706,1.0
