r,g,b,a
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.039215688,1.0,1.0
0.0,0.078431375,1.0,1.0
0.0,0.12156863,1.0,1.0
0.0,0.16078432,1.0,1.0
0.0,0.2,1.0,1.0
0.0,0.23921569,1.0,1.0
0.0,0.2784314,1.0,1.0
0.0,0.32156864,1.0,1.0
0.0,0.36078432,1.0,1.0
0.0,0.4,1.0,1.0
0.0,0.4392157,1.0,1.0
0.0,0.47843137,1.0,1.0
0.0,0.52156866,1.0,1.0
0.0,0.56078434,1.0,1.0
0.0,0.6,1.0,1.0
0.0,0.6392157,1.0,1.0
0.0,0.6784314,1.0,1.0
0.0,0.72156864,1.0,1.0
0.0,0.7607843,1.0,1.0
0.0,0.8,1.0,1.0
0.0,0.8392157,1.0,1.0
0.0,0.8784314,1.0,1.0
0.0,0.92156863,1.0,1.0
0.0,0.9607843,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,0.9607843,1.0
0.0,1.0,0.92156863,1.0
0.0,1.0,0.8784314,1.0
0.0,1.0,0.8392157,1.0
0.0,1.0,0.8,1.0
0.0,1.0,0.7607843,1.0
0.0,1.0,0.72156864,1.0
0.0,1.0,0.6784314,1.0
0.0,1.0,0.6392157,1.0
0.0,1.0,0.6,1.0
0.0,1.0,0.56078434,1.0
0.0,1.0,0.52156866,1.0
0.0,1.0,0.47843137,1.0
0.0,1.0,0.4392157,1.0
0.0,1.0,0.4,1.0
0.0,1.0,0.36078432,1.0
0.0,1.0,0.32156864,1.0
0.0,1.0,0.2784314,1.0
0.0,1.0,0.23921569,1.0
0.0,1.0,0.2,1.0
0.0,1.0,0.16078432,1.0
0.0,1.0,0.12156863,1.0
0.0,1.0,0.078431375,1.0
0.0,1.0,0.039215688,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.043137256,1.0,0.0,1.0
0.08235294,1.0,0.0,1.0
0.1254902,1.0,0.0,1.0
0.16862746,1.0,0.0,1.0
0.20784314,1.0,0.0,1.0
0.2509804,1.0,0.0,1.0
0.2901961,1.0,0.0,1.0
0.33333334,1.0,0.0,1.0
0.3764706,1.0,0.0,1.0
0.41568628,1.0,0.0,1.0
0.45882353,1.0,0.0,1.0
0.5019608,1.0,0.0,1.0
0.5411765,1.0,0.0,1.0
0.58431375,1.0,0.0,1.0
0.62352943,1.0,0.0,1.0
0.6666667,1.0,0.0,1.0
0.70980394,1.0,0.0,1.0
0.7490196,1.0,0.0,1.0
0.7921569,1.0,0.0,1.0
