r,g,b,a
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.00392157,0.0,0.0,1.0
0.00392157,0.0,0.0,1.0
0.00392157,0.0,0.0,1.0
0.00784314,0.0,0.0,1.0
0.00784314,0.0,0.0,1.0
0.0117647,0.0,0.0,1.0
0.0156863,0.0,0.0,1.0
0.0156863,0.0,0.0,1.0
0.0196078,0.0,0.0,1.0
0.0196078,0.0,0.0,1.0
0.0235294,0.0,0.0,1.0
0.027451,0.0,0.0,1.0
0.0313725,0.0,0.0,1.0
0.0352941,0.0,0.0,1.0
0.0392157,0.0,0.0,1.0
0.0431373,0.0,0.0,1.0
0.0470588,0.0,0.0,1.0
0.0509804,0.0,0.0,1.0
0.054902,0.0,0.0,1.0
0.0588235,0.00392157,0.0,1.0
0.0666667,0.00392157,0.0,1.0
0.0705882,0.00392157,0.0,1.0
0.0745098,0.00392157,0.0,1.0
0.0784314,0.00392157,0.0,1.0
0.0862745,0.00392157,0.0,1.0
0.0901961,0.00392157,0.0,1.0
0.0980392,0.00392157,0.0,1.0
0.101961,0.00392157,0.0,1.0
0.109804,0.00392157,0.0,1.0
0.113725,0.00784314,0.0,1.0
0.121569,0.00784314,0.0,1.0
0.129412,0.00784314,0.0,1.0
0.133333,0.00784314,0.0,1.0
0.141176,0.00784314,0.0,1.0
0.14902,0.00784314,0.0,1.0
0.156863,0.00784314,0.0,1.0
0.160784,0.00784314,0.0,1.0
0.168627,0.0117647,0.0,1.0
0.176471,0.0117647,0.0,1.0
0.184314,0.0117647,0.0,1.0
0.192157,0.0117647,0.0,1.0
0.196078,0.0117647,0.0,1.0
0.207843,0.0117647,0.0,1.0
0.215686,0.0156863,0.0,1.0
0.223529,0.0156863,0.0,1.0
0.231373,0.0156863,0.0,1.0
0.239216,0.0156863,0.0,1.0
0.25098,0.0156863,0.0,1.0
0.258824,0.0196078,0.0,1.0
0.266667,0.0196078,0.0,1.0
0.27451,0.0196078,0.0,1.0
0.282353,0.0196078,0.0,1.0
0.290196,0.0196078,0.0,1.0
0.298039,0.0196078,0.0,1.0
0.309804,0.0235294,0.0,1.0
0.321569,0.0235294,0.0,1.0
0.329412,0.0235294,0.0,1.0
0.341176,0.0235294,0.0,1.0
0.34902,0.027451,0.0,1.0
0.356863,0.027451,0.0,1.0
0.368627,0.027451,0.0,1.0
0.376471,0.027451,0.0,1.0
0.388235,0.0313725,0.0,1.0
0.396078,0.0313725,0.0,1.0
0.407843,0.0313725,0.0,1.0
0.415686,0.0352941,0.0,1.0
0.423529,0.0352941,0.0,1.0
0.431373,0.0352941,0.0,1.0
0.443137,0.0392157,0.0,1.0
0.454902,0.0392157,0.0,1.0
0.462745,0.0392157,0.0,1.0
0.47451,0.0431373,0.0,1.0
0.486275,0.0431373,0.0,1.0
0.498039,0.0431373,0.0,1.0
0.501961,0.0431373,0.0,1.0
0.513725,0.0470588,0.0,1.0
0.52549,0.0470588,0.0,1.0
0.537255,0.0509804,0.0,1.0
0.541176,0.0509804,0.0,1.0
0.552941,0.0509804,0.0,1.0
0.564706,0.054902,0.0,1.0
0.576471,0.054902,0.0,1.0
0.584314,0.0588235,0.0,1.0
0.596078,0.0588235,0.0,1.0
0.607843,0.0588235,0.0,1.0
0.611765,0.0627451,0.0,1.0
0.627451,0.0627451,0.0,1.0
0.631373,0.0666667,0.0,1.0
0.643137,0.0666667,0.0,1.0
0.658824,0.0705882,0.0,1.0
0.662745,0.0705882,0.0,1.0
0.67451,0.0705882,0.0,1.0
0.682353,0.0745098,0.0,1.0
0.694118,0.0745098,0.0,1.0
0.701961,0.0784314,0.0,1.0
0.713725,0.0784314,0.00392157,1.0
0.721569,0.0823529,0.00392157,1.0
0.737255,0.0862745,0.00392157,1.0
0.741176,0.0862745,0.00392157,1.0
0.74902,0.0901961,0.00392157,1.0
0.764706,0.0901961,0.00392157,1.0
0.768627,0.0901961,0.00392157,1.0
0.776471,0.0941176,0.00392157,1.0
0.792157,0.0980392,0.00392157,1.0
0.796078,0.0980392,0.00392157,1.0
0.803922,0.101961,0.00784314,1.0
0.819608,0.105882,0.00784314,1.0
0.827451,0.105882,0.00784314,1.0
0.831373,0.109804,0.00784314,1.0
0.839216,0.113725,0.00784314,1.0
0.847059,0.113725,0.00784314,1.0
0.862745,0.117647,0.0117647,1.0
0.870588,0.121569,0.0117647,1.0
0.878431,0.121569,0.0117647,1.0
0.882353,0.12549,0.0117647,1.0
0.890196,0.129412,0.0156863,1.0
0.898039,0.129412,0.0156863,1.0
0.905882,0.133333,0.0156863,1.0
0.913725,0.137255,0.0156863,1.0
0.921569,0.141176,0.0196078,1.0
0.929412,0.141176,0.0196078,1.0
0.937255,0.145098,0.0196078,1.0
0.945098,0.14902,0.0196078,1.0
0.952941,0.152941,0.0235294,1.0
0.960784,0.156863,0.0235294,1.0
0.968627,0.156863,0.0235294,1.0
0.976471,0.160784,0.027451,1.0
0.984314,0.164706,0.027451,1.0
0.992157,0.168627,0.027451,1.0
1.0,0.172549,0.0313725,1.0
1.0,0.172549,0.0313725,1.0
1.0,0.176471,0.0352941,1.0
1.0,0.180392,0.0352941,1.0
1.0,0.184314,0.0392157,1.0
1.0,0.188235,0.0392157,1.0
1.0,0.192157,0.0431373,1.0
1.0,0.196078,0.0431373,1.0
1.0,0.196078,0.0431373,1.0
1.0,0.2,0.0470588,1.0
1.0,0.203922,0.0509804,1.0
1.0,0.207843,0.0509804,1.0
1.0,0.211765,0.054902,1.0
1.0,0.219608,0.0588235,1.0
1.0,0.223529,0.0588235,1.0
1.0,0.227451,0.0627451,1.0
1.0,0.231373,0.0666667,1.0
1.0,0.235294,0.0666667,1.0
1.0,0.239216,0.0705882,1.0
1.0,0.243137,0.0745098,1.0
1.0,0.247059,0.0745098,1.0
1.0,0.25098,0.0784314,1.0
1.0,0.258824,0.0823529,1.0
1.0,0.262745,0.0862745,1.0
1.0,0.266667,0.0901961,1.0
1.0,0.270588,0.0901961,1.0
1.0,0.27451,0.0980392,1.0
1.0,0.278431,0.0980392,1.0
1.0,0.282353,0.101961,1.0
1.0,0.290196,0.105882,1.0
1.0,0.294118,0.109804,1.0
1.0,0.298039,0.113725,1.0
1.0,0.301961,0.117647,1.0
1.0,0.309804,0.121569,1.0
1.0,0.317647,0.129412,1.0
1.0,0.321569,0.129412,1.0
1.0,0.32549,0.137255,1.0
1.0,0.329412,0.141176,1.0
1.0,0.333333,0.145098,1.0
1.0,0.341176,0.14902,1.0
1.0,0.34902,0.156863,1.0
1.0,0.352941,0.160784,1.0
1.0,0.356863,0.164706,1.0
1.0,0.364706,0.172549,1.0
1.0,0.372549,0.176471,1.0
1.0,0.376471,0.180392,1.0
1.0,0.380392,0.188235,1.0
1.0,0.388235,0.196078,1.0
1.0,0.392157,0.196078,1.0
1.0,0.4,0.203922,1.0
1.0,0.407843,0.211765,1.0
1.0,0.411765,0.219608,1.0
1.0,0.415686,0.223529,1.0
1.0,0.427451,0.231373,1.0
1.0,0.431373,0.239216,1.0
1.0,0.439216,0.247059,1.0
1.0,0.443137,0.25098,1.0
1.0,0.454902,0.258824,1.0
1.0,0.458824,0.266667,1.0
1.0,0.462745,0.27451,1.0
1.0,0.47451,0.282353,1.0
1.0,0.478431,0.290196,1.0
1.0,0.486275,0.294118,1.0
1.0,0.490196,0.301961,1.0
1.0,0.501961,0.313725,1.0
1.0,0.505882,0.321569,1.0
1.0,0.513725,0.329412,1.0
1.0,0.52549,0.341176,1.0
1.0,0.529412,0.34902,1.0
1.0,0.537255,0.356863,1.0
1.0,0.541176,0.364706,1.0
1.0,0.552941,0.372549,1.0
1.0,0.560784,0.380392,1.0
1.0,0.564706,0.392157,1.0
1.0,0.576471,0.4,1.0
1.0,0.584314,0.411765,1.0
1.0,0.588235,0.423529,1.0
1.0,0.6,0.431373,1.0
1.0,0.607843,0.443137,1.0
1.0,0.611765,0.454902,1.0
1.0,0.627451,0.462745,1.0
1.0,0.631373,0.47451,1.0
1.0,0.639216,0.486275,1.0
1.0,0.65098,0.498039,1.0
1.0,0.658824,0.505882,1.0
1.0,0.662745,0.517647,1.0
1.0,0.67451,0.529412,1.0
1.0,0.682353,0.541176,1.0
1.0,0.690196,0.552941,1.0
1.0,0.701961,0.564706,1.0
1.0,0.709804,0.576471,1.0
1.0,0.713725,0.588235,1.0
1.0,0.729412,0.6,1.0
1.0,0.737255,0.611765,1.0
