r,g,b,a
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
0.0,0.9843137,0.5647059,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.5647059,1.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.73333335,0.0,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.99215686,0.61568627,0.00784313,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.627451,0.078431375,0.078431375,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.90588236,0.0,1.0,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.46666667,0.0,0.49019608,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
