r,g,b,a
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.6117647,0.6117647,0.6117647,1.0
0.627451,0.627451,0.627451,1.0
0.64705884,0.64705884,0.64705884,1.0
0.6666667,0.6666667,0.6666667,1.0
0.68235296,0.68235296,0.68235296,1.0
0.7019608,0.7019608,0.7019608,1.0
0.72156864,0.72156864,0.72156864,1.0
0.7372549,0.7372549,0.7372549,1.0
0.75686276,0.75686276,0.75686276,1.0
0.7764706,0.7764706,0.7764706,1.0
0.7921569,0.7921569,0.7921569,1.0
0.8117647,0.8117647,0.8117647,1.0
0.83137256,0.83137256,0.83137256,1.0
0.78431374,0.7529412,0.94509804,1.0
0.7372549,0.69803923,0.9490196,1.0
0.6901961,0.6431373,0.9529412,1.0
0.6431373,0.58431375,0.95686275,1.0
0.59607846,0.5294118,0.9607843,1.0
0.54901963,0.4745098,0.9647059,1.0
0.5019608,0.41568628,0.972549,1.0
0.45490196,0.36078432,0.9764706,1.0
0.40784314,0.30588236,0.98039216,1.0
0.40392157,0.3019608,0.98039216,1.0
0.011764706,0.0,0.6901961,1.0
0.039215688,0.02745098,0.7019608,1.0
0.06666667,0.05882353,0.7137255,1.0
0.09411765,0.09019608,0.7294118,1.0
0.1254902,0.11764706,0.7411765,1.0
0.15294118,0.14901961,0.75686276,1.0
0.18039216,0.18039216,0.76862746,1.0
0.21176471,0.21176471,0.78431374,1.0
0.23921569,0.23921569,0.79607844,1.0
0.26666668,0.27058825,0.80784315,1.0
0.29803923,0.3019608,0.8235294,1.0
0.3254902,0.33333334,0.8352941,1.0
0.3529412,0.36078432,0.8509804,1.0
0.38039216,0.39215687,0.8627451,1.0
0.4117647,0.42352942,0.8784314,1.0
0.4392157,0.45490196,0.8901961,1.0
0.46666667,0.48235294,0.9019608,1.0
0.49803922,0.5137255,0.91764706,1.0
0.5254902,0.54509807,0.92941177,1.0
0.5529412,0.5764706,0.94509804,1.0
0.58431375,0.6039216,0.95686275,1.0
0.6117647,0.63529414,0.972549,1.0
0.6392157,0.6666667,0.9843137,1.0
0.64705884,0.69411767,1.0,1.0
0.67058825,0.7137255,1.0,1.0
0.6901961,0.73333335,1.0,1.0
0.7137255,0.7490196,1.0,1.0
0.73333335,0.76862746,1.0,1.0
0.75686276,0.7882353,1.0,1.0
0.78039217,0.80784315,1.0,1.0
0.8,0.827451,1.0,1.0
0.8235294,0.84705883,1.0,1.0
0.84313726,0.8666667,1.0,1.0
0.8666667,0.88235295,1.0,1.0
0.8901961,0.9019608,1.0,1.0
0.9098039,0.92156863,1.0,1.0
0.93333334,0.9411765,1.0,1.0
0.9529412,0.9607843,1.0,1.0
0.9764706,0.98039216,1.0,1.0
0.019607844,0.0,0.0,1.0
1.0,0.56078434,1.0,1.0
0.99607843,0.5529412,0.99607843,1.0
0.9882353,0.54509807,0.9882353,1.0
0.98039216,0.5372549,0.9843137,1.0
0.9764706,0.5254902,0.9764706,1.0
0.96862745,0.5176471,0.972549,1.0
0.9607843,0.50980395,0.9647059,1.0
0.95686275,0.5019608,0.9607843,1.0
0.9490196,0.49019608,0.9529412,1.0
0.9411765,0.48235294,0.9490196,1.0
0.9372549,0.4745098,0.9411765,1.0
0.92941177,0.46666667,0.9372549,1.0
0.92156863,0.45490196,0.92941177,1.0
0.9137255,0.44705883,0.92156863,1.0
0.9098039,0.4392157,0.91764706,1.0
0.9019608,0.42745098,0.9098039,1.0
0.89411765,0.41960785,0.90588236,1.0
0.8901961,0.4117647,0.8980392,1.0
0.88235295,0.40392157,0.89411765,1.0
0.8745098,0.39215687,0.8862745,1.0
0.87058824,0.38431373,0.88235295,1.0
0.8627451,0.3764706,0.8745098,1.0
0.85490197,0.36862746,0.87058824,1.0
