r,g,b,a
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.7647059,0.9137255,0.75686276,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.5019608,0.77254903,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.96862745,0.96862745,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.7607843,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
0.9019608,0.5019608,0.5019608,1.0
