r,g,b,a
1.0,1.0,1.0,1.0
0.91764706,0.91764706,1.0,1.0
0.8352941,0.8352941,1.0,1.0
0.7490196,0.7490196,1.0,1.0
0.6666667,0.6666667,1.0,1.0
0.58431375,0.58431375,1.0,1.0
0.5019608,0.5019608,1.0,1.0
0.41568628,0.41568628,1.0,1.0
0.33333334,0.33333334,1.0,1.0
0.2509804,0.2509804,1.0,1.0
0.16862746,0.16862746,1.0,1.0
0.08235294,0.08235294,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.14117648,0.85882354,1.0
0.0,0.28627452,0.7137255,1.0
0.0,0.42745098,0.57254905,1.0
0.0,0.57254905,0.42745098,1.0
0.0,0.7137255,0.28627452,1.0
0.0,0.85882354,0.14117648,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.45882353,0.0,1.0
1.0,0.45882353,0.0,1.0
1.0,0.45882353,0.0,1.0
1.0,0.45882353,0.0,1.0
1.0,0.45882353,0.0,1.0
1.0,0.45882353,0.0,1.0
1.0,0.45882353,0.0,1.0
1.0,0.45882353,0.0,1.0
1.0,0.45882353,0.0,1.0
1.0,0.45882353,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
1.0,0.7647059,1.0,1.0
