r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.54901963,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
0.8784314,0.7607843,0.41568628,1.0
