r,g,b,a
0.0,0.0,0.0,0.0
0.49803922,0.0,0.8117647,1.0
0.49803922,0.0,0.8117647,1.0
0.49803922,0.0,0.8117647,1.0
0.49803922,0.0,0.8117647,1.0
0.49803922,0.0,0.8117647,1.0
1.0,0.0,0.972549,1.0
1.0,0.0,0.9647059,1.0
1.0,0.0,0.9529412,1.0
1.0,0.0,0.94509804,1.0
1.0,0.0,0.93333334,1.0
1.0,0.0,0.9254902,1.0
1.0,0.0,0.91764706,1.0
1.0,0.0,0.90588236,1.0
1.0,0.0,0.8980392,1.0
1.0,0.0,0.8901961,1.0
1.0,0.0,0.8784314,1.0
1.0,0.0,0.87058824,1.0
1.0,0.0,0.85882354,1.0
1.0,0.0,0.8509804,1.0
1.0,0.0,0.84313726,1.0
1.0,0.0,0.83137256,1.0
1.0,0.0,0.8235294,1.0
0.972549,0.0,0.8156863,1.0
0.9490196,0.0,0.8117647,1.0
0.92156863,0.0,0.8039216,1.0
0.89411765,0.0,0.79607844,1.0
0.8666667,0.0,0.7882353,1.0
0.84313726,0.0,0.78431374,1.0
0.8156863,0.0,0.7764706,1.0
0.7882353,0.0,0.76862746,1.0
0.7647059,0.0,0.7647059,1.0
0.7372549,0.0,0.75686276,1.0
0.70980394,0.0,0.7490196,1.0
0.68235296,0.0,0.7411765,1.0
0.65882355,0.0,0.7372549,1.0
0.6313726,0.0,0.7294118,1.0
0.6039216,0.0,0.72156864,1.0
0.5803922,0.0,0.7176471,1.0
0.5529412,0.0,0.70980394,1.0
0.5254902,0.0,0.7019608,1.0
0.49803922,0.0,0.69411767,1.0
0.4745098,0.0,0.6901961,1.0
0.44705883,0.0,0.68235296,1.0
0.41960785,0.0,0.6745098,1.0
0.39607844,0.0,0.67058825,1.0
0.36862746,0.0,0.6627451,1.0
0.34117648,0.0,0.654902,1.0
0.3137255,0.0,0.64705884,1.0
0.2901961,0.0,0.6431373,1.0
0.2627451,0.0,0.63529414,1.0
0.23529412,0.0,0.627451,1.0
0.21176471,0.0,0.62352943,1.0
0.18431373,0.0,0.6156863,1.0
0.15686275,0.0,0.60784316,1.0
0.12941177,0.0,0.6,1.0
0.105882354,0.0,0.59607846,1.0
0.078431375,0.0,0.5882353,1.0
0.08627451,0.05882353,0.60784316,1.0
0.09411765,0.12156863,0.6313726,1.0
0.101960786,0.18039216,0.6509804,1.0
0.10980392,0.23921569,0.67058825,1.0
0.11764706,0.3019608,0.69411767,1.0
0.1254902,0.36078432,0.7137255,1.0
0.13333334,0.41960785,0.73333335,1.0
0.14117648,0.48235294,0.75686276,1.0
0.14901961,0.5411765,0.7764706,1.0
0.15686275,0.6,0.79607844,1.0
0.16470589,0.6627451,0.81960785,1.0
0.17254902,0.72156864,0.8392157,1.0
0.18039216,0.78039217,0.85882354,1.0
0.1882353,0.84313726,0.88235295,1.0
0.19607843,0.9019608,0.9019608,1.0
0.19607843,0.9019608,0.9019608,1.0
0.24705882,0.90588236,0.90588236,1.0
0.29411766,0.9098039,0.9098039,1.0
0.34509805,0.9137255,0.9137255,1.0
0.39215687,0.91764706,0.91764706,1.0
0.44313726,0.92156863,0.92156863,1.0
0.49019608,0.9254902,0.9254902,1.0
0.5411765,0.92941177,0.92941177,1.0
0.5882353,0.93333334,0.93333334,1.0
0.6392157,0.9372549,0.9372549,1.0
0.6862745,0.9411765,0.9411765,1.0
0.65882355,0.94509804,0.9019608,1.0
0.627451,0.94509804,0.8627451,1.0
0.6,0.9490196,0.8235294,1.0
0.57254905,0.9529412,0.78431374,1.0
0.54509807,0.9529412,0.74509805,1.0
0.5137255,0.95686275,0.7058824,1.0
0.4862745,0.95686275,0.6666667,1.0
0.45882353,0.9607843,0.627451,1.0
0.42745098,0.9647059,0.5882353,1.0
0.4,0.9647059,0.54901963,1.0
0.37254903,0.96862745,0.50980395,1.0
0.34509805,0.972549,0.47058824,1.0
0.3137255,0.972549,0.43137255,1.0
0.28627452,0.9764706,0.39215687,1.0
0.25882354,0.9764706,0.3529412,1.0
0.22745098,0.98039216,0.3137255,1.0
0.2,0.9843137,0.27450982,1.0
0.17254902,0.9843137,0.23529412,1.0
0.14117648,0.9882353,0.19607843,1.0
0.11372549,0.99215686,0.15686275,1.0
0.08627451,0.99215686,0.11764706,1.0
0.05882353,0.99607843,0.078431375,1.0
0.02745098,0.99607843,0.039215688,1.0
0.0,1.0,0.0,1.0
0.0,0.9607843,0.0,1.0
0.0,0.9254902,0.0,1.0
0.0,0.8862745,0.0,1.0
0.0,0.84705883,0.0,1.0
0.0,0.8117647,0.0,1.0
0.0,0.77254903,0.0,1.0
0.0,0.73333335,0.0,1.0
0.0,0.69803923,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.61960787,0.0,1.0
0.0,0.5803922,0.0,1.0
0.0,0.54509807,0.0,1.0
0.0,0.5058824,0.0,1.0
0.0,0.46666667,0.0,1.0
0.0,0.43137255,0.0,1.0
0.0,0.39215687,0.0,1.0
0.101960786,0.42352942,0.101960786,1.0
0.20784314,0.4509804,0.20784314,1.0
0.30980393,0.48235294,0.30980393,1.0
0.4117647,0.50980395,0.4117647,1.0
0.40392157,0.4509804,0.40392157,1.0
0.39215687,0.39215687,0.39215687,1.0
0.39215687,0.39215687,0.39215687,1.0
0.47058824,0.42352942,0.44313726,1.0
0.54901963,0.4509804,0.49019608,1.0
0.52156866,0.3372549,0.36862746,1.0
0.49019608,0.22745098,0.24705882,1.0
0.4627451,0.11372549,0.12156863,1.0
0.43137255,0.0,0.0,1.0
0.46666667,0.0,0.0,1.0
0.5019608,0.0,0.0,1.0
0.5372549,0.0,0.0,1.0
0.57254905,0.0,0.0,1.0
0.60784316,0.0,0.0,1.0
0.6431373,0.0,0.0,1.0
0.6784314,0.0,0.0,1.0
