r,g,b,a
0.0,0.0,0.0,0.0
0.40392157,0.0,0.61960787,1.0
0.1764706,0.1764706,0.1764706,1.0
0.1764706,0.1764706,0.1764706,1.0
0.18039216,0.18039216,0.18039216,1.0
0.18039216,0.18039216,0.18039216,1.0
0.18039216,0.18039216,0.18039216,1.0
0.18431373,0.18431373,0.18431373,1.0
0.18431373,0.18431373,0.18431373,1.0
0.1882353,0.1882353,0.1882353,1.0
0.1882353,0.1882353,0.1882353,1.0
0.19215687,0.19215687,0.19215687,1.0
0.19215687,0.19215687,0.19215687,1.0
0.19607843,0.19607843,0.19607843,1.0
0.19607843,0.19607843,0.19607843,1.0
0.2,0.2,0.2,1.0
0.2,0.2,0.2,1.0
0.20392157,0.20392157,0.20392157,1.0
0.20392157,0.20392157,0.20392157,1.0
0.20784314,0.20784314,0.20784314,1.0
0.20784314,0.20784314,0.20784314,1.0
0.21176471,0.21176471,0.21176471,1.0
0.21176471,0.21176471,0.21176471,1.0
0.21568628,0.21568628,0.21568628,1.0
0.21568628,0.21568628,0.21568628,1.0
0.22745098,0.22745098,0.22745098,1.0
0.23529412,0.23529412,0.23529412,1.0
0.24705882,0.24705882,0.24705882,1.0
0.25490198,0.25490198,0.25490198,1.0
0.26666668,0.26666668,0.26666668,1.0
0.27450982,0.27450982,0.27450982,1.0
0.28627452,0.28627452,0.28627452,1.0
0.29411766,0.29411766,0.29411766,1.0
0.33333334,0.33333334,0.33333334,1.0
0.3764706,0.3764706,0.3764706,1.0
0.41568628,0.41568628,0.41568628,1.0
0.45882353,0.45882353,0.45882353,1.0
0.49803922,0.49803922,0.49803922,1.0
0.5411765,0.5411765,0.5411765,1.0
0.5803922,0.5803922,0.5803922,1.0
0.61960787,0.61960787,0.61960787,1.0
0.6627451,0.6627451,0.6627451,1.0
0.7019608,0.7019608,0.7019608,1.0
0.74509805,0.74509805,0.74509805,1.0
0.78431374,0.78431374,0.78431374,1.0
0.8117647,0.8,0.6862745,1.0
0.8392157,0.8156863,0.5882353,1.0
0.8666667,0.827451,0.49019608,1.0
0.89411765,0.84313726,0.39215687,1.0
0.91764706,0.85882354,0.29411766,1.0
0.94509804,0.8745098,0.19607843,1.0
0.972549,0.8862745,0.09803922,1.0
1.0,0.9019608,0.0,1.0
1.0,0.8666667,0.0,1.0
1.0,0.8352941,0.0,1.0
1.0,0.8,0.0,1.0
1.0,0.7647059,0.0,1.0
1.0,0.7294118,0.0,1.0
1.0,0.69803923,0.0,1.0
1.0,0.6627451,0.0,1.0
1.0,0.627451,0.0,1.0
1.0,0.5803922,0.0,1.0
1.0,0.5294118,0.0,1.0
1.0,0.48235294,0.0,1.0
1.0,0.43137255,0.0,1.0
1.0,0.38431373,0.0,1.0
1.0,0.33333334,0.0,1.0
1.0,0.28627452,0.0,1.0
1.0,0.23529412,0.0,1.0
1.0,0.1882353,0.0,1.0
1.0,0.13725491,0.0,1.0
1.0,0.09019608,0.0,1.0
1.0,0.039215688,0.0,1.0
0.972549,0.039215688,0.0,1.0
0.94509804,0.03529412,0.0,1.0
0.9137255,0.03529412,0.0,1.0
0.8862745,0.03137255,0.0,1.0
0.85882354,0.03137255,0.0,1.0
0.83137256,0.02745098,0.0,1.0
0.8039216,0.02745098,0.0,1.0
0.7764706,0.02745098,0.0,1.0
0.74509805,0.023529412,0.0,1.0
0.7176471,0.023529412,0.0,1.0
0.6901961,0.019607844,0.0,1.0
0.6627451,0.019607844,0.0,1.0
0.63529414,0.015686275,0.0,1.0
0.60784316,0.015686275,0.0,1.0
0.5764706,0.011764706,0.0,1.0
0.54901963,0.011764706,0.0,1.0
0.52156866,0.011764706,0.0,1.0
0.49411765,0.007843138,0.0,1.0
0.46666667,0.007843138,0.0,1.0
0.4392157,0.003921569,0.0,1.0
0.40784314,0.003921569,0.0,1.0
0.38039216,0.0,0.0,1.0
0.3529412,0.0,0.0,1.0
1.0,0.0,0.78431374,1.0
1.0,0.10980392,0.80784315,1.0
1.0,0.22352941,0.83137256,1.0
1.0,0.33333334,0.85490197,1.0
1.0,0.44313726,0.8784314,1.0
1.0,0.5568628,0.90588236,1.0
1.0,0.6666667,0.92941177,1.0
1.0,0.7764706,0.9529412,1.0
1.0,0.8901961,0.9764706,1.0
1.0,1.0,1.0,1.0
0.9254902,1.0,1.0,1.0
0.8509804,1.0,1.0,1.0
0.7764706,1.0,1.0,1.0
0.69803923,1.0,1.0,1.0
0.62352943,1.0,1.0,1.0
0.54901963,1.0,1.0,1.0
0.47058824,0.972549,0.972549,1.0
