r,g,b,a
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
1.0,0.9843137,1.0,1.0
1.0,0.96862745,1.0,1.0
1.0,0.9529412,1.0,1.0
1.0,0.93333334,1.0,1.0
1.0,0.91764706,1.0,1.0
1.0,0.8980392,1.0,1.0
1.0,0.88235295,1.0,1.0
1.0,0.8627451,1.0,1.0
1.0,0.84313726,1.0,1.0
1.0,0.8235294,1.0,1.0
1.0,0.8039216,1.0,1.0
1.0,0.78431374,1.0,1.0
1.0,0.7607843,1.0,1.0
1.0,0.7411765,1.0,1.0
1.0,0.7176471,1.0,1.0
1.0,0.69803923,1.0,1.0
1.0,0.67058825,1.0,1.0
1.0,0.64705884,1.0,1.0
1.0,0.62352943,1.0,1.0
1.0,0.59607846,1.0,1.0
1.0,0.5686275,1.0,1.0
1.0,0.5372549,1.0,1.0
1.0,0.5058824,1.0,1.0
1.0,0.4745098,1.0,1.0
1.0,0.4392157,1.0,1.0
1.0,0.4,1.0,1.0
1.0,0.35686275,1.0,1.0
1.0,0.30980393,1.0,1.0
1.0,0.2509804,1.0,1.0
1.0,0.1764706,1.0,1.0
1.0,0.0,1.0,1.0
0.9843137,0.0,1.0,1.0
0.96862745,0.0,1.0,1.0
0.9529412,0.0,1.0,1.0
0.9372549,0.0,1.0,1.0
0.92156863,0.0,1.0,1.0
0.9019608,0.0,1.0,1.0
0.8862745,0.0,1.0,1.0
0.8666667,0.0,1.0,1.0
0.84705883,0.0,1.0,1.0
0.83137256,0.0,1.0,1.0
0.8117647,0.0,1.0,1.0
0.7921569,0.0,1.0,1.0
0.77254903,0.0,1.0,1.0
0.7490196,0.0,1.0,1.0
0.7294118,0.0,1.0,1.0
0.7058824,0.0,1.0,1.0
0.6862745,0.0,1.0,1.0
0.6627451,0.0,1.0,1.0
0.6392157,0.0,1.0,1.0
0.6117647,0.0,1.0,1.0
0.5882353,0.0,1.0,1.0
0.56078434,0.0,1.0,1.0
0.5294118,0.0,1.0,1.0
0.49803922,0.0,1.0,1.0
0.46666667,0.0,1.0,1.0
0.43137255,0.0,1.0,1.0
0.39607844,0.0,1.0,1.0
0.3529412,0.0,1.0,1.0
0.30588236,0.0,1.0,1.0
0.24705882,0.0,1.0,1.0
0.1764706,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.1764706,1.0,1.0
0.0,0.24705882,1.0,1.0
0.0,0.30588236,1.0,1.0
0.0,0.3529412,1.0,1.0
0.0,0.39607844,1.0,1.0
0.0,0.43137255,1.0,1.0
0.0,0.46666667,1.0,1.0
0.0,0.49803922,1.0,1.0
0.0,0.5294118,1.0,1.0
0.0,0.56078434,1.0,1.0
0.0,0.5882353,1.0,1.0
0.0,0.6117647,1.0,1.0
0.0,0.6392157,1.0,1.0
0.0,0.6627451,1.0,1.0
0.0,0.6862745,1.0,1.0
0.0,0.7058824,1.0,1.0
0.0,0.7294118,1.0,1.0
0.0,0.7490196,1.0,1.0
0.0,0.77254903,1.0,1.0
0.0,0.7921569,1.0,1.0
0.0,0.8117647,1.0,1.0
0.0,0.83137256,1.0,1.0
0.0,0.84705883,1.0,1.0
0.0,0.8666667,1.0,1.0
0.0,0.8862745,1.0,1.0
0.0,0.9019608,1.0,1.0
0.0,0.92156863,1.0,1.0
0.0,0.9372549,1.0,1.0
0.0,0.9529412,1.0,1.0
0.0,0.96862745,1.0,1.0
0.0,0.9843137,1.0,1.0
0.0,1.0,1.0,1.0
0.09411765,0.99215686,0.99215686,1.0
0.13725491,0.98039216,0.98039216,1.0
0.16470589,0.96862745,0.96862745,1.0
0.19215687,0.95686275,0.95686275,1.0
0.21568628,0.94509804,0.94509804,1.0
0.23529412,0.93333334,0.93333334,1.0
0.25490198,0.92156863,0.92156863,1.0
0.27450982,0.9098039,0.9098039,1.0
0.2901961,0.8980392,0.8980392,1.0
0.30588236,0.8862745,0.8862745,1.0
0.32156864,0.87058824,0.87058824,1.0
0.33333334,0.85882354,0.85882354,1.0
0.34901962,0.84705883,0.84705883,1.0
0.36078432,0.8352941,0.8352941,1.0
0.37254903,0.81960785,0.81960785,1.0
0.3882353,0.80784315,0.80784315,1.0
0.4,0.7921569,0.7921569,1.0
0.4117647,0.78039217,0.78039217,1.0
0.42352942,0.7647059,0.7647059,1.0
0.43137255,0.7490196,0.7490196,1.0
0.44313726,0.7372549,0.7372549,1.0
0.45490196,0.72156864,0.72156864,1.0
0.4627451,0.7058824,0.7058824,1.0
0.4745098,0.6901961,0.6901961,1.0
0.48235294,0.6745098,0.6745098,1.0
0.49411765,0.65882355,0.65882355,1.0
0.5019608,0.6392157,0.6392157,1.0
0.5137255,0.62352943,0.62352943,1.0
0.52156866,0.6039216,0.6039216,1.0
0.5294118,0.5882353,0.5882353,1.0
0.5372549,0.5686275,0.5686275,1.0
0.54901963,0.54901963,0.54901963,1.0
0.5372549,0.5686275,0.5372549,1.0
0.5294118,0.5882353,0.5294118,1.0
0.52156866,0.60784316,0.52156866,1.0
0.50980395,0.62352943,0.50980395,1.0
0.5019608,0.6431373,0.5019608,1.0
0.49019608,0.65882355,0.49019608,1.0
0.48235294,0.6784314,0.48235294,1.0
0.47058824,0.69411767,0.47058824,1.0
0.4627451,0.70980394,0.4627451,1.0
