r,g,b,a
0.0,0.0,0.0,1.0
0.6039216,1.0,0.6039216,1.0
0.5647059,0.9333333,0.5647059,1.0
0.4862745,0.8039216,0.4862745,1.0
0.4627451,0.7647059,0.372549,1.0
0.4352941,0.7568627,0.3333333,1.0
0.3215686,0.7333333,0.2470588,1.0
0.2,0.6392157,0.2039216,1.0
0.1764706,0.5137255,0.1764706,1.0
0.1333333,0.3568627,0.1294118,1.0
0.0,0.5019608,0.5019608,1.0
0.0,0.7058824,0.7058824,1.0
0.0,0.8039216,0.8039216,1.0
0.0,1.0,1.0,1.0
0.5019608,1.0,1.0,1.0
0.7058824,1.0,1.0,1.0
0.8039216,1.0,0.627451,1.0
0.9215686,1.0,0.3921569,1.0
1.0,1.0,0.0,1.0
0.9215686,0.9215686,0.0,1.0
0.854902,0.854902,0.0,1.0
1.0,0.8431373,0.0,1.0
0.8039216,0.5215686,0.0,1.0
1.0,0.4980392,0.0,1.0
0.9333333,0.2509804,0.0,1.0
1.0,0.0,0.0,1.0
0.8392157,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.627451,0.0,0.0,1.0
0.3921569,0.0,0.0,1.0
0.545098,0.1019608,0.1019608,1.0
0.8039216,0.1490196,0.1490196,1.0
0.9333333,0.172549,0.172549,1.0
1.0,0.4156863,0.4156863,1.0
1.0,0.6823529,0.7254902,1.0
0.9333333,0.6352941,0.6784314,1.0
0.545098,0.0,0.545098,1.0
0.7254902,0.0,0.7254902,1.0
0.9333333,0.0,0.9333333,1.0
1.0,0.0,1.0,1.0
0.6,0.3333333,0.7882353,1.0
0.7490196,0.2431373,1.0,1.0
0.6980392,0.227451,0.9333333,1.0
0.6039216,0.1960784,0.8039216,1.0
0.4078431,0.1333333,0.545098,1.0
