r,g,b,a
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.011764706,0.0,0.019607844
0.0,0.023529412,0.0,0.039215688
0.0,0.039215688,0.0,0.05882353
0.0,0.050980393,0.0,0.078431375
0.0,0.0627451,0.0,0.09803922
0.0,0.07450981,0.0,0.11372549
0.0,0.09019608,0.0,0.13333334
0.0,0.101960786,0.0,0.15294118
0.0,0.11372549,0.0,0.17254902
0.0,0.1254902,0.0,0.19215687
0.0,0.14117648,0.0,0.21176471
0.0,0.15294118,0.0,0.23137255
0.0,0.16470589,0.0,0.2509804
0.0,0.1764706,0.0,0.27058825
0.0,0.1882353,0.0,0.2901961
0.0,0.20392157,0.0,0.30588236
0.0,0.21568628,0.0,0.3254902
0.0,0.22745098,0.0,0.34509805
0.0,0.23921569,0.0,0.3647059
0.0,0.25490198,0.0,0.38431373
0.0,0.26666668,0.0,0.40392157
0.0,0.2784314,0.0,0.42352942
0.0,0.2901961,0.0,0.44313726
0.0,0.30588236,0.0,0.4627451
0.0,0.31764707,0.0,0.48235294
0.0,0.32941177,0.0,0.5019608
0.0,0.34117648,0.0,0.5176471
0.0,0.3529412,0.0,0.5372549
0.0,0.36862746,0.0,0.5568628
0.0,0.38039216,0.0,0.5764706
0.0,0.39215687,0.0,0.59607846
0.0,0.40392157,0.0,0.6156863
0.0,0.41960785,0.0,0.63529414
0.0,0.43137255,0.0,0.654902
0.0,0.44313726,0.0,0.6745098
0.0,0.45490196,0.0,0.69411767
0.0,0.47058824,0.0,0.70980394
0.0,0.48235294,0.0,0.7294118
0.0,0.49411765,0.0,0.7490196
0.0,0.5058824,0.0,0.76862746
0.0,0.5176471,0.0,0.7882353
0.0,0.53333336,0.0,0.80784315
0.0,0.54509807,0.0,0.827451
0.0,0.5568628,0.0,0.84705883
0.0,0.5686275,0.0,0.8666667
0.0,0.58431375,0.0,0.8862745
0.0,0.59607846,0.0,0.9019608
0.0,0.60784316,0.0,0.92156863
0.0,0.61960787,0.0,0.9411765
0.0,0.63529414,0.0,0.9607843
0.0,0.64705884,0.0,0.98039216
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.0,0.65882355,0.0,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.003921569,0.99215686,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.96862745,0.003921569,1.0
0.99215686,0.0,0.0,1.0
0.99215686,0.0,0.0,1.0
0.99215686,0.0,0.0,1.0
0.99215686,0.0,0.0,1.0
0.99215686,0.0,0.0,1.0
0.99215686,0.0,0.0,1.0
