r,g,b,a
0.0627451,0.06666667,0.18431373,3.0
0.09411765,0.52156866,0.16078432,3.0
0.5294118,0.05490196,0.23137255,3.0
0.56078434,0.56078434,0.3019608,3.0
0.14117648,0.31764707,0.14509805,3.0
0.68235296,0.7647059,0.20392157,3.0
0.5372549,0.30980393,0.09411765,3.0
0.8039216,0.56078434,0.34509805,3.0
0.30588236,0.07450981,0.18039216,3.0
0.3372549,0.30588236,0.08235294,3.0
0.58431375,0.79607844,0.6156863,3.0
0.5254902,0.3254902,0.5803922,3.0
0.30588236,0.78431374,0.45490196,3.0
0.5647059,0.56078434,0.5529412,3.0
0.3254902,0.54509807,0.26666668,3.0
0.8117647,0.827451,0.60784316,3.0
0.30588236,0.05882353,0.5647059,3.0
0.31764707,0.31764707,0.49803922,3.0
0.3372549,0.54509807,0.49019608,3.0
0.07450981,0.06666667,0.4392157,3.0
0.52156866,0.06666667,0.54509807,3.0
0.72156864,0.31764707,0.3529412,3.0
0.16078432,0.41568628,0.11764706,3.0
0.81960785,0.5764706,0.5568628,3.0
0.57254905,0.6745098,0.36862746,3.0
0.8784314,0.9607843,0.64705884,3.0
0.7254902,0.33333334,0.48235294,3.0
0.34117648,0.43137255,0.06666667,3.0
0.54901963,0.44705883,0.105882354,3.0
0.3372549,0.19215687,0.11764706,3.0
0.54509807,0.19607843,0.20784314,3.0
0.06666667,0.19607843,0.15294118,3.0
0.5647059,0.6862745,0.54901963,3.0
0.3372549,0.654902,0.3137255,3.0
0.34117648,0.1882353,0.5372549,3.0
0.7058824,0.92941177,0.65882355,3.0
0.5686275,0.44705883,0.5294118,3.0
0.80784315,0.69803923,0.34509805,3.0
0.34509805,0.6627451,0.49803922,3.0
0.17254902,0.30588236,0.38039216,3.0
0.80784315,0.80784315,0.44313726,3.0
0.20392157,0.41960785,0.38431373,3.0
0.078431375,0.1764706,0.43529412,3.0
0.38039216,0.44313726,0.50980395,3.0
0.6784314,0.5647059,0.2784314,3.0
0.5372549,0.19215687,0.53333336,3.0
0.9490196,0.9882353,0.84313726,3.0
0.8117647,0.6901961,0.6666667,3.0
0.3019608,0.8156863,0.70980394,3.0
0.21960784,0.654902,0.30588236,3.0
0.28235295,0.9019608,0.72156864,3.0
0.87058824,0.9019608,0.47843137,3.0
0.7254902,0.44705883,0.12941177,3.0
0.21960784,0.53333336,0.4,3.0
0.45882353,0.78039217,0.4745098,3.0
0.7176471,0.19607843,0.4392157,3.0
0.73333335,0.05882353,0.44313726,3.0
0.7607843,0.45490196,0.50980395,3.0
0.7058824,0.85882354,0.4745098,3.0
0.69803923,0.19607843,0.3137255,3.0
0.67058825,0.0627451,0.28235295,3.0
0.45882353,0.92941177,0.77254903,3.0
0.22352941,0.67058825,0.5372549,3.0
0.46666667,0.7882353,0.6745098,3.0
0.6862745,0.9529412,0.8117647,3.0
0.8980392,0.58431375,0.38039216,3.0
0.92156863,0.8235294,0.69411767,3.0
0.68235296,0.69411767,0.36862746,3.0
0.91764706,0.7058824,0.38039216,3.0
0.45882353,0.87058824,0.53333336,3.0
0.6862745,0.78431374,0.44705883,3.0
0.69411767,0.8117647,0.5803922,3.0
0.6862745,0.5647059,0.61960787,3.0
0.6901961,0.6901961,0.5882353,3.0
0.9098039,0.69803923,0.5921569,3.0
0.4392157,0.5529412,0.26666668,3.0
0.4509804,0.6627451,0.3137255,3.0
0.45882353,0.6666667,0.5411765,3.0
0.1882353,0.07058824,0.21568628,3.0
0.44313726,0.5647059,0.50980395,3.0
0.2,0.050980393,0.5176471,3.0
0.19215687,0.19607843,0.13725491,3.0
0.92156863,0.8117647,0.41960785,3.0
0.19607843,0.1882353,0.4627451,3.0
0.5686275,0.3137255,0.3254902,3.0
0.34509805,0.3137255,0.3254902,3.0
0.3529412,0.44313726,0.34117648,3.0
0.56078434,0.44313726,0.33333334,3.0
0.5921569,0.44313726,0.7294118,3.0
0.7490196,0.4392157,0.35686275,3.0
0.20784314,0.53333336,0.20784314,3.0
0.42352942,0.05490196,0.21176471,3.0
0.6431373,0.32941177,0.5254902,3.0
0.42352942,0.050980393,0.5529412,3.0
0.42352942,0.3137255,0.5529412,3.0
