r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.023529412,0.023529412,0.023529412,1.0
0.050980393,0.050980393,0.050980393,1.0
0.078431375,0.078431375,0.078431375,1.0
0.105882354,0.105882354,0.105882354,1.0
0.13333334,0.13333334,0.13333334,1.0
0.16078432,0.16078432,0.16078432,1.0
0.1882353,0.1882353,0.1882353,1.0
0.21568628,0.21568628,0.21568628,1.0
0.24313726,0.24313726,0.24313726,1.0
0.27058825,0.27058825,0.27058825,1.0
0.29803923,0.29803923,0.29803923,1.0
0.3254902,0.3254902,0.3254902,1.0
0.3529412,0.3529412,0.3529412,1.0
0.38039216,0.38039216,0.38039216,1.0
0.40784314,0.40784314,0.40784314,1.0
0.43529412,0.43529412,0.43529412,1.0
0.4627451,0.4627451,0.4627451,1.0
0.49019608,0.49019608,0.49019608,1.0
0.5176471,0.5176471,0.5176471,1.0
0.54509807,0.54509807,0.54509807,1.0
0.57254905,0.57254905,0.57254905,1.0
0.6,0.6,0.6,1.0
0.627451,0.627451,0.627451,1.0
0.654902,0.654902,0.654902,1.0
0.68235296,0.68235296,0.68235296,1.0
0.70980394,0.70980394,0.70980394,1.0
0.7372549,0.7372549,0.7372549,1.0
0.7607843,0.7607843,0.7607843,1.0
0.78431374,0.78431374,0.78431374,1.0
0.80784315,0.80784315,0.80784315,1.0
0.83137256,0.83137256,0.83137256,1.0
0.85490197,0.85490197,0.85490197,1.0
0.8784314,0.8784314,0.8784314,1.0
0.9019608,0.9019608,0.9019608,1.0
0.9254902,0.9254902,0.9254902,1.0
0.9490196,0.9490196,0.9490196,1.0
0.972549,0.972549,0.972549,1.0
0.99607843,0.99607843,0.99607843,1.0
0.4392157,0.4392157,0.4392157,1.0
0.44705883,0.44705883,0.44705883,1.0
0.45490196,0.45490196,0.45490196,1.0
0.4627451,0.4627451,0.4627451,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47843137,0.47843137,0.47843137,1.0
0.4862745,0.4862745,0.4862745,1.0
0.49411765,0.49411765,0.49411765,1.0
0.5019608,0.5019608,0.5019608,1.0
0.50980395,0.50980395,0.50980395,1.0
0.5176471,0.5176471,0.5176471,1.0
0.5254902,0.5254902,0.5254902,1.0
0.53333336,0.53333336,0.53333336,1.0
0.5411765,0.5411765,0.5411765,1.0
0.54901963,0.54901963,0.54901963,1.0
0.5529412,0.5529412,0.5529412,1.0
0.5568628,0.5568628,0.5568628,1.0
0.56078434,0.56078434,0.56078434,1.0
0.5647059,0.5647059,0.5647059,1.0
0.5686275,0.5686275,0.5686275,1.0
0.57254905,0.57254905,0.57254905,1.0
0.5764706,0.5764706,0.5764706,1.0
0.5803922,0.5803922,0.5803922,1.0
