r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.03137255,0.03137255,0.03137255,1.0
0.03137255,0.03137255,0.03137255,1.0
0.03137255,0.03137255,0.03137255,1.0
0.03137255,0.03137255,0.03137255,1.0
0.03137255,0.03137255,0.03137255,1.0
0.03137255,0.03137255,0.03137255,1.0
0.0627451,0.0627451,0.0627451,1.0
0.0627451,0.0627451,0.0627451,1.0
0.09411765,0.09411765,0.09411765,1.0
0.09411765,0.09411765,0.09411765,1.0
0.1254902,0.1254902,0.1254902,1.0
0.1254902,0.1254902,0.1254902,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.20392157,0.20392157,0.20392157,1.0
0.20392157,0.20392157,0.20392157,1.0
0.23529412,0.23529412,0.23529412,1.0
0.23529412,0.23529412,0.23529412,1.0
0.26666668,0.26666668,0.26666668,1.0
0.26666668,0.26666668,0.26666668,1.0
0.29803923,0.29803923,0.29803923,1.0
0.29803923,0.29803923,0.29803923,1.0
0.32941177,0.32941177,0.32941177,1.0
0.32941177,0.32941177,0.32941177,1.0
0.36078432,0.36078432,0.36078432,1.0
0.36078432,0.36078432,0.36078432,1.0
0.3764706,0.3764706,0.3764706,1.0
0.3764706,0.3764706,0.3764706,1.0
0.39215687,0.39215687,0.39215687,1.0
0.39215687,0.39215687,0.39215687,1.0
0.40784314,0.40784314,0.40784314,1.0
0.40784314,0.40784314,0.40784314,1.0
0.42352942,0.42352942,0.42352942,1.0
0.42352942,0.42352942,0.42352942,1.0
0.4392157,0.4392157,0.4392157,1.0
0.4392157,0.4392157,0.4392157,1.0
0.45490196,0.45490196,0.45490196,1.0
0.45490196,0.45490196,0.45490196,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.4862745,0.4862745,0.4862745,1.0
0.4862745,0.4862745,0.4862745,1.0
0.5019608,0.5019608,0.5019608,1.0
0.5019608,0.5019608,0.5019608,1.0
0.5176471,0.5176471,0.5176471,1.0
0.5176471,0.5176471,0.5176471,1.0
0.53333336,0.53333336,0.53333336,1.0
0.53333336,0.53333336,0.53333336,1.0
0.54901963,0.54901963,0.54901963,1.0
0.54901963,0.54901963,0.54901963,1.0
0.5647059,0.5647059,0.5647059,1.0
0.5647059,0.5647059,0.5647059,1.0
0.5803922,0.5803922,0.5803922,1.0
0.5803922,0.5803922,0.5803922,1.0
0.59607846,0.59607846,0.59607846,1.0
0.59607846,0.59607846,0.59607846,1.0
0.6117647,0.6117647,0.6117647,1.0
0.6117647,0.6117647,0.6117647,1.0
0.627451,0.627451,0.627451,1.0
0.627451,0.627451,0.627451,1.0
0.6431373,0.6431373,0.6431373,1.0
0.6431373,0.6431373,0.6431373,1.0
0.0,0.4392157,0.0,1.0
0.0,0.4392157,0.0,1.0
0.0,0.4392157,0.0,1.0
0.0,0.4392157,0.0,1.0
0.0,0.4392157,0.0,1.0
0.0,0.4392157,0.0,1.0
0.0,0.6117647,0.0,1.0
0.0,0.6117647,0.0,1.0
0.0,0.6117647,0.0,1.0
0.0,0.6117647,0.0,1.0
0.0,0.6117647,0.0,1.0
0.0,0.6117647,0.0,1.0
0.0,0.627451,0.9882353,1.0
0.0,0.627451,0.9882353,1.0
0.0,0.9882353,0.9882353,1.0
0.0,0.9882353,0.9882353,1.0
0.3764706,0.3764706,0.0,1.0
0.3764706,0.3764706,0.0,1.0
0.5803922,0.5803922,0.0,1.0
0.5803922,0.5803922,0.0,1.0
0.78431374,0.78431374,0.0,1.0
0.78431374,0.78431374,0.0,1.0
0.9882353,0.9882353,0.0,1.0
0.9882353,0.9882353,0.0,1.0
0.9882353,0.4862745,0.0,1.0
0.9882353,0.4862745,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
