r,g,b,a
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
1.0,0.0,0.0,0.5921569
0.0,0.0,0.0,0.4392157
0.0,0.0,0.0,0.4392157
0.0,0.0,0.0,0.4392157
0.0,0.0,0.0,0.4392157
