r,g,b,a
0.10980392,0.011764706,0.050980393,3.0
0.16470589,0.5529412,0.25490198,3.0
0.56078434,0.03137255,0.019607844,3.0
0.13725491,0.31764707,0.0627451,3.0
0.627451,0.5647059,0.050980393,3.0
0.08235294,0.32156864,0.6392157,3.0
0.15294118,0.8,0.9882353,3.0
0.16862746,0.54509807,0.6039216,3.0
0.039215688,0.011764706,0.627451,3.0
0.57254905,0.31764707,0.023529412,3.0
0.68235296,0.76862746,0.047058824,3.0
0.6039216,0.56078434,0.6392157,3.0
0.4117647,0.31764707,0.03137255,3.0
0.36078432,0.32941177,0.627451,3.0
0.5764706,0.34117648,0.6392157,3.0
0.39607844,0.54901963,0.61960787,3.0
0.3254902,0.019607844,0.6117647,3.0
0.38039216,0.019607844,0.019607844,3.0
0.41568628,0.5529412,0.078431375,3.0
0.78431374,0.59607846,0.05490196,3.0
0.7882353,0.6039216,0.6745098,3.0
0.7882353,0.31764707,0.023529412,3.0
0.15294118,0.4392157,0.06666667,3.0
0.12156863,0.43137255,0.6431373,3.0
0.40784314,0.44313726,0.05882353,3.0
0.40392157,0.45490196,0.6392157,3.0
0.6,0.4509804,0.043137256,3.0
0.8509804,0.3372549,0.63529414,3.0
0.6509804,0.6627451,0.047058824,3.0
0.15686275,0.6627451,0.6666667,3.0
0.654902,0.6509804,0.6156863,3.0
0.3882353,0.65882355,0.62352943,3.0
0.59607846,0.45490196,0.64705884,3.0
0.43137255,0.654902,0.09019608,3.0
0.0627451,0.2,0.6431373,3.0
0.1254902,0.19607843,0.05490196,3.0
0.4117647,0.19607843,0.023529412,3.0
0.8,0.011764706,0.019607844,3.0
0.34117648,0.20392157,0.62352943,3.0
0.5529412,0.023529412,0.5568628,3.0
0.1764706,0.6313726,0.19215687,3.0
0.101960786,0.31764707,0.3882353,3.0
0.6039216,0.5568628,0.3647059,3.0
0.078431375,0.33333334,0.9607843,3.0
0.36862746,0.32941177,0.3764706,3.0
0.4,0.54509807,0.9529412,3.0
0.4,0.5568628,0.38431373,3.0
0.13333334,0.43529412,0.3882353,3.0
0.6117647,0.8156863,0.9882353,3.0
0.34509805,0.7647059,0.6509804,3.0
0.84313726,0.023529412,0.47843137,3.0
0.76862746,0.8117647,0.9882353,3.0
0.78431374,0.45882353,0.023529412,3.0
0.8235294,0.44705883,0.6392157,3.0
0.42352942,0.92156863,0.9882353,3.0
0.80784315,0.76862746,0.05490196,3.0
0.5568628,0.19607843,0.019607844,3.0
0.54901963,0.21176471,0.5882353,3.0
0.80784315,0.6784314,0.0627451,3.0
0.7882353,0.6745098,0.79607844,3.0
0.7882353,0.19607843,0.019607844,3.0
0.16470589,0.9098039,0.9882353,3.0
0.6117647,0.92941177,0.9882353,3.0
0.8392157,0.20392157,0.5176471,3.0
0.7607843,0.93333334,0.9882353,3.0
0.050980393,0.011764706,0.38039216,3.0
0.13725491,0.54901963,0.98039216,3.0
0.03137255,0.019607844,0.8980392,3.0
0.5686275,0.3372549,0.3647059,3.0
0.5764706,0.5568628,0.92941177,3.0
0.33333334,0.34509805,0.92156863,3.0
0.5803922,0.35686275,0.85490197,3.0
0.31764707,0.02745098,0.8352941,3.0
0.34117648,0.015686275,0.3647059,3.0
0.8156863,0.32941177,0.43529412,3.0
0.12941177,0.43529412,0.972549,3.0
0.4,0.4509804,0.38431373,3.0
0.38039216,0.4509804,0.95686275,3.0
0.5921569,0.4509804,0.38039216,3.0
0.6509804,0.65882355,0.3764706,3.0
0.13725491,0.6862745,0.9764706,3.0
0.6313726,0.6862745,0.9647059,3.0
0.3764706,0.68235296,0.9647059,3.0
0.56078434,0.44313726,0.89411765,3.0
0.4117647,0.6509804,0.37254903,3.0
0.043137256,0.20392157,0.93333334,3.0
0.08235294,0.2,0.38431373,3.0
0.35686275,0.20392157,0.37254903,3.0
0.32941177,0.20784314,0.85490197,3.0
0.3882353,0.8156863,0.9882353,3.0
0.8,0.46666667,0.3529412,3.0
0.8117647,0.45882353,0.89411765,3.0
0.6666667,0.015686275,0.015686275,3.0
0.6627451,0.19607843,0.019607844,3.0
0.67058825,0.22352941,0.5686275,3.0
