r,g,b,a
0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0
0.0,1.0,0.0,1.0
0.0,0.754902,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.941176,0.0,1.0
1.0,0.882353,0.0,1.0
1.0,0.833333,0.0,1.0
1.0,0.784314,0.0,1.0
1.0,0.764706,0.0,1.0
1.0,0.745098,0.0,1.0
1.0,0.72549,0.0,1.0
1.0,0.705882,0.0,1.0
1.0,0.686275,0.0,1.0
1.0,0.666667,0.0,1.0
1.0,0.647059,0.0,1.0
1.0,0.627451,0.0,1.0
0.926471,0.470588,0.0,1.0
0.852941,0.313725,0.0,1.0
0.779412,0.156863,0.0,1.0
0.705882,0.0,0.0,1.0
0.709804,0.0,0.0,1.0
0.713725,0.0,0.0,1.0
0.717647,0.0,0.0,1.0
0.721569,0.0,0.0,1.0
0.72549,0.0,0.0,1.0
0.729412,0.0,0.0,1.0
0.733333,0.0,0.0,1.0
0.737255,0.0,0.0,1.0
0.741176,0.0,0.0,1.0
0.745098,0.0,0.0,1.0
0.74902,0.0,0.0,1.0
0.752941,0.0,0.0,1.0
0.756863,0.0,0.0,1.0
0.760784,0.0,0.0,1.0
0.764706,0.0,0.0,1.0
0.768627,0.0,0.0,1.0
0.772549,0.0,0.0,1.0
0.776471,0.0,0.0,1.0
0.780392,0.0,0.0,1.0
0.784314,0.0,0.0,1.0
0.789216,0.0,0.0,1.0
0.794118,0.0,0.0,1.0
0.79902,0.0,0.0,1.0
0.803922,0.0,0.0,1.0
0.808824,0.0,0.0,1.0
0.813725,0.0,0.0,1.0
0.818627,0.0,0.0,1.0
0.823529,0.0,0.0,1.0
0.828431,0.0,0.0,1.0
0.833333,0.0,0.0,1.0
0.838235,0.0,0.0,1.0
0.843137,0.0,0.0,1.0
0.848039,0.0,0.0,1.0
0.852941,0.0,0.0,1.0
0.857843,0.0,0.0,1.0
0.862745,0.0,0.0,1.0
0.867647,0.0,0.0,1.0
0.872549,0.0,0.0,1.0
0.877451,0.0,0.0,1.0
0.882353,0.0,0.0,1.0
0.888235,0.0,0.0,1.0
0.894118,0.0,0.0,1.0
0.9,0.0,0.0,1.0
0.905882,0.0,0.0,1.0
0.911765,0.0,0.0,1.0
0.917647,0.0,0.0,1.0
0.923529,0.0,0.0,1.0
0.929412,0.0,0.0,1.0
0.935294,0.0,0.0,1.0
0.941176,0.0,0.0,1.0
0.947059,0.0,0.0,1.0
0.952941,0.0,0.0,1.0
0.958824,0.0,0.0,1.0
0.964706,0.0,0.0,1.0
0.970588,0.0,0.0,1.0
0.976471,0.0,0.0,1.0
0.982353,0.0,0.0,1.0
0.988235,0.0,0.0,1.0
0.994118,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.05,1.0
1.0,0.0,0.1,1.0
1.0,0.0,0.15,1.0
1.0,0.0,0.2,1.0
1.0,0.0,0.25,1.0
1.0,0.0,0.3,1.0
1.0,0.0,0.35,1.0
1.0,0.0,0.4,1.0
1.0,0.0,0.45,1.0
1.0,0.0,0.5,1.0
1.0,0.0,0.55,1.0
1.0,0.0,0.6,1.0
1.0,0.0,0.65,1.0
1.0,0.0,0.7,1.0
1.0,0.0,0.75,1.0
1.0,0.0,0.8,1.0
1.0,0.0,0.85,1.0
1.0,0.0,0.9,1.0
1.0,0.0,0.95,1.0
1.0,0.0,1.0,1.0
0.996471,0.0,0.996471,1.0
0.992941,0.0,0.992941,1.0
0.989412,0.0,0.989412,1.0
0.985882,0.0,0.985882,1.0
0.982353,0.0,0.982353,1.0
0.978824,0.0,0.978824,1.0
0.975294,0.0,0.975294,1.0
0.971765,0.0,0.971765,1.0
0.968235,0.0,0.968235,1.0
0.964706,0.0,0.964706,1.0
0.961176,0.0,0.961176,1.0
0.957647,0.0,0.957647,1.0
0.954118,0.0,0.954118,1.0
0.950588,0.0,0.950588,1.0
0.947059,0.0,0.947059,1.0
0.943529,0.0,0.943529,1.0
0.94,0.0,0.94,1.0
0.936471,0.0,0.936471,1.0
0.932941,0.0,0.932941,1.0
0.929412,0.0,0.929412,1.0
0.925882,0.0,0.925882,1.0
0.922353,0.0,0.922353,1.0
0.918824,0.0,0.918824,1.0
0.915294,0.0,0.915294,1.0
0.911765,0.0,0.911765,1.0
0.908235,0.0,0.908235,1.0
0.904706,0.0,0.904706,1.0
0.901176,0.0,0.901176,1.0
0.897647,0.0,0.897647,1.0
0.894118,0.0,0.894118,1.0
0.890588,0.0,0.890588,1.0
0.887059,0.0,0.887059,1.0
0.883529,0.0,0.883529,1.0
0.88,0.0,0.88,1.0
0.876471,0.0,0.876471,1.0
0.872941,0.0,0.872941,1.0
0.869412,0.0,0.869412,1.0
0.865882,0.0,0.865882,1.0
0.862353,0.0,0.862353,1.0
0.858824,0.0,0.858824,1.0
0.855294,0.0,0.855294,1.0
0.851765,0.0,0.851765,1.0
0.848235,0.0,0.848235,1.0
0.844706,0.0,0.844706,1.0
0.841176,0.0,0.841176,1.0
0.837647,0.0,0.837647,1.0
0.834118,0.0,0.834118,1.0
0.830588,0.0,0.830588,1.0
0.827059,0.0,0.827059,1.0
0.823529,0.0,0.823529,1.0
0.820392,0.0,0.820392,1.0
0.817255,0.0,0.817255,1.0
0.814118,0.0,0.814118,1.0
0.81098,0.0,0.81098,1.0
0.807843,0.0,0.807843,1.0
0.804706,0.0,0.804706,1.0
0.801569,0.0,0.801569,1.0
0.798431,0.0,0.798431,1.0
0.795294,0.0,0.795294,1.0
0.792157,0.0,0.792157,1.0
0.78902,0.0,0.78902,1.0
0.785882,0.0,0.785882,1.0
0.782745,0.0,0.782745,1.0
0.779608,0.0,0.779608,1.0
0.776471,0.0,0.776471,1.0
0.773333,0.0,0.773333,1.0
0.770196,0.0,0.770196,1.0
0.767059,0.0,0.767059,1.0
0.763922,0.0,0.763922,1.0
0.760784,0.0,0.760784,1.0
0.757647,0.0,0.757647,1.0
0.75451,0.0,0.75451,1.0
0.751373,0.0,0.751373,1.0
0.748235,0.0,0.748235,1.0
0.745098,0.0,0.745098,1.0
0.741961,0.0,0.741961,1.0
0.738824,0.0,0.738824,1.0
0.735686,0.0,0.735686,1.0
0.732549,0.0,0.732549,1.0
0.729412,0.0,0.729412,1.0
0.726275,0.0,0.726275,1.0
0.723137,0.0,0.723137,1.0
0.72,0.0,0.72,1.0
0.716863,0.0,0.716863,1.0
0.713725,0.0,0.713725,1.0
0.710588,0.0,0.710588,1.0
0.707451,0.0,0.707451,1.0
0.704314,0.0,0.704314,1.0
0.701176,0.0,0.701176,1.0
0.698039,0.0,0.698039,1.0
0.694902,0.0,0.694902,1.0
0.691765,0.0,0.691765,1.0
0.688627,0.0,0.688627,1.0
0.68549,0.0,0.68549,1.0
0.682353,0.0,0.682353,1.0
0.679216,0.0,0.679216,1.0
0.676078,0.0,0.676078,1.0
0.672941,0.0,0.672941,1.0
0.669804,0.0,0.669804,1.0
0.666667,0.0,0.666667,1.0
0.665843,0.0,0.665843,1.0
0.66502,0.0,0.66502,1.0
0.664196,0.0,0.664196,1.0
0.663373,0.0,0.663373,1.0
0.662549,0.0,0.662549,1.0
0.661725,0.0,0.661725,1.0
0.660902,0.0,0.660902,1.0
0.660078,0.0,0.660078,1.0
0.659255,0.0,0.659255,1.0
0.658431,0.0,0.658431,1.0
0.657608,0.0,0.657608,1.0
0.656784,0.0,0.656784,1.0
0.655961,0.0,0.655961,1.0
0.655137,0.0,0.655137,1.0
0.654314,0.0,0.654314,1.0
0.65349,0.0,0.65349,1.0
0.652667,0.0,0.652667,1.0
0.651843,0.0,0.651843,1.0
0.65102,0.0,0.65102,1.0
0.650196,0.0,0.650196,1.0
0.649373,0.0,0.649373,1.0
0.648549,0.0,0.648549,1.0
0.647725,0.0,0.647725,1.0
0.646902,0.0,0.646902,1.0
0.646078,0.0,0.646078,1.0
0.645255,0.0,0.645255,1.0
0.644431,0.0,0.644431,1.0
0.643608,0.0,0.643608,1.0
0.642784,0.0,0.642784,1.0
0.641961,0.0,0.641961,1.0
0.641137,0.0,0.641137,1.0
0.640314,0.0,0.640314,1.0
0.63949,0.0,0.63949,1.0
0.638667,0.0,0.638667,1.0
0.637843,0.0,0.637843,1.0
0.63702,0.0,0.63702,1.0
0.636196,0.0,0.636196,1.0
0.635373,0.0,0.635373,1.0
0.634549,0.0,0.634549,1.0
0.633725,0.0,0.633725,1.0
0.632902,0.0,0.632902,1.0
0.632078,0.0,0.632078,1.0
0.631255,0.0,0.631255,1.0
0.630431,0.0,0.630431,1.0
0.629608,0.0,0.629608,1.0
0.628784,0.0,0.628784,1.0
0.627961,0.0,0.627961,1.0
0.627137,0.0,0.627137,1.0
0.626314,0.0,0.626314,1.0
0.62549,0.0,0.62549,1.0
0.624667,0.0,0.624667,1.0
0.623843,0.0,0.623843,1.0
0.62302,0.0,0.62302,1.0
0.622196,0.0,0.622196,1.0
0.621373,0.0,0.621373,1.0
0.620549,0.0,0.620549,1.0
0.619725,0.0,0.619725,1.0
0.618902,0.0,0.618902,1.0
0.618078,0.0,0.618078,1.0
0.617255,0.0,0.617255,1.0
0.616431,0.0,0.616431,1.0
