r,g,b,a
0.0,0.0,0.0,0.0
0.27451,0.27451,0.27451,1.0
0.54902,0.54902,0.54902,1.0
0.490196,0.490196,0.490196,1.0
0.431373,0.431373,0.431373,1.0
0.401961,0.401961,0.401961,1.0
0.372549,0.372549,0.372549,1.0
0.343137,0.343137,0.343137,1.0
0.313725,0.313725,0.313725,1.0
0.235294,0.411765,0.235294,1.0
0.156863,0.509804,0.156863,1.0
0.078431,0.607843,0.078431,1.0
0.0,0.705882,0.0,1.0
0.0,0.681373,0.0,1.0
0.0,0.656863,0.0,1.0
0.0,0.632353,0.0,1.0
0.0,0.607843,0.0,1.0
0.25,0.705882,0.0,1.0
0.5,0.803922,0.0,1.0
0.75,0.901961,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.970588,0.0,1.0
1.0,0.941176,0.0,1.0
1.0,0.911765,0.0,1.0
1.0,0.882353,0.0,1.0
1.0,0.857843,0.0,1.0
1.0,0.833333,0.0,1.0
1.0,0.808824,0.0,1.0
1.0,0.784314,0.0,1.0
1.0,0.764706,0.0,1.0
1.0,0.745098,0.0,1.0
1.0,0.72549,0.0,1.0
1.0,0.705882,0.0,1.0
1.0,0.686275,0.0,1.0
1.0,0.666667,0.0,1.0
1.0,0.647059,0.0,1.0
1.0,0.627451,0.0,1.0
0.926471,0.470588,0.0,1.0
0.852941,0.313725,0.0,1.0
0.779412,0.156863,0.0,1.0
0.705882,0.0,0.0,1.0
0.721569,0.0,0.0,1.0
0.737255,0.0,0.0,1.0
0.752941,0.0,0.0,1.0
0.768627,0.0,0.0,1.0
0.784314,0.0,0.0,1.0
0.803922,0.0,0.0,1.0
0.823529,0.0,0.0,1.0
0.843137,0.0,0.0,1.0
0.862745,0.0,0.0,1.0
0.882353,0.0,0.0,1.0
0.905882,0.0,0.0,1.0
0.929412,0.0,0.0,1.0
0.952941,0.0,0.0,1.0
0.976471,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.2,1.0
1.0,0.0,0.4,1.0
1.0,0.0,0.6,1.0
1.0,0.0,0.8,1.0
1.0,0.0,1.0,1.0
0.982353,0.0,0.982353,1.0
0.964706,0.0,0.964706,1.0
0.947059,0.0,0.947059,1.0
0.929412,0.0,0.929412,1.0
0.911765,0.0,0.911765,1.0
0.894118,0.0,0.894118,1.0
0.876471,0.0,0.876471,1.0
0.858824,0.0,0.858824,1.0
0.841176,0.0,0.841176,1.0
0.823529,0.0,0.823529,1.0
0.807843,0.0,0.807843,1.0
0.792157,0.0,0.792157,1.0
0.776471,0.0,0.776471,1.0
0.760784,0.0,0.760784,1.0
0.745098,0.0,0.745098,1.0
0.729412,0.0,0.729412,1.0
0.713725,0.0,0.713725,1.0
0.698039,0.0,0.698039,1.0
0.682353,0.0,0.682353,1.0
0.666667,0.0,0.666667,1.0
0.658431,0.0,0.658431,1.0
0.650196,0.0,0.650196,1.0
0.641961,0.0,0.641961,1.0
0.633725,0.0,0.633725,1.0
0.62549,0.0,0.62549,1.0
0.617255,0.0,0.617255,1.0
0.60902,0.0,0.60902,1.0
0.600784,0.0,0.600784,1.0
0.592549,0.0,0.592549,1.0
0.584314,0.0,0.584314,1.0
0.576078,0.0,0.576078,1.0
0.567843,0.0,0.567843,1.0
0.559608,0.0,0.559608,1.0
0.551373,0.0,0.551373,1.0
0.543137,0.0,0.543137,1.0
0.534902,0.0,0.534902,1.0
0.526667,0.0,0.526667,1.0
0.518431,0.0,0.518431,1.0
0.510196,0.0,0.510196,1.0
