r,g,b,a
0.0,0.0,0.0,1.0
0.05490196,0.039215688,0.039215688,1.0
0.27058825,0.18431373,0.0,1.0
0.4862745,0.32941177,0.0,1.0
0.7058824,0.47058824,0.0,1.0
0.47058824,0.47058824,0.7058824,1.0
0.39215687,0.39215687,0.7529412,1.0
0.3137255,0.3137255,0.8,1.0
0.23529412,0.23529412,0.84705883,1.0
0.15686275,0.15686275,0.89411765,1.0
0.078431375,0.078431375,0.94509804,1.0
0.0,0.0,1.0,1.0
0.47058824,0.47058824,0.47058824,1.0
0.5764706,0.5764706,0.5176471,1.0
0.68235296,0.68235296,0.5647059,1.0
0.7882353,0.7882353,0.6117647,1.0
0.89411765,0.89411765,0.65882355,1.0
1.0,1.0,0.7058824,1.0
0.7058824,0.23529412,0.0,1.0
0.7647059,0.28627452,0.047058824,1.0
0.8235294,0.34117648,0.09411765,1.0
0.88235295,0.39607844,0.14117648,1.0
0.9411765,0.44705883,0.1882353,1.0
1.0,0.49803922,0.23529412,1.0
0.49803922,0.11764706,0.49803922,1.0
0.47058824,0.09411765,0.47058824,1.0
0.4392157,0.07058824,0.4392157,1.0
0.4117647,0.047058824,0.4117647,1.0
0.38039216,0.023529412,0.38039216,1.0
0.3529412,0.0,0.3529412,1.0
1.0,0.0,0.0,1.0
0.93333334,0.0,0.0,1.0
0.8666667,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.73333335,0.0,0.0,1.0
0.6666667,0.0,0.0,1.0
0.078431375,0.078431375,0.078431375,1.0
0.08627451,0.08627451,0.08627451,1.0
0.09803922,0.09803922,0.09803922,1.0
0.105882354,0.105882354,0.105882354,1.0
0.11764706,0.11764706,0.11764706,1.0
0.1254902,0.1254902,0.1254902,1.0
0.13725491,0.13725491,0.13725491,1.0
0.14509805,0.14509805,0.14509805,1.0
0.15686275,0.15686275,0.15686275,1.0
0.16470589,0.16470589,0.16470589,1.0
0.1764706,0.1764706,0.1764706,1.0
0.18431373,0.18431373,0.18431373,1.0
0.19607843,0.19607843,0.19607843,1.0
0.20392157,0.20392157,0.20392157,1.0
0.21568628,0.21568628,0.21568628,1.0
0.22352941,0.22352941,0.22352941,1.0
0.23529412,0.23529412,0.23529412,1.0
0.3137255,0.3137255,0.33333334,1.0
0.37254903,0.37254903,0.38431373,1.0
0.43137255,0.43137255,0.43529412,1.0
0.49019608,0.49019608,0.49019608,1.0
0.5686275,0.5686275,0.5686275,1.0
0.74509805,0.74509805,0.74509805,1.0
0.8235294,0.8235294,0.8235294,1.0
0.8666667,0.8666667,0.8666667,1.0
0.9098039,0.9098039,0.9098039,1.0
0.9529412,0.9529412,0.9529412,1.0
1.0,1.0,1.0,1.0
