r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.8117647,1.0
0.5882353,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.49803922,0.0,1.0
0.7058824,0.3137255,0.0,1.0
0.49803922,0.13725491,0.3137255,1.0
0.49803922,0.13725491,0.22745098,1.0
0.49803922,0.13725491,0.13725491,1.0
1.0,1.0,0.0,1.0
0.972549,0.9882353,0.011764706,1.0
0.94509804,0.9764706,0.023529412,1.0
0.92156863,0.9607843,0.03529412,1.0
0.89411765,0.9490196,0.050980393,1.0
0.8666667,0.9372549,0.0627451,1.0
0.84313726,0.92156863,0.07450981,1.0
0.8156863,0.9098039,0.08627451,1.0
0.7882353,0.8980392,0.101960786,1.0
0.7647059,0.88235295,0.11372549,1.0
0.7372549,0.87058824,0.1254902,1.0
0.70980394,0.85882354,0.13725491,1.0
0.6862745,0.84313726,0.15294118,1.0
0.65882355,0.83137256,0.16470589,1.0
0.6313726,0.81960785,0.1764706,1.0
0.60784316,0.8039216,0.1882353,1.0
0.5803922,0.7921569,0.20392157,1.0
0.5529412,0.78039217,0.21568628,1.0
0.5294118,0.7647059,0.22745098,1.0
0.5019608,0.7529412,0.23921569,1.0
0.4745098,0.7411765,0.25490198,1.0
0.4509804,0.7254902,0.26666668,1.0
0.42352942,0.7137255,0.2784314,1.0
0.39607844,0.7019608,0.2901961,1.0
0.37254903,0.6862745,0.30588236,1.0
0.34509805,0.6745098,0.31764707,1.0
0.31764707,0.6627451,0.32941177,1.0
0.29411766,0.64705884,0.34117648,1.0
0.26666668,0.63529414,0.35686275,1.0
0.23921569,0.62352943,0.36862746,1.0
0.21568628,0.60784316,0.38039216,1.0
0.1882353,0.59607846,0.39607844,1.0
0.16078432,0.58431375,0.4117647,1.0
0.13725491,0.5686275,0.42745098,1.0
0.10980392,0.5568628,0.4392157,1.0
0.08235294,0.54509807,0.45490196,1.0
0.05882353,0.5294118,0.47058824,1.0
0.03137255,0.5137255,0.48235294,1.0
0.0,0.49803922,0.49803922,1.0
0.078431375,0.078431375,0.078431375,1.0
0.11764706,0.11764706,0.11764706,1.0
0.15686275,0.15686275,0.15686275,1.0
0.19607843,0.19607843,0.19607843,1.0
0.23529412,0.23529412,0.23529412,1.0
0.3137255,0.3137255,0.33333334,1.0
0.37254903,0.37254903,0.38431373,1.0
0.43137255,0.43137255,0.43529412,1.0
0.49019608,0.49019608,0.49019608,1.0
0.5686275,0.5686275,0.5686275,1.0
0.74509805,0.74509805,0.74509805,1.0
0.8235294,0.8235294,0.8235294,1.0
0.8666667,0.8666667,0.8666667,1.0
0.9137255,0.9137255,0.9137255,1.0
0.95686275,0.95686275,0.95686275,1.0
1.0,1.0,1.0,1.0
