r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.6392157,1.0,1.0
0.0,0.60784316,0.98039216,1.0
0.0,0.5764706,0.9607843,1.0
0.0,0.54509807,0.9372549,1.0
0.0,0.5137255,0.91764706,1.0
0.0,0.48235294,0.8980392,1.0
0.0,0.4509804,0.8745098,1.0
0.0,0.41960785,0.85490197,1.0
0.0,0.3882353,0.8352941,1.0
0.0,0.35686275,0.8117647,1.0
0.0,0.32156864,0.7921569,1.0
0.0,0.2901961,0.77254903,1.0
0.0,0.25882354,0.7490196,1.0
0.0,0.22745098,0.7294118,1.0
0.0,0.19607843,0.70980394,1.0
0.0,0.16470589,0.6862745,1.0
0.0,0.13333334,0.6666667,1.0
0.0,0.101960786,0.64705884,1.0
0.0,0.07058824,0.62352943,1.0
0.0,0.03529412,0.60784316,1.0
0.0,0.0,0.5882353,1.0
0.0,0.39215687,0.0,1.0
0.0,0.46666667,0.0,1.0
0.0,0.5411765,0.0,1.0
0.0,0.6156863,0.0,1.0
0.0,0.6901961,0.0,1.0
0.0,0.76862746,0.0,1.0
0.8627451,0.8235294,0.0,1.0
0.8156863,0.78431374,0.0,1.0
0.77254903,0.74509805,0.0,1.0
0.7294118,0.7058824,0.0,1.0
0.68235296,0.6666667,0.0,1.0
0.63529414,0.627451,0.0,1.0
0.5882353,0.5882353,0.0,1.0
0.9411765,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.78431374,0.0,0.0,1.0
0.7058824,0.0,0.0,1.0
0.627451,0.0,0.0,1.0
0.54901963,0.0,0.0,1.0
0.6666667,0.0,0.6666667,1.0
0.59607846,0.0,0.59607846,1.0
0.5254902,0.0,0.5254902,1.0
0.45490196,0.0,0.45490196,1.0
0.38431373,0.0,0.38431373,1.0
0.3137255,0.0,0.3137255,1.0
0.7882353,0.7882353,0.7882353,1.0
0.8039216,0.8039216,0.8039216,1.0
0.81960785,0.81960785,0.81960785,1.0
0.8352941,0.8352941,0.8352941,1.0
0.8509804,0.8509804,0.8509804,1.0
0.8666667,0.8666667,0.8666667,1.0
0.88235295,0.88235295,0.88235295,1.0
0.8980392,0.8980392,0.8980392,1.0
0.9137255,0.9137255,0.9137255,1.0
0.92941177,0.92941177,0.92941177,1.0
0.94509804,0.94509804,0.94509804,1.0
0.9607843,0.9607843,0.9607843,1.0
0.9764706,0.9764706,0.9764706,1.0
0.9882353,0.9882353,0.9882353,1.0
1.0,1.0,1.0,1.0
