r,g,b,a
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
1.0,0.992156862745098,1.0,1.0
1.0,0.984313725490196,1.0,1.0
1.0,0.976470588235294,1.0,1.0
1.0,0.968627450980392,1.0,1.0
1.0,0.96078431372549,1.0,1.0
1.0,0.952941176470588,1.0,1.0
1.0,0.945098039215686,1.0,1.0
1.0,0.937254901960784,1.0,1.0
1.0,0.925490196078431,1.0,1.0
1.0,0.917647058823529,1.0,1.0
1.0,0.909803921568627,1.0,1.0
1.0,0.901960784313726,1.0,1.0
1.0,0.890196078431372,1.0,1.0
1.0,0.882352941176471,1.0,1.0
1.0,0.874509803921569,1.0,1.0
1.0,0.866666666666667,1.0,1.0
1.0,0.854901960784314,1.0,1.0
1.0,0.847058823529412,1.0,1.0
1.0,0.835294117647059,1.0,1.0
1.0,0.827450980392157,1.0,1.0
1.0,0.815686274509804,1.0,1.0
1.0,0.807843137254902,1.0,1.0
1.0,0.796078431372549,1.0,1.0
1.0,0.788235294117647,1.0,1.0
1.0,0.776470588235294,1.0,1.0
1.0,0.768627450980392,1.0,1.0
1.0,0.756862745098039,1.0,1.0
1.0,0.745098039215686,1.0,1.0
1.0,0.733333333333333,1.0,1.0
1.0,0.725490196078431,1.0,1.0
1.0,0.713725490196078,1.0,1.0
1.0,0.701960784313725,1.0,1.0
1.0,0.690196078431373,1.0,1.0
1.0,0.67843137254902,1.0,1.0
1.0,0.666666666666667,1.0,1.0
1.0,0.654901960784314,1.0,1.0
1.0,0.643137254901961,1.0,1.0
1.0,0.631372549019608,1.0,1.0
1.0,0.615686274509804,1.0,1.0
1.0,0.603921568627451,1.0,1.0
1.0,0.592156862745098,1.0,1.0
1.0,0.576470588235294,1.0,1.0
1.0,0.564705882352941,1.0,1.0
1.0,0.549019607843137,1.0,1.0
1.0,0.533333333333333,1.0,1.0
1.0,0.517647058823529,1.0,1.0
1.0,0.501960784313725,1.0,1.0
1.0,0.486274509803922,1.0,1.0
1.0,0.470588235294118,1.0,1.0
1.0,0.454901960784314,1.0,1.0
1.0,0.435294117647059,1.0,1.0
1.0,0.415686274509804,1.0,1.0
1.0,0.396078431372549,1.0,1.0
1.0,0.376470588235294,1.0,1.0
1.0,0.356862745098039,1.0,1.0
1.0,0.333333333333333,1.0,1.0
1.0,0.305882352941176,1.0,1.0
1.0,0.282352941176471,1.0,1.0
1.0,0.250980392156863,1.0,1.0
1.0,0.215686274509804,1.0,1.0
1.0,0.176470588235294,1.0,1.0
1.0,0.125490196078431,1.0,1.0
1.0,0.0,1.0,1.0
0.996078431372549,0.0666666666666667,0.996078431372549,1.0
0.992156862745098,0.0941176470588235,0.992156862745098,1.0
0.984313725490196,0.117647058823529,0.984313725490196,1.0
0.980392156862745,0.137254901960784,0.980392156862745,1.0
0.972549019607843,0.152941176470588,0.972549019607843,1.0
0.968627450980392,0.164705882352941,0.968627450980392,1.0
0.96078431372549,0.180392156862745,0.96078431372549,1.0
0.956862745098039,0.192156862745098,0.956862745098039,1.0
0.949019607843137,0.203921568627451,0.949019607843137,1.0
0.945098039215686,0.215686274509804,0.945098039215686,1.0
0.941176470588235,0.227450980392157,0.941176470588235,1.0
0.933333333333333,0.235294117647059,0.933333333333333,1.0
0.929411764705882,0.247058823529412,0.929411764705882,1.0
0.92156862745098,0.254901960784314,0.92156862745098,1.0
0.913725490196078,0.262745098039216,0.913725490196078,1.0
0.909803921568627,0.274509803921569,0.909803921568627,1.0
0.901960784313726,0.282352941176471,0.901960784313726,1.0
0.898039215686275,0.290196078431373,0.898039215686275,1.0
0.890196078431372,0.298039215686275,0.890196078431372,1.0
0.886274509803922,0.305882352941176,0.886274509803922,1.0
0.87843137254902,0.313725490196078,0.87843137254902,1.0
0.870588235294118,0.32156862745098,0.870588235294118,1.0
0.866666666666667,0.329411764705882,0.866666666666667,1.0
0.858823529411765,0.333333333333333,0.858823529411765,1.0
0.854901960784314,0.341176470588235,0.854901960784314,1.0
0.847058823529412,0.349019607843137,0.847058823529412,1.0
0.83921568627451,0.356862745098039,0.83921568627451,1.0
0.835294117647059,0.36078431372549,0.835294117647059,1.0
0.827450980392157,0.368627450980392,0.827450980392157,1.0
0.819607843137255,0.372549019607843,0.819607843137255,1.0
0.815686274509804,0.380392156862745,0.815686274509804,1.0
0.807843137254902,0.388235294117647,0.807843137254902,1.0
0.8,0.392156862745098,0.8,1.0
0.792156862745098,0.4,0.792156862745098,1.0
0.788235294117647,0.403921568627451,0.788235294117647,1.0
0.780392156862745,0.411764705882353,0.780392156862745,1.0
0.772549019607843,0.415686274509804,0.772549019607843,1.0
0.764705882352941,0.423529411764706,0.764705882352941,1.0
0.756862745098039,0.427450980392157,0.756862745098039,1.0
0.749019607843137,0.431372549019608,0.749019607843137,1.0
0.745098039215686,0.43921568627451,0.745098039215686,1.0
0.737254901960784,0.443137254901961,0.737254901960784,1.0
0.729411764705882,0.447058823529412,0.729411764705882,1.0
0.72156862745098,0.454901960784314,0.72156862745098,1.0
0.713725490196078,0.458823529411765,0.713725490196078,1.0
0.705882352941177,0.462745098039216,0.705882352941177,1.0
0.698039215686274,0.470588235294118,0.698039215686274,1.0
0.690196078431373,0.474509803921569,0.690196078431373,1.0
