r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.30980393,1.0,1.0,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.3254902,1.0,0.5803922,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
0.99607843,1.0,0.63529414,1.0
