r,g,b,a
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
0.658824,1.0,0.321569,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
1.0,0.505882,0.011765,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.988235,0.090196,0.090196,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
