r,g,b,a
0.0,0.0,0.0,1.0
0.07058824,0.0,0.07058824,1.0
0.16078432,0.0,0.16078432,1.0
0.24313726,0.0,0.24313726,1.0
0.3254902,0.0,0.3254902,1.0
0.4117647,0.0,0.4117647,1.0
0.49803922,0.0,0.49803922,1.0
0.58431375,0.0,0.58431375,1.0
0.6666667,0.0,0.6666667,1.0
0.5921569,0.0,0.62352943,1.0
0.5176471,0.0,0.58431375,1.0
0.44313726,0.0,0.54901963,1.0
0.37254903,0.0,0.50980395,1.0
0.29411766,0.0,0.4745098,1.0
0.22352941,0.0,0.43529412,1.0
0.14901961,0.0,0.40392157,1.0
0.07058824,0.0,0.36078432,1.0
0.0,0.0,0.3254902,1.0
0.0,0.07058824,0.36078432,1.0
0.0,0.14901961,0.40392157,1.0
0.0,0.22352941,0.43529412,1.0
0.0,0.29411766,0.4745098,1.0
0.0,0.37254903,0.5058824,1.0
0.0,0.44313726,0.54901963,1.0
0.0,0.5176471,0.58431375,1.0
0.0,0.5921569,0.62352943,1.0
0.0,0.6666667,0.6666667,1.0
0.0,0.62352943,0.5921569,1.0
0.0,0.58431375,0.5176471,1.0
0.0,0.54901963,0.44313726,1.0
0.0,0.5058824,0.37254903,1.0
0.0,0.47843137,0.29411766,1.0
0.0,0.43529412,0.22352941,1.0
0.0,0.40392157,0.14901961,1.0
0.0,0.36078432,0.07058824,1.0
0.0,0.3254902,0.0,1.0
0.07058824,0.36078432,0.0,1.0
0.14901961,0.40392157,0.0,1.0
0.22352941,0.43529412,0.0,1.0
0.29411766,0.47843137,0.0,1.0
0.37254903,0.5058824,0.0,1.0
0.44313726,0.54901963,0.0,1.0
0.5176471,0.58431375,0.0,1.0
0.5921569,0.62352943,0.0,1.0
0.6666667,0.6666667,0.0,1.0
0.62352943,0.5921569,0.0,1.0
0.58431375,0.5176471,0.0,1.0
0.54901963,0.44313726,0.0,1.0
0.5058824,0.37254903,0.0,1.0
0.4745098,0.29411766,0.0,1.0
0.43529412,0.22352941,0.0,1.0
0.40392157,0.14901961,0.0,1.0
0.36078432,0.07058824,0.0,1.0
0.3254902,0.0,0.0,1.0
0.42352942,0.0,0.0,1.0
0.5058824,0.0,0.0,1.0
0.57254905,0.0,0.0,1.0
0.6666667,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
