r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.019607844,0.019607844,0.019607844,1.0
0.039215688,0.039215688,0.039215688,1.0
0.05882353,0.05882353,0.05882353,1.0
0.078431375,0.078431375,0.078431375,1.0
0.09803922,0.09803922,0.09803922,1.0
0.11764706,0.11764706,0.11764706,1.0
0.13725491,0.13725491,0.13725491,1.0
0.15686275,0.15686275,0.15686275,1.0
0.1764706,0.1764706,0.1764706,1.0
0.19607843,0.19607843,0.19607843,1.0
0.21568628,0.21568628,0.21568628,1.0
0.23529412,0.23529412,0.23529412,1.0
0.25490198,0.25490198,0.25490198,1.0
0.27450982,0.27450982,0.27450982,1.0
0.29411766,0.29411766,0.29411766,1.0
0.3137255,0.3137255,0.3137255,1.0
0.33333334,0.33333334,0.33333334,1.0
0.3529412,0.3529412,0.3529412,1.0
0.37254903,0.37254903,0.37254903,1.0
0.39215687,0.39215687,0.39215687,1.0
0.4117647,0.4117647,0.4117647,1.0
0.43137255,0.43137255,0.43137255,1.0
0.4509804,0.4509804,0.4509804,1.0
0.47058824,0.47058824,0.47058824,1.0
0.49019608,0.49019608,0.49019608,1.0
0.50980395,0.50980395,0.50980395,1.0
0.5294118,0.5294118,0.5294118,1.0
0.54901963,0.54901963,0.54901963,1.0
0.5686275,0.5686275,0.5686275,1.0
0.5882353,0.5882353,0.5882353,1.0
0.60784316,0.60784316,0.60784316,1.0
0.627451,0.627451,0.627451,1.0
0.64705884,0.64705884,0.64705884,1.0
0.6666667,0.6666667,0.6666667,1.0
0.6862745,0.6862745,0.6862745,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7254902,0.7254902,0.7254902,1.0
0.74509805,0.74509805,0.74509805,1.0
0.7647059,0.7647059,0.7647059,1.0
0.78431374,0.78431374,0.78431374,1.0
0.8,0.8,0.8,1.0
0.8156863,0.8156863,0.8156863,1.0
0.83137256,0.83137256,0.83137256,1.0
0.84705883,0.84705883,0.84705883,1.0
0.8627451,0.8627451,0.8627451,1.0
0.8784314,0.8784314,0.8784314,1.0
0.89411765,0.89411765,0.89411765,1.0
0.9098039,0.9098039,0.9098039,1.0
0.9254902,0.9254902,0.9254902,1.0
0.9411765,0.9411765,0.9411765,1.0
0.95686275,0.95686275,0.95686275,1.0
0.972549,0.972549,0.972549,1.0
0.9882353,0.9882353,0.9882353,1.0
1.0,1.0,1.0,1.0
0.0,0.27450982,0.039215688,1.0
0.039215688,0.39215687,0.11764706,1.0
0.11764706,0.50980395,0.19607843,1.0
0.19607843,0.627451,0.27450982,1.0
0.27450982,0.74509805,0.3529412,1.0
0.3529412,0.8627451,0.43137255,1.0
0.43137255,0.98039216,0.50980395,1.0
0.19607843,0.0,0.0,1.0
0.39215687,0.0,0.0,1.0
0.5882353,0.0,0.0,1.0
0.78431374,0.0,0.0,1.0
0.98039216,0.0,0.0,1.0
0.0,0.0,0.39215687,1.0
0.19607843,0.19607843,0.6862745,1.0
0.39215687,0.39215687,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
