r,g,b,a
0.0,0.0,0.0,1.0
0.10980392,0.0,0.10980392,1.0
0.23921569,0.0,0.23921569,1.0
0.3647059,0.0,0.3647059,1.0
0.49019608,0.0,0.49019608,1.0
0.61960787,0.0,0.61960787,1.0
0.74509805,0.0,0.74509805,1.0
0.8745098,0.0,0.8745098,1.0
1.0,0.0,1.0,1.0
0.8901961,0.0,0.9372549,1.0
0.7764706,0.0,0.8745098,1.0
0.6666667,0.0,0.8235294,1.0
0.5568628,0.0,0.7607843,1.0
0.44313726,0.0,0.7137255,1.0
0.33333334,0.0,0.6509804,1.0
0.22352941,0.0,0.6039216,1.0
0.10980392,0.0,0.5411765,1.0
0.0,0.0,0.49019608,1.0
0.0,0.10980392,0.5411765,1.0
0.0,0.22352941,0.6039216,1.0
0.0,0.33333334,0.6509804,1.0
0.0,0.44313726,0.7137255,1.0
0.0,0.5568628,0.7607843,1.0
0.0,0.6666667,0.8235294,1.0
0.0,0.7764706,0.8745098,1.0
0.0,0.8901961,0.9372549,1.0
0.0,1.0,1.0,1.0
0.0,0.9372549,0.8901961,1.0
0.0,0.8745098,0.7764706,1.0
0.0,0.8235294,0.6666667,1.0
0.0,0.7607843,0.5568628,1.0
0.0,0.7137255,0.44313726,1.0
0.0,0.6509804,0.33333334,1.0
0.0,0.6039216,0.22352941,1.0
0.0,0.5411765,0.10980392,1.0
0.0,0.49019608,0.0,1.0
0.10980392,0.5411765,0.0,1.0
0.22352941,0.6039216,0.0,1.0
0.33333334,0.6509804,0.0,1.0
0.44313726,0.7137255,0.0,1.0
0.5568628,0.7607843,0.0,1.0
0.6666667,0.8235294,0.0,1.0
0.7764706,0.8745098,0.0,1.0
0.8901961,0.9372549,0.0,1.0
1.0,1.0,0.0,1.0
0.9372549,0.8901961,0.0,1.0
0.8745098,0.7764706,0.0,1.0
0.8235294,0.6666667,0.0,1.0
0.7607843,0.5568628,0.0,1.0
0.7137255,0.44313726,0.0,1.0
0.6509804,0.33333334,0.0,1.0
0.6039216,0.22352941,0.0,1.0
0.5411765,0.10980392,0.0,1.0
0.49019608,0.0,0.0,1.0
0.63529414,0.0,0.0,1.0
0.7607843,0.0,0.0,1.0
0.85882354,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
