r,g,b,a
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.023529412,3.0
0.0,0.0,0.047058824,3.0
0.0,0.0,0.07058824,3.0
0.0,0.0,0.09411765,3.0
0.0,0.0,0.11764706,3.0
0.0,0.0,0.14117648,3.0
0.0,0.0,0.16470589,3.0
0.0,0.0,0.18431373,3.0
0.0,0.0,0.2,3.0
0.0,0.0,0.21568628,3.0
0.0,0.0,0.23137255,3.0
0.0,0.0,0.24705882,3.0
0.0,0.0,0.2627451,3.0
0.0,0.0,0.2784314,3.0
0.0,0.0,0.29411766,3.0
0.0,0.0,0.30980393,3.0
0.0,0.0,0.3254902,3.0
0.0,0.0,0.34117648,3.0
0.0,0.0,0.35686275,3.0
0.0,0.0,0.37254903,3.0
0.0,0.0,0.3882353,3.0
0.0,0.0,0.40392157,3.0
0.0,0.0,0.41960785,3.0
0.0,0.0,0.43529412,3.0
0.0,0.0,0.4509804,3.0
0.0,0.0,0.46666667,3.0
0.0,0.0,0.48235294,3.0
0.023529412,0.023529412,0.49803922,3.0
0.047058824,0.047058824,0.5137255,3.0
0.07058824,0.07058824,0.5294118,3.0
0.09411765,0.09411765,0.54509807,3.0
0.11764706,0.11764706,0.56078434,3.0
0.14117648,0.14117648,0.5764706,3.0
0.16470589,0.16470589,0.5921569,3.0
0.1882353,0.1882353,0.60784316,3.0
0.21176471,0.21176471,0.62352943,3.0
0.23529412,0.23529412,0.6392157,3.0
0.25882354,0.25882354,0.654902,3.0
0.28235295,0.28235295,0.67058825,3.0
0.30588236,0.30588236,0.6862745,3.0
0.32941177,0.32941177,0.7019608,3.0
0.3529412,0.3529412,0.7176471,3.0
0.3764706,0.3764706,0.73333335,3.0
0.4,0.4,0.7490196,3.0
0.42352942,0.42352942,0.7647059,3.0
0.44705883,0.44705883,0.78039217,3.0
0.47058824,0.47058824,0.79607844,3.0
0.49411765,0.49411765,0.8117647,3.0
0.5176471,0.5176471,0.827451,3.0
0.5411765,0.5411765,0.84313726,3.0
0.5647059,0.5647059,0.85882354,3.0
0.5882353,0.5882353,0.8745098,3.0
0.6117647,0.6117647,0.8901961,3.0
0.63529414,0.63529414,0.90588236,3.0
0.65882355,0.65882355,0.92156863,3.0
0.68235296,0.68235296,0.9372549,3.0
0.7058824,0.7058824,0.9529412,3.0
0.7294118,0.7294118,0.96862745,3.0
0.7529412,0.7529412,0.9843137,3.0
0.0,0.92156863,0.0,3.0
0.0,0.9019608,0.0,3.0
0.0,0.88235295,0.0,3.0
0.0,0.8627451,0.0,3.0
0.0,0.84313726,0.0,3.0
0.0,0.8235294,0.0,3.0
0.0,0.8039216,0.0,3.0
0.0,0.7764706,0.0,3.0
0.0,0.7490196,0.0,3.0
0.0,0.72156864,0.0,3.0
0.0,0.69411767,0.0,3.0
0.0,0.6666667,0.0,3.0
0.0,0.6392157,0.0,3.0
0.0,0.6117647,0.0,3.0
0.0,0.58431375,0.0,3.0
0.0,0.5568628,0.0,3.0
0.0,0.5294118,0.0,3.0
0.0,0.5019608,0.0,3.0
0.0,0.4745098,0.0,3.0
0.0,0.44705883,0.0,3.0
0.15294118,0.47058824,0.0,3.0
0.1764706,0.5019608,0.0,3.0
0.2,0.53333336,0.0,3.0
0.22352941,0.5647059,0.0,3.0
0.24705882,0.59607846,0.0,3.0
0.27058825,0.627451,0.0,3.0
0.29411766,0.6509804,0.0,3.0
0.31764707,0.6666667,0.0,3.0
0.34117648,0.68235296,0.0,3.0
0.3647059,0.69803923,0.0,3.0
0.3882353,0.7137255,0.0,3.0
0.4117647,0.7294118,0.0,3.0
0.43529412,0.7372549,0.0,3.0
0.45882353,0.7529412,0.0,3.0
0.48235294,0.76862746,0.0,3.0
0.5058824,0.78431374,0.0,3.0
0.5294118,0.7921569,0.0,3.0
0.5529412,0.8,0.0,3.0
0.5764706,0.80784315,0.0,3.0
0.6,0.8156863,0.0,3.0
0.62352943,0.8235294,0.0,3.0
0.64705884,0.83137256,0.0,3.0
0.67058825,0.8392157,0.0,3.0
0.69411767,0.84705883,0.0,3.0
0.7176471,0.85490197,0.0,3.0
0.7411765,0.8627451,0.0,3.0
0.7647059,0.87058824,0.0,3.0
0.7882353,0.8784314,0.0,3.0
0.8117647,0.8862745,0.0,3.0
0.8352941,0.89411765,0.0,3.0
0.85882354,0.9019608,0.0,3.0
0.88235295,0.9098039,0.0,3.0
0.90588236,0.91764706,0.0,3.0
0.92941177,0.9254902,0.0,3.0
0.9529412,0.93333334,0.0,3.0
0.9764706,0.9411765,0.0,3.0
1.0,0.9490196,0.0,3.0
0.98039216,0.9098039,0.0,3.0
0.9607843,0.87058824,0.0,3.0
0.9411765,0.83137256,0.0,3.0
0.92156863,0.7921569,0.0,3.0
0.9019608,0.7529412,0.0,3.0
0.88235295,0.7137255,0.0,3.0
0.87058824,0.69411767,0.0,3.0
0.8627451,0.6745098,0.0,3.0
0.8509804,0.654902,0.0,3.0
0.84313726,0.63529414,0.0,3.0
0.83137256,0.6156863,0.0,3.0
0.8235294,0.59607846,0.0,3.0
0.8117647,0.5764706,0.0,3.0
0.8039216,0.5568628,0.0,3.0
0.7921569,0.5372549,0.0,3.0
0.78431374,0.5176471,0.0,3.0
0.77254903,0.49803922,0.0,3.0
0.7647059,0.47843137,0.0,3.0
0.7529412,0.4392157,0.0,3.0
0.74509805,0.4,0.0,3.0
0.73333335,0.38039216,0.0,3.0
0.7254902,0.36078432,0.0,3.0
0.7137255,0.34117648,0.0,3.0
0.7058824,0.32156864,0.0,3.0
0.69411767,0.3019608,0.0,3.0
0.6862745,0.28235295,0.0,3.0
0.6745098,0.2627451,0.0,3.0
0.6666667,0.24313726,0.0,3.0
0.654902,0.22352941,0.0,3.0
0.64705884,0.20392157,0.0,3.0
0.63529414,0.18431373,0.0,3.0
0.627451,0.16470589,0.0,3.0
0.60784316,0.1254902,0.0,3.0
0.5882353,0.08627451,0.0,3.0
0.5686275,0.047058824,0.0,3.0
0.5686275,0.0,0.0,3.0
0.60784316,0.0,0.0,3.0
0.64705884,0.0,0.0,3.0
0.6862745,0.0,0.0,3.0
0.7254902,0.0,0.0,3.0
0.7647059,0.0,0.0,3.0
0.8039216,0.0,0.0,3.0
0.84313726,0.0,0.0,3.0
0.88235295,0.0,0.0,3.0
0.92156863,0.0,0.0,3.0
0.9607843,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.047058824,0.047058824,3.0
1.0,0.09411765,0.09411765,3.0
1.0,0.14117648,0.14117648,3.0
1.0,0.1882353,0.1882353,3.0
1.0,0.23529412,0.23529412,3.0
1.0,0.28235295,0.28235295,3.0
1.0,0.32941177,0.32941177,3.0
1.0,0.3764706,0.3764706,3.0
1.0,0.42352942,0.42352942,3.0
1.0,0.47058824,0.47058824,3.0
1.0,0.5176471,0.5176471,3.0
1.0,0.5647059,0.5647059,3.0
1.0,0.6117647,0.6117647,3.0
1.0,0.65882355,0.65882355,3.0
1.0,0.7058824,0.7058824,3.0
1.0,0.7529412,0.7529412,3.0
1.0,0.8,0.8,3.0
1.0,0.84705883,0.84705883,3.0
1.0,0.89411765,0.89411765,3.0
1.0,0.91764706,0.91764706,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
