r,g,b,a
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.02745098,0.0,0.0,3.0
0.03529412,0.03529412,0.03529412,3.0
0.11372549,0.11372549,0.11372549,3.0
0.19215687,0.19215687,0.19215687,3.0
0.27058825,0.27058825,0.27058825,3.0
0.34901962,0.34901962,0.34901962,3.0
0.42745098,0.42745098,0.42745098,3.0
0.5019608,0.5019608,0.5019608,3.0
0.57254905,0.57254905,0.57254905,3.0
0.6431373,0.6431373,0.6431373,3.0
0.7137255,0.7137255,0.7137255,3.0
0.78431374,0.78431374,0.78431374,3.0
0.85490197,0.85490197,0.85490197,3.0
0.9254902,0.9254902,0.9254902,3.0
0.99607843,0.99607843,0.99607843,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
0.45882353,0.45882353,0.45882353,3.0
0.46666667,0.46666667,0.46666667,3.0
0.4745098,0.4745098,0.4745098,3.0
0.48235294,0.48235294,0.48235294,3.0
0.49019608,0.49019608,0.49019608,3.0
0.49803922,0.49803922,0.49803922,3.0
0.5058824,0.5058824,0.5058824,3.0
0.5137255,0.5137255,0.5137255,3.0
0.52156866,0.52156866,0.52156866,3.0
0.5294118,0.5294118,0.5294118,3.0
0.5372549,0.5372549,0.5372549,3.0
0.54509807,0.54509807,0.54509807,3.0
0.5529412,0.5529412,0.5529412,3.0
0.56078434,0.56078434,0.56078434,3.0
0.5686275,0.5686275,0.5686275,3.0
0.5764706,0.5764706,0.5764706,3.0
0.58431375,0.58431375,0.58431375,3.0
0.5921569,0.5921569,0.5921569,3.0
0.6,0.6,0.6,3.0
0.60784316,0.60784316,0.60784316,3.0
0.6156863,0.6156863,0.6156863,3.0
0.62352943,0.62352943,0.62352943,3.0
0.6313726,0.6313726,0.6313726,3.0
0.6392157,0.6392157,0.6392157,3.0
0.64705884,0.64705884,0.64705884,3.0
0.654902,0.654902,0.654902,3.0
0.6627451,0.6627451,0.6627451,3.0
0.67058825,0.67058825,0.67058825,3.0
0.6784314,0.6784314,0.6784314,3.0
0.6862745,0.6862745,0.6862745,3.0
0.6862745,0.6862745,0.6862745,3.0
0.6862745,0.6862745,0.6862745,3.0
0.45490196,0.45490196,0.45490196,3.0
0.45490196,0.45490196,0.45490196,3.0
0.45490196,0.45490196,0.45490196,3.0
0.45490196,0.45490196,0.45490196,3.0
0.627451,0.627451,0.627451,3.0
0.627451,0.627451,0.627451,3.0
0.627451,0.627451,0.627451,3.0
0.627451,0.627451,0.627451,3.0
0.627451,0.627451,0.627451,3.0
0.627451,0.627451,0.627451,3.0
0.29803923,0.29803923,0.29803923,3.0
0.29803923,0.29803923,0.29803923,3.0
0.29803923,0.29803923,0.29803923,3.0
0.29803923,0.29803923,0.29803923,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.06666667,0.06666667,0.06666667,3.0
0.2,0.2,0.2,3.0
0.33333334,0.33333334,0.33333334,3.0
0.46666667,0.46666667,0.46666667,3.0
0.6,0.6,0.6,3.0
0.73333335,0.73333335,0.73333335,3.0
0.8666667,0.8666667,0.8666667,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
