r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.011764706,0.011764706,0.011764706,1.0
0.023529412,0.023529412,0.023529412,1.0
0.03529412,0.03529412,0.03529412,1.0
0.047058824,0.047058824,0.047058824,1.0
0.05882353,0.05882353,0.05882353,1.0
0.07058824,0.07058824,0.07058824,1.0
0.08235294,0.08235294,0.08235294,1.0
0.09411765,0.09411765,0.09411765,1.0
0.105882354,0.105882354,0.105882354,1.0
0.11764706,0.11764706,0.11764706,1.0
0.12941177,0.12941177,0.12941177,1.0
0.14117648,0.14117648,0.14117648,1.0
0.15294118,0.15294118,0.15294118,1.0
0.16470589,0.16470589,0.16470589,1.0
0.1764706,0.1764706,0.1764706,1.0
0.1882353,0.1882353,0.1882353,1.0
0.2,0.2,0.2,1.0
0.21176471,0.21176471,0.21176471,1.0
0.22352941,0.22352941,0.22352941,1.0
0.23529412,0.23529412,0.23529412,1.0
0.24705882,0.24705882,0.24705882,1.0
0.27058825,0.27058825,0.27058825,1.0
0.29411766,0.29411766,0.29411766,1.0
0.31764707,0.31764707,0.31764707,1.0
0.34117648,0.34117648,0.34117648,1.0
0.3647059,0.3647059,0.3647059,1.0
0.3882353,0.3882353,0.3882353,1.0
0.4117647,0.4117647,0.4117647,1.0
0.43529412,0.43529412,0.43529412,1.0
0.45882353,0.45882353,0.45882353,1.0
0.48235294,0.48235294,0.48235294,1.0
0.5058824,0.5058824,0.5058824,1.0
0.5294118,0.5294118,0.5294118,1.0
0.5529412,0.5529412,0.5529412,1.0
0.5764706,0.5764706,0.5764706,1.0
0.6,0.6,0.6,1.0
0.62352943,0.62352943,0.62352943,1.0
0.63529414,0.63529414,0.63529414,1.0
0.65882355,0.65882355,0.65882355,1.0
0.68235296,0.68235296,0.68235296,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7294118,0.7294118,0.7294118,1.0
0.7529412,0.7529412,0.7529412,1.0
0.7764706,0.7764706,0.7764706,1.0
0.8,0.8,0.8,1.0
0.8235294,0.8235294,0.8235294,1.0
0.84705883,0.84705883,0.84705883,1.0
0.87058824,0.87058824,0.87058824,1.0
0.89411765,0.89411765,0.89411765,1.0
0.91764706,0.91764706,0.91764706,1.0
0.9411765,0.9411765,0.9411765,1.0
0.9647059,0.9647059,0.9647059,1.0
0.9882353,0.9882353,0.9882353,1.0
1.0,1.0,1.0,1.0
0.078431375,0.078431375,0.078431375,1.0
0.15686275,0.15686275,0.15686275,1.0
0.23529412,0.23529412,0.23529412,1.0
0.3137255,0.3137255,0.3137255,1.0
0.39215687,0.39215687,0.39215687,1.0
0.47058824,0.47058824,0.47058824,1.0
0.54901963,0.54901963,0.54901963,1.0
0.627451,0.627451,0.627451,1.0
0.7058824,0.7058824,0.7058824,1.0
0.78431374,0.78431374,0.78431374,1.0
0.8627451,0.8627451,0.8627451,1.0
0.9411765,0.9411765,0.9411765,1.0
1.0,1.0,1.0,1.0
0.0,0.47058824,0.47058824,1.0
0.0,0.7058824,0.7058824,1.0
0.0,0.98039216,0.98039216,1.0
0.078431375,0.0,0.0,1.0
0.43137255,0.0,0.0,1.0
0.7058824,0.0,0.0,1.0
0.98039216,0.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
