r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.078431375,0.078431375,0.078431375,1.0
0.09411765,0.09411765,0.09411765,1.0
0.1254902,0.1254902,0.1254902,1.0
0.15686275,0.15686275,0.15686275,1.0
0.19215687,0.19215687,0.19215687,1.0
0.22352941,0.22352941,0.22352941,1.0
0.25490198,0.25490198,0.25490198,1.0
0.28627452,0.28627452,0.28627452,1.0
0.31764707,0.31764707,0.31764707,1.0
0.34901962,0.34901962,0.34901962,1.0
0.3647059,0.3647059,0.3647059,1.0
0.39607844,0.39607844,0.39607844,1.0
0.42745098,0.42745098,0.42745098,1.0
0.45882353,0.45882353,0.45882353,1.0
0.49019608,0.49019608,0.49019608,1.0
0.5254902,0.5254902,0.5254902,1.0
0.5568628,0.5568628,0.5568628,1.0
0.5882353,0.5882353,0.5882353,1.0
0.61960787,0.61960787,0.61960787,1.0
0.6509804,0.6509804,0.6509804,1.0
0.6666667,0.6666667,0.6666667,1.0
0.6784314,0.6784314,0.6784314,1.0
0.6901961,0.6901961,0.6901961,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7176471,0.7176471,0.7176471,1.0
0.73333335,0.73333335,0.73333335,1.0
0.74509805,0.74509805,0.74509805,1.0
0.75686276,0.75686276,0.75686276,1.0
0.77254903,0.77254903,0.77254903,1.0
0.78431374,0.78431374,0.78431374,1.0
0.8,0.8,0.8,1.0
0.8156863,0.8156863,0.8156863,1.0
0.83137256,0.83137256,0.83137256,1.0
0.84705883,0.84705883,0.84705883,1.0
0.85882354,0.85882354,0.85882354,1.0
0.0,0.0,0.4745098,1.0
0.0,0.15686275,0.63529414,1.0
0.0,0.4745098,0.7921569,1.0
0.0,0.74509805,0.9529412,1.0
0.0,1.0,1.0,1.0
0.33333334,0.0,0.0,1.0
0.6666667,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.31764707,0.31764707,1.0
1.0,0.5568628,0.5568628,1.0
0.0,1.0,0.0,1.0
0.4745098,1.0,0.4745098,1.0
0.7137255,1.0,0.7137255,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
