r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.011764706,0.007843138,0.0,1.0
0.06666667,0.03529412,0.0,1.0
0.12156863,0.0627451,0.0,1.0
0.1764706,0.09019608,0.0,1.0
0.23137255,0.11764706,0.0,1.0
0.28627452,0.14509805,0.0,1.0
0.34117648,0.17254902,0.0,1.0
0.39607844,0.2,0.0,1.0
0.4509804,0.22745098,0.0,1.0
0.5058824,0.25490198,0.0,1.0
0.56078434,0.28235295,0.0,1.0
0.6156863,0.30980393,0.0,1.0
0.67058825,0.3372549,0.0,1.0
0.7254902,0.3647059,0.0,1.0
0.78039217,0.39215687,0.0,1.0
0.8352941,0.41960785,0.0,1.0
0.8901961,0.44705883,0.0,1.0
0.94509804,0.4745098,0.0,1.0
1.0,0.49803922,0.0,1.0
1.0,0.49803922,0.0,1.0
1.0,0.62352943,0.0,1.0
1.0,0.7490196,0.0,1.0
1.0,0.8745098,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.49803922,0.49803922,0.49803922,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.8666667,0.8666667,0.8666667,1.0
0.73333335,0.73333335,0.73333335,1.0
0.6,0.6,0.6,1.0
0.46666667,0.46666667,0.46666667,1.0
0.33333334,0.33333334,0.33333334,1.0
0.19607843,0.19607843,0.19607843,1.0
0.05490196,0.05490196,0.05490196,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
