r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.11764706,0.11764706,0.0,1.0
0.18039216,0.14117648,0.0,1.0
0.24313726,0.16078432,0.0,1.0
0.30980393,0.18431373,0.0,1.0
0.37254903,0.20392157,0.0,1.0
0.43529412,0.22745098,0.0,1.0
0.5019608,0.2509804,0.0,1.0
0.5019608,0.32941177,0.0,1.0
1.0,0.0,0.0,1.0
0.972549,0.07058824,0.0,1.0
0.92941177,0.15686275,0.0,1.0
0.9019608,0.24313726,0.0,1.0
0.87058824,0.32941177,0.0,1.0
0.78431374,0.77254903,0.21568628,1.0
0.85490197,0.84705883,0.14509805,1.0
0.9254902,0.92156863,0.07058824,1.0
1.0,1.0,0.0,1.0
0.0,0.9607843,0.0,1.0
0.0,0.8980392,0.0,1.0
0.0,0.8352941,0.0,1.0
0.0,0.77254903,0.0,1.0
0.0,0.70980394,0.0,1.0
0.0,0.64705884,0.0,1.0
0.0,0.5882353,0.0,1.0
0.0,0.9490196,0.90588236,1.0
0.0,0.7921569,0.81960785,1.0
0.0,0.63529414,0.73333335,1.0
0.0,0.4745098,0.64705884,1.0
0.0,0.31764707,0.56078434,1.0
0.0,0.16078432,0.4745098,1.0
0.0,0.0,0.39215687,1.0
0.06666667,0.0,0.3019608,1.0
0.12941177,0.0,0.20784314,1.0
0.19607843,0.0,0.11764706,1.0
0.19607843,0.0,0.11764706,1.0
0.2509804,0.019607844,0.1254902,1.0
0.30588236,0.043137256,0.13333334,1.0
0.36078432,0.0627451,0.14117648,1.0
0.41568628,0.08627451,0.14901961,1.0
0.47058824,0.105882354,0.15686275,1.0
0.5254902,0.12941177,0.16470589,1.0
0.5764706,0.15294118,0.17254902,1.0
1.0,1.0,1.0,1.0
