r,g,b,a
0.0,0.0,0.0,1.0
0.023529412,0.023529412,0.023529412,1.0
0.047058824,0.047058824,0.047058824,1.0
0.07058824,0.07058824,0.07058824,1.0
0.09411765,0.09411765,0.09411765,1.0
0.11764706,0.11764706,0.11764706,1.0
0.14117648,0.14117648,0.14117648,1.0
0.16470589,0.16470589,0.16470589,1.0
0.1882353,0.1882353,0.1882353,1.0
0.21176471,0.21176471,0.21176471,1.0
0.23529412,0.23529412,0.23529412,1.0
0.25882354,0.25882354,0.25882354,1.0
0.28235295,0.28235295,0.28235295,1.0
0.30588236,0.30588236,0.30588236,1.0
0.32941177,0.32941177,0.32941177,1.0
0.3529412,0.3529412,0.3529412,1.0
0.3764706,0.3764706,0.3764706,1.0
0.4,0.4,0.4,1.0
0.42352942,0.42352942,0.42352942,1.0
0.44705883,0.44705883,0.44705883,1.0
0.47058824,0.47058824,0.47058824,1.0
0.49411765,0.49411765,0.49411765,1.0
0.5176471,0.5176471,0.5176471,1.0
0.5411765,0.5411765,0.5411765,1.0
0.5647059,0.5647059,0.5647059,1.0
0.5882353,0.5882353,0.5882353,1.0
0.6117647,0.6117647,0.6117647,1.0
0.63529414,0.63529414,0.63529414,1.0
0.65882355,0.65882355,0.65882355,1.0
0.68235296,0.68235296,0.68235296,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7294118,0.7294118,0.7294118,1.0
0.7529412,0.7529412,0.7529412,1.0
0.7764706,0.7764706,0.7764706,1.0
0.8,0.8,0.8,1.0
0.8235294,0.8235294,0.8235294,1.0
0.84705883,0.84705883,0.84705883,1.0
0.87058824,0.87058824,0.87058824,1.0
0.8980392,0.8980392,0.8980392,1.0
0.9254902,0.9254902,0.9254902,1.0
0.9490196,0.9490196,0.9490196,1.0
0.972549,0.972549,0.972549,1.0
1.0,1.0,1.0,1.0
0.39215687,0.39215687,0.0,1.0
0.69803923,0.69803923,0.0,1.0
1.0,1.0,0.0,1.0
0.0,0.0,0.47058824,1.0
0.0,0.15686275,0.627451,1.0
0.0,0.47058824,0.78431374,1.0
0.0,0.47058824,0.78431374,1.0
0.0,0.7372549,0.9411765,1.0
0.0,1.0,1.0,1.0
0.33333334,0.0,0.0,1.0
0.6666667,0.0,0.0,1.0
0.6666667,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.0,0.9411765,0.0,1.0
0.47058824,1.0,0.47058824,1.0
0.78431374,1.0,0.78431374,1.0
0.39215687,0.39215687,0.39215687,1.0
0.52156866,0.52156866,0.52156866,1.0
0.654902,0.654902,0.654902,1.0
0.78431374,0.78431374,0.78431374,1.0
1.0,1.0,1.0,1.0
