r,g,b,a
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.19607843,0.19607843,0.19607843,1.0
0.3137255,0.3137255,0.3137255,1.0
0.43137255,0.43137255,0.43137255,1.0
0.54901963,0.54901963,0.54901963,1.0
0.6666667,0.6666667,0.6666667,1.0
0.78431374,0.78431374,0.78431374,1.0
0.0,0.39215687,0.39215687,1.0
0.0,0.54509807,0.54509807,1.0
0.0,0.69803923,0.69803923,1.0
0.0,0.8509804,0.8509804,1.0
0.0,1.0,1.0,1.0
0.0,0.0,0.39215687,1.0
0.0,0.0,0.59607846,1.0
0.0,0.0,0.8,1.0
0.0,0.0,1.0,1.0
0.0,0.39215687,0.0,1.0
0.0,0.69803923,0.0,1.0
0.0,1.0,0.0,1.0
0.39215687,0.39215687,0.0,1.0
0.69803923,0.69803923,0.0,1.0
1.0,1.0,0.0,1.0
0.39215687,0.19607843,0.0,1.0
0.69803923,0.39215687,0.0,1.0
1.0,0.5882353,0.0,1.0
0.39215687,0.0,0.0,1.0
0.6666667,0.0,0.0,1.0
0.94509804,0.0,0.0,1.0
0.39215687,0.0,0.39215687,1.0
0.69803923,0.0,0.69803923,1.0
1.0,0.0,1.0,1.0
0.39215687,0.39215687,0.39215687,1.0
0.54509807,0.54509807,0.54509807,1.0
0.69803923,0.69803923,0.69803923,1.0
0.8509804,0.8509804,0.8509804,1.0
1.0,1.0,1.0,1.0
0.9372549,0.9372549,0.9372549,1.0
0.96862745,0.96862745,0.96862745,1.0
1.0,1.0,1.0,1.0
