r,g,b,a
1.0,1.0,1.0,0.09803922
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.15686275,0.15686275,0.15686275,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.3137255,0.3137255,0.3137255,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
0.47058824,0.47058824,0.47058824,1.0
