r,g,b,a
1.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.019607844,0.50980395,1.0,1.0
0.019607844,0.5019608,1.0,1.0
0.019607844,0.49411765,1.0,1.0
0.019607844,0.48235294,1.0,1.0
0.019607844,0.4745098,1.0,1.0
0.019607844,0.4627451,1.0,1.0
0.019607844,0.45490196,1.0,1.0
0.019607844,0.44313726,1.0,1.0
0.019607844,0.43529412,1.0,1.0
0.019607844,0.42352942,1.0,1.0
0.019607844,0.41568628,1.0,1.0
0.019607844,0.40392157,1.0,1.0
0.019607844,0.39607844,1.0,1.0
0.019607844,0.3882353,1.0,1.0
0.019607844,0.3764706,1.0,1.0
0.019607844,0.36862746,1.0,1.0
0.019607844,0.35686275,1.0,1.0
0.019607844,0.34901962,1.0,1.0
0.019607844,0.3372549,1.0,1.0
0.019607844,0.32941177,1.0,1.0
0.019607844,0.31764707,1.0,1.0
0.019607844,0.30980393,1.0,1.0
0.019607844,0.29803923,1.0,1.0
0.019607844,0.2901961,1.0,1.0
0.019607844,0.2784314,1.0,1.0
0.015686275,0.27058825,1.0,1.0
0.015686275,0.2627451,1.0,1.0
0.015686275,0.2509804,1.0,1.0
0.015686275,0.24313726,1.0,1.0
0.015686275,0.23137255,1.0,1.0
0.015686275,0.22352941,1.0,1.0
0.015686275,0.21176471,1.0,1.0
0.015686275,0.20392157,1.0,1.0
0.015686275,0.19215687,1.0,1.0
0.015686275,0.18431373,1.0,1.0
0.015686275,0.17254902,1.0,1.0
0.015686275,0.16470589,1.0,1.0
0.015686275,0.15294118,1.0,1.0
0.015686275,0.14509805,1.0,1.0
0.015686275,0.13725491,1.0,1.0
0.015686275,0.1254902,1.0,1.0
0.015686275,0.11764706,1.0,1.0
0.015686275,0.105882354,1.0,1.0
0.015686275,0.09803922,1.0,1.0
0.015686275,0.08627451,1.0,1.0
0.015686275,0.078431375,1.0,1.0
0.015686275,0.06666667,1.0,1.0
0.015686275,0.05882353,1.0,1.0
0.015686275,0.047058824,1.0,1.0
0.015686275,0.039215688,1.0,1.0
0.047058824,1.0,0.03137255,1.0
0.047058824,0.99215686,0.03137255,1.0
0.047058824,0.9843137,0.03137255,1.0
0.047058824,0.972549,0.03137255,1.0
0.047058824,0.9647059,0.03137255,1.0
0.047058824,0.95686275,0.03137255,1.0
0.047058824,0.94509804,0.03137255,1.0
0.047058824,0.9372549,0.03137255,1.0
0.047058824,0.9254902,0.03137255,1.0
0.043137256,0.91764706,0.03137255,1.0
0.043137256,0.9098039,0.03137255,1.0
0.043137256,0.8980392,0.03137255,1.0
0.043137256,0.8901961,0.03137255,1.0
0.043137256,0.8784314,0.02745098,1.0
0.043137256,0.87058824,0.02745098,1.0
0.043137256,0.8627451,0.02745098,1.0
0.043137256,0.8509804,0.02745098,1.0
0.039215688,0.84313726,0.02745098,1.0
0.039215688,0.83137256,0.02745098,1.0
0.039215688,0.8235294,0.02745098,1.0
0.039215688,0.8156863,0.02745098,1.0
0.039215688,0.8039216,0.02745098,1.0
