r,g,b,a
0.0,0.0,0.0,1.0
0.02745098,0.02745098,0.02745098,1.0
0.05490196,0.05490196,0.05490196,1.0
0.08235294,0.08235294,0.08235294,1.0
0.11372549,0.11372549,0.11372549,1.0
0.14117648,0.14117648,0.14117648,1.0
0.16862746,0.16862746,0.16862746,1.0
0.19607843,0.19607843,0.19607843,1.0
0.22352941,0.22352941,0.22352941,1.0
0.2509804,0.2509804,0.2509804,1.0
0.28235295,0.28235295,0.28235295,1.0
0.30980393,0.30980393,0.30980393,1.0
0.3372549,0.3372549,0.3372549,1.0
0.3647059,0.3647059,0.3647059,1.0
0.39215687,0.39215687,0.39215687,1.0
0.41960785,0.41960785,0.41960785,1.0
0.4509804,0.4509804,0.4509804,1.0
0.47843137,0.47843137,0.47843137,1.0
0.5058824,0.5058824,0.5058824,1.0
0.53333336,0.53333336,0.53333336,1.0
0.56078434,0.56078434,0.56078434,1.0
0.5882353,0.5882353,0.5882353,1.0
0.61960787,0.61960787,0.61960787,1.0
0.64705884,0.64705884,0.64705884,1.0
0.6745098,0.6745098,0.6745098,1.0
0.7019608,0.7019608,0.7019608,1.0
0.60784316,0.827451,0.8745098,1.0
0.58431375,0.8235294,0.8784314,1.0
0.56078434,0.8156863,0.8862745,1.0
0.53333336,0.8117647,0.8901961,1.0
0.50980395,0.80784315,0.89411765,1.0
0.4862745,0.8,0.9019608,1.0
0.4627451,0.79607844,0.90588236,1.0
0.43529412,0.7921569,0.9098039,1.0
0.4117647,0.78431374,0.91764706,1.0
0.3882353,0.78039217,0.92156863,1.0
0.3647059,0.7764706,0.9254902,1.0
0.3372549,0.76862746,0.93333334,1.0
0.3137255,0.7647059,0.9372549,1.0
0.2901961,0.7607843,0.9411765,1.0
0.26666668,0.7529412,0.9490196,1.0
0.23921569,0.7490196,0.9529412,1.0
0.21568628,0.74509805,0.95686275,1.0
0.19215687,0.7372549,0.9647059,1.0
0.16862746,0.73333335,0.96862745,1.0
0.14117648,0.7294118,0.972549,1.0
0.11764706,0.72156864,0.98039216,1.0
0.09411765,0.7176471,0.9843137,1.0
0.07058824,0.7137255,0.9882353,1.0
0.043137256,0.7058824,0.99607843,1.0
0.019607844,0.7019608,1.0,1.0
0.019607844,0.5019608,1.0,1.0
0.019607844,0.49411765,1.0,1.0
0.019607844,0.48235294,1.0,1.0
0.019607844,0.4745098,1.0,1.0
0.019607844,0.46666667,1.0,1.0
0.019607844,0.45490196,1.0,1.0
0.019607844,0.44705883,1.0,1.0
0.019607844,0.43529412,1.0,1.0
0.019607844,0.42745098,1.0,1.0
0.019607844,0.41960785,1.0,1.0
0.019607844,0.40784314,1.0,1.0
0.019607844,0.4,1.0,1.0
0.019607844,0.39215687,1.0,1.0
0.019607844,0.38039216,1.0,1.0
0.019607844,0.37254903,1.0,1.0
0.019607844,0.3647059,1.0,1.0
