r,g,b,a
1.0,1.0,1.0,0.0
0.0,0.9254902,0.9254902,1.0
0.003921569,0.627451,0.9647059,1.0
0.003921569,0.627451,0.9647059,1.0
0.003921569,0.627451,0.9647059,1.0
0.0,0.0,0.9647059,1.0
0.0,0.0,0.9647059,1.0
0.0,0.0,0.9647059,1.0
0.0,0.0,0.9647059,1.0
0.0,0.0,0.9647059,1.0
0.0,0.0,0.9647059,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.78431374,0.0,1.0
0.0,0.5647059,0.0,1.0
0.0,0.5647059,0.0,1.0
0.0,0.5647059,0.0,1.0
0.0,0.5647059,0.0,1.0
0.0,0.5647059,0.0,1.0
0.0,0.5647059,0.0,1.0
0.0,0.5647059,0.0,1.0
0.0,0.5647059,0.0,1.0
0.0,0.5647059,0.0,1.0
0.0,0.5647059,0.0,1.0
0.0,0.5647059,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.90588236,0.7529412,0.0,1.0
0.90588236,0.7529412,0.0,1.0
0.90588236,0.7529412,0.0,1.0
0.90588236,0.7529412,0.0,1.0
0.90588236,0.7529412,0.0,1.0
0.90588236,0.7529412,0.0,1.0
0.90588236,0.7529412,0.0,1.0
0.90588236,0.7529412,0.0,1.0
0.90588236,0.7529412,0.0,1.0
0.90588236,0.7529412,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.5647059,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
