r,g,b,a
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
0.65882355,0.65882355,0.65882355,1.0
0.64705884,0.64705884,0.64705884,1.0
0.6313726,0.6313726,0.6313726,1.0
0.61960787,0.61960787,0.61960787,1.0
0.60784316,0.60784316,0.60784316,1.0
0.5921569,0.5921569,0.5921569,1.0
0.5803922,0.5803922,0.5803922,1.0
0.5647059,0.5647059,0.5647059,1.0
0.5529412,0.5529412,0.5529412,1.0
0.5411765,0.5411765,0.5411765,1.0
0.5254902,0.5254902,0.5254902,1.0
0.5137255,0.5137255,0.5137255,1.0
0.5019608,0.5019608,0.5019608,1.0
0.4862745,0.4862745,0.4862745,1.0
0.4745098,0.4745098,0.4745098,1.0
0.45882353,0.45882353,0.45882353,1.0
0.45490196,0.45490196,0.45490196,1.0
0.44705883,0.44705883,0.44705883,1.0
0.44313726,0.44313726,0.44313726,1.0
0.43529412,0.43529412,0.43529412,1.0
0.43137255,0.43137255,0.43137255,1.0
0.42352942,0.42352942,0.42352942,1.0
0.41960785,0.41960785,0.41960785,1.0
0.4117647,0.4117647,0.4117647,1.0
0.40784314,0.40784314,0.40784314,1.0
0.4,0.4,0.4,1.0
0.39607844,0.39607844,0.39607844,1.0
0.3882353,0.3882353,0.3882353,1.0
0.38431373,0.38431373,0.38431373,1.0
0.3764706,0.3764706,0.3764706,1.0
0.019607844,0.9843137,1.0,1.0
0.019607844,0.96862745,0.9843137,1.0
0.019607844,0.9490196,0.9647059,1.0
0.019607844,0.93333334,0.9490196,1.0
0.019607844,0.9137255,0.92941177,1.0
0.019607844,0.8980392,0.9098039,1.0
0.019607844,0.8784314,0.89411765,1.0
0.019607844,0.85882354,0.8745098,1.0
0.019607844,0.84313726,0.85490197,1.0
0.019607844,0.8235294,0.8392157,1.0
0.019607844,0.80784315,0.81960785,1.0
