r,g,b,a
1.0,1.0,1.0,0.0
0.1254902,0.1254902,0.1254902,1.0
0.13333334,0.13333334,0.13333334,1.0
0.14117648,0.14117648,0.14117648,1.0
0.14901961,0.14901961,0.14901961,1.0
0.16078432,0.16078432,0.16078432,1.0
0.16862746,0.16862746,0.16862746,1.0
0.1764706,0.1764706,0.1764706,1.0
0.18431373,0.18431373,0.18431373,1.0
0.19215687,0.19215687,0.19215687,1.0
0.2,0.2,0.2,1.0
0.20784314,0.20784314,0.20784314,1.0
0.21568628,0.21568628,0.21568628,1.0
0.22352941,0.22352941,0.22352941,1.0
0.23529412,0.23529412,0.23529412,1.0
0.24313726,0.24313726,0.24313726,1.0
0.2509804,0.2509804,0.2509804,1.0
0.25882354,0.25882354,0.25882354,1.0
0.26666668,0.26666668,0.26666668,1.0
0.2784314,0.2784314,0.2784314,1.0
0.28627452,0.28627452,0.28627452,1.0
0.29411766,0.29411766,0.29411766,1.0
0.3019608,0.3019608,0.3019608,1.0
0.30980393,0.30980393,0.30980393,1.0
0.31764707,0.31764707,0.31764707,1.0
0.3254902,0.3254902,0.3254902,1.0
0.33333334,0.33333334,0.33333334,1.0
0.34509805,0.34509805,0.34509805,1.0
0.3529412,0.3529412,0.3529412,1.0
0.36078432,0.36078432,0.36078432,1.0
0.36862746,0.36862746,0.36862746,1.0
0.3764706,0.3764706,0.3764706,1.0
0.38431373,0.38431373,0.38431373,1.0
0.39607844,0.39607844,0.39607844,1.0
0.40392157,0.40392157,0.40392157,1.0
0.40784314,0.40784314,0.40784314,1.0
0.41960785,0.41960785,0.41960785,1.0
0.42352942,0.42352942,0.42352942,1.0
0.43529412,0.43529412,0.43529412,1.0
0.44313726,0.44313726,0.44313726,1.0
0.4509804,0.4509804,0.4509804,1.0
0.4627451,0.4627451,0.4627451,1.0
0.47058824,0.47058824,0.47058824,1.0
0.4745098,0.4745098,0.4745098,1.0
0.48235294,0.48235294,0.48235294,1.0
0.49411765,0.49411765,0.49411765,1.0
0.5019608,0.49019608,0.003921569,1.0
0.50980395,0.49803922,0.003921569,1.0
0.5176471,0.5058824,0.003921569,1.0
0.5294118,0.5176471,0.003921569,1.0
0.5372549,0.5254902,0.003921569,1.0
0.54901963,0.5372549,0.003921569,1.0
0.5568628,0.54509807,0.003921569,1.0
0.5686275,0.5568628,0.003921569,1.0
0.5764706,0.5647059,0.003921569,1.0
0.5882353,0.5764706,0.003921569,1.0
0.59607846,0.58431375,0.003921569,1.0
0.60784316,0.59607846,0.003921569,1.0
0.6156863,0.6039216,0.003921569,1.0
0.627451,0.6156863,0.003921569,1.0
0.63529414,0.62352943,0.003921569,1.0
0.64705884,0.63529414,0.003921569,1.0
0.654902,0.6431373,0.003921569,1.0
0.6666667,0.654902,0.003921569,1.0
0.6745098,0.6627451,0.003921569,1.0
0.6862745,0.67058825,0.003921569,1.0
0.69411767,0.68235296,0.003921569,1.0
0.7058824,0.6901961,0.003921569,1.0
0.7137255,0.7019608,0.003921569,1.0
0.7254902,0.70980394,0.003921569,1.0
0.73333335,0.72156864,0.003921569,1.0
0.74509805,0.7294118,0.003921569,1.0
0.7529412,0.7411765,0.007843138,1.0
0.7647059,0.7490196,0.007843138,1.0
0.77254903,0.7607843,0.007843138,1.0
0.78431374,0.76862746,0.007843138,1.0
0.7921569,0.78039217,0.007843138,1.0
0.8039216,0.7882353,0.007843138,1.0
0.8117647,0.8,0.007843138,1.0
0.8235294,0.80784315,0.007843138,1.0
0.83137256,0.81960785,0.007843138,1.0
0.84313726,0.827451,0.007843138,1.0
0.8509804,0.8352941,0.007843138,1.0
0.8627451,0.84705883,0.007843138,1.0
0.87058824,0.85490197,0.007843138,1.0
0.88235295,0.8666667,0.007843138,1.0
0.8901961,0.8745098,0.007843138,1.0
0.9019608,0.8862745,0.007843138,1.0
0.9098039,0.89411765,0.007843138,1.0
0.92156863,0.90588236,0.007843138,1.0
0.92941177,0.9137255,0.007843138,1.0
0.9411765,0.9254902,0.007843138,1.0
0.9490196,0.93333334,0.007843138,1.0
0.9607843,0.94509804,0.007843138,1.0
0.96862745,0.9529412,0.007843138,1.0
0.98039216,0.9647059,0.007843138,1.0
0.9882353,0.972549,0.007843138,1.0
0.5019608,0.0,0.0,1.0
0.50980395,0.0,0.0,1.0
0.5176471,0.0,0.0,1.0
0.5294118,0.0,0.0,1.0
0.5372549,0.0,0.0,1.0
0.54901963,0.0,0.0,1.0
0.5568628,0.0,0.0,1.0
0.5686275,0.0,0.0,1.0
0.5764706,0.0,0.0,1.0
0.5882353,0.0,0.0,1.0
0.59607846,0.0,0.0,1.0
0.60784316,0.0,0.0,1.0
0.6156863,0.0,0.0,1.0
0.627451,0.0,0.0,1.0
0.63529414,0.0,0.0,1.0
0.64705884,0.0,0.0,1.0
0.654902,0.0,0.0,1.0
0.6666667,0.0,0.0,1.0
0.6745098,0.0,0.0,1.0
0.6862745,0.0,0.0,1.0
0.69411767,0.0,0.0,1.0
0.7058824,0.0,0.0,1.0
0.7137255,0.0,0.0,1.0
0.7254902,0.0,0.0,1.0
0.73333335,0.0,0.0,1.0
0.74509805,0.0,0.0,1.0
0.7529412,0.0,0.0,1.0
0.7647059,0.0,0.0,1.0
0.77254903,0.0,0.0,1.0
0.78431374,0.0,0.0,1.0
0.7921569,0.0,0.0,1.0
0.8039216,0.0,0.0,1.0
0.8117647,0.0,0.0,1.0
0.8235294,0.0,0.0,1.0
0.83137256,0.0,0.0,1.0
0.84313726,0.0,0.0,1.0
0.8509804,0.0,0.0,1.0
0.8627451,0.0,0.0,1.0
0.87058824,0.0,0.0,1.0
0.88235295,0.0,0.0,1.0
0.8901961,0.0,0.0,1.0
0.9019608,0.0,0.0,1.0
0.9098039,0.0,0.0,1.0
0.92156863,0.0,0.0,1.0
0.92941177,0.0,0.0,1.0
0.9411765,0.0,0.0,1.0
0.9490196,0.0,0.0,1.0
0.9607843,0.0,0.0,1.0
0.96862745,0.0,0.0,1.0
0.98039216,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
1.0,0.0,0.03137255,1.0
1.0,0.019607844,0.047058824,1.0
1.0,0.039215688,0.06666667,1.0
1.0,0.05882353,0.08627451,1.0
1.0,0.078431375,0.105882354,1.0
1.0,0.09803922,0.1254902,1.0
1.0,0.11764706,0.14509805,1.0
1.0,0.13725491,0.16078432,1.0
1.0,0.15686275,0.18039216,1.0
1.0,0.1764706,0.2,1.0
1.0,0.19607843,0.21960784,1.0
1.0,0.21568628,0.23921569,1.0
1.0,0.23529412,0.25882354,1.0
1.0,0.25490198,0.27450982,1.0
1.0,0.27450982,0.29411766,1.0
1.0,0.29411766,0.3137255,1.0
1.0,0.3137255,0.33333334,1.0
1.0,0.33333334,0.3529412,1.0
1.0,0.3529412,0.37254903,1.0
1.0,0.37254903,0.39215687,1.0
1.0,0.39215687,0.40784314,1.0
1.0,0.4117647,0.42745098,1.0
1.0,0.43137255,0.44705883,1.0
1.0,0.4509804,0.46666667,1.0
1.0,0.47058824,0.4862745,1.0
1.0,0.49019608,0.5058824,1.0
1.0,0.50980395,0.52156866,1.0
1.0,0.5294118,0.5411765,1.0
1.0,0.54901963,0.56078434,1.0
1.0,0.5686275,0.5803922,1.0
1.0,0.5882353,0.6,1.0
1.0,0.60784316,0.61960787,1.0
1.0,0.627451,0.63529414,1.0
1.0,0.64705884,0.654902,1.0
1.0,0.6666667,0.6745098,1.0
1.0,0.6862745,0.69411767,1.0
1.0,0.7058824,0.7137255,1.0
1.0,0.7254902,0.73333335,1.0
1.0,0.74509805,0.7529412,1.0
1.0,0.7647059,0.76862746,1.0
1.0,0.78431374,0.7882353,1.0
1.0,0.8039216,0.80784315,1.0
1.0,0.8235294,0.827451,1.0
1.0,0.84313726,0.84705883,1.0
1.0,0.8627451,0.8666667,1.0
1.0,0.88235295,0.88235295,1.0
1.0,0.9019608,0.9019608,1.0
1.0,0.92156863,0.92156863,1.0
1.0,0.9411765,0.9411765,1.0
1.0,0.9607843,0.9607843,1.0
1.0,0.98039216,0.98039216,1.0
1.0,1.0,1.0,1.0
0.9843137,1.0,1.0,1.0
0.96862745,1.0,1.0,1.0
0.9490196,1.0,1.0,1.0
0.93333334,1.0,1.0,1.0
0.9137255,1.0,1.0,1.0
0.8980392,1.0,1.0,1.0
0.8784314,1.0,1.0,1.0
0.8627451,1.0,1.0,1.0
0.84313726,1.0,1.0,1.0
0.827451,1.0,1.0,1.0
0.80784315,1.0,1.0,1.0
0.7921569,1.0,1.0,1.0
0.77254903,1.0,1.0,1.0
0.75686276,0.99607843,1.0,1.0
0.7411765,0.99607843,1.0,1.0
0.72156864,0.99607843,1.0,1.0
0.7058824,0.99607843,1.0,1.0
0.6862745,0.99607843,1.0,1.0
0.67058825,0.99607843,1.0,1.0
0.6509804,0.99607843,1.0,1.0
0.63529414,0.99607843,1.0,1.0
0.6156863,0.99607843,1.0,1.0
0.6,0.99607843,1.0,1.0
0.5803922,0.99607843,1.0,1.0
0.5647059,0.99607843,1.0,1.0
0.54509807,0.99607843,1.0,1.0
0.5294118,0.99607843,1.0,1.0
0.5137255,0.99215686,1.0,1.0
0.49411765,0.99215686,1.0,1.0
0.47843137,0.99215686,1.0,1.0
0.45882353,0.99215686,1.0,1.0
0.44313726,0.99215686,1.0,1.0
0.42352942,0.99215686,1.0,1.0
0.40784314,0.99215686,1.0,1.0
0.3882353,0.99215686,1.0,1.0
0.37254903,0.99215686,1.0,1.0
0.3529412,0.99215686,1.0,1.0
0.3372549,0.99215686,1.0,1.0
0.31764707,0.99215686,1.0,1.0
0.3019608,0.99215686,1.0,1.0
0.28235295,0.99215686,1.0,1.0
0.26666668,0.9882353,1.0,1.0
0.2509804,0.9882353,1.0,1.0
0.23137255,0.9882353,1.0,1.0
0.21568628,0.9882353,1.0,1.0
0.19607843,0.9882353,1.0,1.0
0.18039216,0.9882353,1.0,1.0
0.16078432,0.9882353,1.0,1.0
0.14509805,0.9882353,1.0,1.0
0.1254902,0.9882353,1.0,1.0
0.10980392,0.9882353,1.0,1.0
0.09019608,0.9882353,1.0,1.0
0.07450981,0.9882353,1.0,1.0
0.05490196,0.9882353,1.0,1.0
0.039215688,0.9882353,1.0,1.0
0.0,0.88235295,1.0,1.0
