r,g,b,a
1.0,1.0,1.0,0.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.7058824,0.7058824,0.7058824,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.5019608,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.49803922,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,0.7490196,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.7490196,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
0.7490196,0.49803922,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.7490196,0.0,0.0,1.0
0.7490196,0.0,0.0,1.0
0.7490196,0.0,0.0,1.0
0.7490196,0.0,0.0,1.0
0.7490196,0.0,0.0,1.0
0.7490196,0.0,0.0,1.0
0.7490196,0.0,0.0,1.0
0.7490196,0.0,0.0,1.0
0.7490196,0.0,0.0,1.0
