r,g,b,a
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
0.5019608,0.9764706,0.9490196,1.0
0.4862745,0.9607843,0.9411765,1.0
0.46666667,0.9490196,0.92941177,1.0
0.4509804,0.93333334,0.92156863,1.0
0.43137255,0.91764706,0.9137255,1.0
0.41568628,0.9019608,0.90588236,1.0
0.39607844,0.8901961,0.89411765,1.0
0.38039216,0.8745098,0.8862745,1.0
0.3647059,0.85882354,0.8784314,1.0
0.34509805,0.84705883,0.8666667,1.0
0.32941177,0.83137256,0.85882354,1.0
0.30980393,0.8156863,0.8509804,1.0
0.29411766,0.8,0.84313726,1.0
0.27450982,0.7882353,0.83137256,1.0
0.25882354,0.77254903,0.8235294,1.0
0.24313726,0.75686276,0.8156863,1.0
0.22352941,0.74509805,0.8039216,1.0
0.20784314,0.7294118,0.79607844,1.0
0.1882353,0.7137255,0.7882353,1.0
0.17254902,0.69803923,0.78039217,1.0
0.15294118,0.6862745,0.76862746,1.0
0.13725491,0.67058825,0.7607843,1.0
0.011764706,0.42745098,1.0,1.0
0.011764706,0.41568628,1.0,1.0
