r,g,b,a
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.9882353,0.9882353,0.9882353,3.0
0.9647059,0.9647059,0.9647059,3.0
0.94509804,0.94509804,0.94509804,3.0
0.9254902,0.9254902,0.9254902,3.0
0.90588236,0.90588236,0.90588236,3.0
0.8862745,0.8862745,0.8862745,3.0
0.8666667,0.8666667,0.8666667,3.0
0.84705883,0.84705883,0.84705883,3.0
0.827451,0.827451,0.827451,3.0
0.80784315,0.80784315,0.80784315,3.0
0.78431374,0.78431374,0.78431374,3.0
0.7647059,0.7647059,0.7647059,3.0
0.74509805,0.74509805,0.74509805,3.0
0.7254902,0.7254902,0.7254902,3.0
0.7058824,0.7058824,0.7058824,3.0
0.6862745,0.6862745,0.6862745,3.0
0.6666667,0.6666667,0.6666667,3.0
0.64705884,0.64705884,0.64705884,3.0
0.627451,0.627451,0.627451,3.0
0.60784316,0.60784316,0.60784316,3.0
0.58431375,0.58431375,0.58431375,3.0
0.5647059,0.5647059,0.5647059,3.0
0.54509807,0.54509807,0.54509807,3.0
0.5254902,0.5254902,0.5254902,3.0
0.5058824,0.5058824,0.5058824,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.49803922,0.49803922,0.49803922,3.0
0.5176471,0.5176471,0.4745098,3.0
0.5372549,0.5372549,0.45490196,3.0
0.5568628,0.5568628,0.43529412,3.0
0.5764706,0.5764706,0.41568628,3.0
0.59607846,0.59607846,0.39607844,3.0
0.6156863,0.6156863,0.3764706,3.0
0.63529414,0.63529414,0.35686275,3.0
0.654902,0.654902,0.3372549,3.0
0.6784314,0.6784314,0.31764707,3.0
0.69803923,0.69803923,0.29803923,3.0
0.7176471,0.7176471,0.2784314,3.0
0.7372549,0.7372549,0.25882354,3.0
0.75686276,0.75686276,0.23529412,3.0
0.7764706,0.7764706,0.21568628,3.0
0.79607844,0.79607844,0.19607843,3.0
0.8156863,0.8156863,0.1764706,3.0
0.8392157,0.8392157,0.15686275,3.0
0.85882354,0.85882354,0.13725491,3.0
0.8784314,0.8784314,0.11764706,3.0
0.8980392,0.8980392,0.09803922,3.0
0.91764706,0.91764706,0.078431375,3.0
0.9372549,0.9372549,0.05882353,3.0
0.95686275,0.95686275,0.039215688,3.0
0.9764706,0.9764706,0.019607844,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,0.91764706,0.0,3.0
1.0,0.8392157,0.0,3.0
1.0,0.75686276,0.0,3.0
1.0,0.6784314,0.0,3.0
1.0,0.6,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.4392157,0.0,3.0
1.0,0.35686275,0.0,3.0
1.0,0.2784314,0.0,3.0
1.0,0.2,0.0,3.0
1.0,0.11764706,0.0,3.0
1.0,0.039215688,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
0.92941177,0.0,0.0,3.0
0.8627451,0.0,0.0,3.0
0.79607844,0.0,0.0,3.0
0.7294118,0.0,0.0,3.0
0.6627451,0.0,0.0,3.0
0.59607846,0.0,0.0,3.0
0.5294118,0.0,0.0,3.0
0.4627451,0.0,0.0,3.0
0.39607844,0.0,0.0,3.0
0.32941177,0.0,0.0,3.0
0.2627451,0.0,0.0,3.0
0.19607843,0.0,0.0,3.0
0.12941177,0.0,0.0,3.0
0.0627451,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
