r,g,b,a
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
0.0,0.003921569,0.0,3.0
0.0,0.003921569,0.0,3.0
0.0,0.003921569,0.0,3.0
0.0,0.003921569,0.0,3.0
0.0,0.003921569,0.0,3.0
0.0,0.007843138,0.0,3.0
0.0,0.007843138,0.0,3.0
0.0,0.007843138,0.0,3.0
0.0,0.007843138,0.0,3.0
0.0,0.007843138,0.0,3.0
0.0,0.011764706,0.0,3.0
0.0,0.011764706,0.0,3.0
0.0,0.011764706,0.0,3.0
0.0,0.011764706,0.0,3.0
0.0,0.011764706,0.0,3.0
0.0,0.015686275,0.0,3.0
0.0,0.015686275,0.0,3.0
0.0,0.015686275,0.0,3.0
0.0,0.015686275,0.0,3.0
0.0,0.015686275,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.0,0.019607844,0.0,3.0
0.99607843,0.9019608,0.88235295,3.0
0.9882353,0.8901961,0.8901961,3.0
0.98039216,0.8784314,0.9019608,3.0
0.9764706,0.87058824,0.9098039,3.0
0.96862745,0.85882354,0.92156863,3.0
0.9607843,0.84705883,0.92941177,3.0
0.95686275,0.8392157,0.9411765,3.0
0.9490196,0.827451,0.9490196,3.0
0.9411765,0.8156863,0.9607843,3.0
0.9372549,0.80784315,0.96862745,3.0
0.92941177,0.79607844,0.98039216,3.0
0.92156863,0.78431374,0.9882353,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.91764706,0.7764706,1.0,3.0
0.9098039,0.76862746,1.0,3.0
0.90588236,0.7647059,1.0,3.0
0.9019608,0.75686276,1.0,3.0
0.89411765,0.7529412,1.0,3.0
0.8901961,0.74509805,1.0,3.0
0.8862745,0.7411765,1.0,3.0
0.8784314,0.73333335,1.0,3.0
0.8745098,0.7294118,1.0,3.0
0.87058824,0.72156864,1.0,3.0
0.8627451,0.7176471,1.0,3.0
0.85882354,0.70980394,1.0,3.0
0.85490197,0.7058824,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.8509804,0.7019608,1.0,3.0
0.827451,0.70980394,0.99607843,3.0
0.7764706,0.7254902,0.9882353,3.0
0.7294118,0.7411765,0.9843137,3.0
0.6784314,0.7607843,0.9764706,3.0
0.6313726,0.7764706,0.972549,3.0
0.5803922,0.79607844,0.9647059,3.0
0.53333336,0.8117647,0.9607843,3.0
0.4862745,0.827451,0.95686275,3.0
0.43529412,0.84705883,0.9490196,3.0
0.3882353,0.8627451,0.94509804,3.0
0.3372549,0.88235295,0.9372549,3.0
0.2901961,0.8980392,0.93333334,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.24313726,0.91764706,0.92941177,3.0
0.22352941,0.8980392,0.93333334,3.0
0.20392157,0.88235295,0.9372549,3.0
0.18431373,0.8666667,0.94509804,3.0
0.16862746,0.8509804,0.9490196,3.0
0.14901961,0.8352941,0.95686275,3.0
0.12941177,0.81960785,0.9607843,3.0
0.10980392,0.8,0.96862745,3.0
0.09411765,0.78431374,0.972549,3.0
0.07450981,0.76862746,0.9764706,3.0
0.05490196,0.7529412,0.9843137,3.0
0.039215688,0.7372549,0.9882353,3.0
0.019607844,0.72156864,0.99607843,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.011764706,0.7137255,1.0,3.0
0.047058824,0.73333335,0.93333334,3.0
0.08627451,0.75686276,0.8666667,3.0
0.1254902,0.78039217,0.8,3.0
0.16470589,0.8039216,0.73333335,3.0
0.2,0.827451,0.6666667,3.0
0.23921569,0.8509804,0.6,3.0
0.2784314,0.87058824,0.53333336,3.0
0.31764707,0.89411765,0.46666667,3.0
0.3529412,0.91764706,0.4,3.0
0.39215687,0.9411765,0.33333334,3.0
0.43137255,0.9647059,0.26666668,3.0
0.47058824,0.9882353,0.2,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.49019608,1.0,0.16862746,3.0
0.5137255,1.0,0.16862746,3.0
0.5372549,1.0,0.16862746,3.0
0.56078434,1.0,0.16862746,3.0
0.58431375,1.0,0.16862746,3.0
0.6117647,1.0,0.16862746,3.0
0.63529414,1.0,0.16862746,3.0
0.65882355,1.0,0.16862746,3.0
0.68235296,1.0,0.16862746,3.0
0.70980394,1.0,0.16862746,3.0
0.73333335,1.0,0.16862746,3.0
0.75686276,1.0,0.16862746,3.0
0.78039217,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.79607844,1.0,0.16862746,3.0
0.8117647,0.9607843,0.15294118,3.0
0.827451,0.92156863,0.14117648,3.0
0.84313726,0.88235295,0.1254902,3.0
0.85882354,0.84313726,0.11372549,3.0
0.8745098,0.8039216,0.09803922,3.0
0.8901961,0.7647059,0.08627451,3.0
0.9098039,0.7294118,0.07058824,3.0
0.9254902,0.6901961,0.05882353,3.0
0.9411765,0.6509804,0.047058824,3.0
0.95686275,0.6117647,0.03137255,3.0
0.972549,0.57254905,0.019607844,3.0
0.9882353,0.53333336,0.003921569,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.5176471,0.0,3.0
1.0,0.48235294,0.0,3.0
1.0,0.44705883,0.0,3.0
1.0,0.4117647,0.0,3.0
1.0,0.3764706,0.0,3.0
1.0,0.34117648,0.0,3.0
1.0,0.30980393,0.0,3.0
1.0,0.27450982,0.0,3.0
1.0,0.23921569,0.0,3.0
1.0,0.20392157,0.0,3.0
1.0,0.16862746,0.0,3.0
1.0,0.13725491,0.0,3.0
1.0,0.101960786,0.0,3.0
1.0,0.06666667,0.0,3.0
1.0,0.03137255,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
1.0,0.0,0.0,3.0
