r,g,b,a
0.3529412,0.3529412,0.3529412,1.0
0.3647059,0.34901962,0.3764706,1.0
0.37254903,0.34509805,0.4,1.0
0.38431373,0.34117648,0.42352942,1.0
0.39215687,0.3372549,0.44705883,1.0
0.40392157,0.33333334,0.47058824,1.0
0.4117647,0.32941177,0.49411765,1.0
0.42352942,0.32941177,0.5176471,1.0
0.43137255,0.3254902,0.5411765,1.0
0.44313726,0.32156864,0.5647059,1.0
0.4509804,0.31764707,0.5882353,1.0
0.4627451,0.3137255,0.6117647,1.0
0.47058824,0.30980393,0.63529414,1.0
0.48235294,0.30588236,0.6627451,1.0
0.49411765,0.3019608,0.6862745,1.0
0.5019608,0.29803923,0.70980394,1.0
0.5137255,0.29411766,0.73333335,1.0
0.52156866,0.2901961,0.75686276,1.0
0.53333336,0.28627452,0.78039217,1.0
0.5411765,0.28235295,0.8039216,1.0
0.5529412,0.28235295,0.827451,1.0
0.56078434,0.2784314,0.8509804,1.0
0.57254905,0.27450982,0.8745098,1.0
0.5803922,0.27058825,0.8980392,1.0
0.5921569,0.26666668,0.92156863,1.0
0.6,0.2627451,0.94509804,1.0
0.6117647,0.25882354,0.96862745,1.0
0.6,0.25882354,0.96862745,1.0
0.5921569,0.2627451,0.96862745,1.0
0.5803922,0.2627451,0.96862745,1.0
0.57254905,0.26666668,0.96862745,1.0
0.56078434,0.26666668,0.972549,1.0
0.54901963,0.26666668,0.972549,1.0
0.5411765,0.27058825,0.972549,1.0
0.5294118,0.27058825,0.972549,1.0
0.52156866,0.27450982,0.972549,1.0
0.50980395,0.27450982,0.972549,1.0
0.49803922,0.2784314,0.972549,1.0
0.49019608,0.2784314,0.972549,1.0
0.47843137,0.2784314,0.9764706,1.0
0.46666667,0.28235295,0.9764706,1.0
0.45882353,0.28235295,0.9764706,1.0
0.44705883,0.28627452,0.9764706,1.0
0.4392157,0.28627452,0.9764706,1.0
0.42745098,0.28627452,0.9764706,1.0
0.41568628,0.2901961,0.9764706,1.0
0.40784314,0.2901961,0.9764706,1.0
0.39607844,0.29411766,0.9764706,1.0
0.3882353,0.29411766,0.98039216,1.0
0.3764706,0.29411766,0.98039216,1.0
0.3647059,0.29803923,0.98039216,1.0
0.35686275,0.29803923,0.98039216,1.0
0.34509805,0.3019608,0.98039216,1.0
0.3372549,0.3019608,0.98039216,1.0
0.3254902,0.30588236,0.98039216,1.0
0.3137255,0.30588236,0.98039216,1.0
0.30588236,0.30588236,0.9843137,1.0
0.29411766,0.30980393,0.9843137,1.0
0.28627452,0.30980393,0.9843137,1.0
0.27450982,0.3137255,0.9843137,1.0
0.2627451,0.3137255,0.9843137,1.0
0.25490198,0.3137255,0.9843137,1.0
0.24313726,0.31764707,0.9843137,1.0
0.23529412,0.31764707,0.9843137,1.0
0.22352941,0.32156864,0.9843137,1.0
0.21176471,0.32156864,0.9882353,1.0
0.20392157,0.32156864,0.9882353,1.0
0.19215687,0.3254902,0.9882353,1.0
0.18039216,0.3254902,0.9882353,1.0
0.17254902,0.32941177,0.9882353,1.0
0.16078432,0.32941177,0.9882353,1.0
0.15294118,0.33333334,0.9882353,1.0
0.14117648,0.33333334,0.9882353,1.0
0.12941177,0.33333334,0.99215686,1.0
0.12156863,0.3372549,0.99215686,1.0
0.10980392,0.3372549,0.99215686,1.0
0.101960786,0.34117648,0.99215686,1.0
0.09019608,0.34117648,0.99215686,1.0
0.101960786,0.3529412,0.99215686,1.0
0.11764706,0.3647059,0.99215686,1.0
0.12941177,0.3764706,0.99215686,1.0
0.14509805,0.3882353,0.9882353,1.0
0.15686275,0.40392157,0.9882353,1.0
0.17254902,0.41568628,0.9882353,1.0
0.18431373,0.42745098,0.9882353,1.0
0.2,0.4392157,0.9882353,1.0
0.21176471,0.4509804,0.9882353,1.0
0.22745098,0.4627451,0.9882353,1.0
0.23921569,0.4745098,0.9843137,1.0
0.25490198,0.4862745,0.9843137,1.0
0.26666668,0.5019608,0.9843137,1.0
0.28235295,0.5137255,0.9843137,1.0
0.29411766,0.5254902,0.9843137,1.0
0.30980393,0.5372549,0.9843137,1.0
0.32156864,0.54901963,0.9843137,1.0
0.33333334,0.56078434,0.9843137,1.0
0.34901962,0.57254905,0.98039216,1.0
0.36078432,0.58431375,0.98039216,1.0
0.3764706,0.59607846,0.98039216,1.0
0.3882353,0.6117647,0.98039216,1.0
0.40392157,0.62352943,0.98039216,1.0
0.41568628,0.63529414,0.98039216,1.0
0.43137255,0.64705884,0.98039216,1.0
0.44313726,0.65882355,0.9764706,1.0
0.45882353,0.67058825,0.9764706,1.0
0.47058824,0.68235296,0.9764706,1.0
0.4862745,0.69411767,0.9764706,1.0
0.49803922,0.70980394,0.9764706,1.0
0.5137255,0.72156864,0.9764706,1.0
0.5254902,0.73333335,0.9764706,1.0
0.5411765,0.74509805,0.972549,1.0
0.5529412,0.75686276,0.972549,1.0
0.5647059,0.76862746,0.972549,1.0
0.5803922,0.78039217,0.972549,1.0
0.5921569,0.7921569,0.972549,1.0
0.60784316,0.8039216,0.972549,1.0
0.61960787,0.81960785,0.972549,1.0
0.63529414,0.83137256,0.972549,1.0
0.64705884,0.84313726,0.96862745,1.0
0.6627451,0.85490197,0.96862745,1.0
0.6745098,0.8666667,0.96862745,1.0
0.6901961,0.8784314,0.96862745,1.0
0.7019608,0.8901961,0.96862745,1.0
0.7176471,0.9019608,0.96862745,1.0
0.7294118,0.91764706,0.96862745,1.0
0.74509805,0.92941177,0.9647059,1.0
0.75686276,0.9411765,0.9647059,1.0
0.77254903,0.9529412,0.9647059,1.0
0.78431374,0.9647059,0.9647059,1.0
0.7882353,0.95686275,0.9647059,1.0
0.7882353,0.94509804,0.9647059,1.0
0.7921569,0.9372549,0.9647059,1.0
0.7921569,0.9254902,0.9647059,1.0
0.79607844,0.91764706,0.9647059,1.0
0.79607844,0.90588236,0.9647059,1.0
0.8,0.8980392,0.9647059,1.0
0.8,0.8901961,0.9647059,1.0
0.8039216,0.8784314,0.9647059,1.0
0.8039216,0.87058824,0.9647059,1.0
0.80784315,0.85882354,0.96862745,1.0
0.8117647,0.8509804,0.96862745,1.0
0.8117647,0.8392157,0.96862745,1.0
0.8156863,0.83137256,0.96862745,1.0
0.8156863,0.8235294,0.96862745,1.0
0.81960785,0.8117647,0.96862745,1.0
0.81960785,0.8039216,0.96862745,1.0
0.8235294,0.7921569,0.96862745,1.0
0.8235294,0.78431374,0.96862745,1.0
0.827451,0.7764706,0.96862745,1.0
0.827451,0.7647059,0.96862745,1.0
0.83137256,0.75686276,0.96862745,1.0
0.83137256,0.74509805,0.96862745,1.0
0.8352941,0.7372549,0.96862745,1.0
0.8392157,0.7254902,0.96862745,1.0
0.8392157,0.7176471,0.96862745,1.0
0.84313726,0.70980394,0.96862745,1.0
0.84313726,0.69803923,0.96862745,1.0
0.84705883,0.6901961,0.96862745,1.0
0.84705883,0.6784314,0.96862745,1.0
0.8509804,0.67058825,0.972549,1.0
0.8509804,0.65882355,0.972549,1.0
0.85490197,0.6509804,0.972549,1.0
0.85490197,0.6431373,0.972549,1.0
0.85882354,0.6313726,0.972549,1.0
0.8627451,0.62352943,0.972549,1.0
0.8627451,0.6117647,0.972549,1.0
0.8666667,0.6039216,0.972549,1.0
0.8666667,0.5921569,0.972549,1.0
0.87058824,0.58431375,0.972549,1.0
0.87058824,0.5764706,0.972549,1.0
0.8745098,0.5647059,0.972549,1.0
0.8745098,0.5568628,0.972549,1.0
0.8784314,0.54509807,0.972549,1.0
0.8784314,0.5372549,0.972549,1.0
0.88235295,0.5294118,0.972549,1.0
0.88235295,0.5176471,0.972549,1.0
0.8862745,0.50980395,0.972549,1.0
0.8901961,0.49803922,0.972549,1.0
0.8901961,0.49019608,0.972549,1.0
0.89411765,0.47843137,0.9764706,1.0
0.89411765,0.47058824,0.9764706,1.0
0.8980392,0.4627451,0.9764706,1.0
0.8980392,0.4509804,0.9764706,1.0
0.9019608,0.44313726,0.9764706,1.0
0.9019608,0.43137255,0.9764706,1.0
0.90588236,0.42352942,0.9764706,1.0
0.90588236,0.4117647,0.9764706,1.0
0.9098039,0.40392157,0.9764706,1.0
0.9137255,0.39607844,0.9764706,1.0
0.9137255,0.38431373,0.9764706,1.0
0.91764706,0.3764706,0.9764706,1.0
0.91764706,0.3647059,0.9764706,1.0
0.92156863,0.35686275,0.9764706,1.0
