r,g,b,a
0.3529412,0.3529412,0.3529412,3.0
1.0,0.0,0.0,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.39215687,0.78431374,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
0.0,0.78431374,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,1.0,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
1.0,0.49803922,0.0,3.0
