r,g,b,a
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.466666666666667,0.466666666666667,0.466666666666667,1.0
0.466666666666667,0.466666666666667,0.466666666666667,1.0
0.466666666666667,0.466666666666667,0.466666666666667,1.0
0.466666666666667,0.466666666666667,0.466666666666667,1.0
0.466666666666667,0.466666666666667,0.466666666666667,1.0
0.466666666666667,0.466666666666667,0.466666666666667,1.0
0.0705882352941176,0.886274509803922,0.996078431372549,1.0
0.0705882352941176,0.886274509803922,0.996078431372549,1.0
0.0705882352941176,0.886274509803922,0.996078431372549,1.0
0.0705882352941176,0.886274509803922,0.996078431372549,1.0
0.0705882352941176,0.886274509803922,0.996078431372549,1.0
0.0705882352941176,0.886274509803922,0.996078431372549,1.0
0.0392156862745098,0.792156862745098,0.996078431372549,1.0
0.0117647058823529,0.698039215686274,0.996078431372549,1.0
0.0117647058823529,0.698039215686274,0.996078431372549,1.0
0.0117647058823529,0.698039215686274,0.996078431372549,1.0
0.0117647058823529,0.698039215686274,0.996078431372549,1.0
0.0117647058823529,0.698039215686274,0.996078431372549,1.0
0.0117647058823529,0.698039215686274,0.996078431372549,1.0
0.00784313725490196,0.564705882352941,0.807843137254902,1.0
0.00784313725490196,0.564705882352941,0.807843137254902,1.0
0.00784313725490196,0.564705882352941,0.807843137254902,1.0
0.00784313725490196,0.564705882352941,0.807843137254902,1.0
0.00784313725490196,0.564705882352941,0.807843137254902,1.0
0.00784313725490196,0.564705882352941,0.807843137254902,1.0
0.196078431372549,0.0,0.584313725490196,1.0
0.196078431372549,0.0,0.584313725490196,1.0
0.196078431372549,0.0,0.584313725490196,1.0
0.196078431372549,0.0,0.584313725490196,1.0
0.196078431372549,0.0,0.584313725490196,1.0
0.196078431372549,0.0,0.584313725490196,1.0
0.0117647058823529,0.984313725490196,0.56078431372549,1.0
0.0117647058823529,0.984313725490196,0.56078431372549,1.0
0.0117647058823529,0.984313725490196,0.56078431372549,1.0
0.0117647058823529,0.984313725490196,0.56078431372549,1.0
0.0117647058823529,0.984313725490196,0.56078431372549,1.0
0.00784313725490196,0.858823529411765,0.282352941176471,1.0
0.00784313725490196,0.737254901960784,0.00784313725490196,1.0
0.00784313725490196,0.737254901960784,0.00784313725490196,1.0
0.00784313725490196,0.737254901960784,0.00784313725490196,1.0
0.00784313725490196,0.737254901960784,0.00784313725490196,1.0
0.00784313725490196,0.737254901960784,0.00784313725490196,1.0
0.00784313725490196,0.737254901960784,0.00784313725490196,1.0
0.00784313725490196,0.937254901960784,0.00784313725490196,1.0
0.00784313725490196,0.937254901960784,0.00784313725490196,1.0
0.00784313725490196,0.937254901960784,0.00784313725490196,1.0
0.00784313725490196,0.937254901960784,0.00784313725490196,1.0
0.00784313725490196,0.937254901960784,0.00784313725490196,1.0
0.00784313725490196,0.937254901960784,0.00784313725490196,1.0
0.996078431372549,0.729411764705882,0.0,1.0
0.996078431372549,0.729411764705882,0.0,1.0
0.996078431372549,0.729411764705882,0.0,1.0
0.996078431372549,0.729411764705882,0.0,1.0
0.996078431372549,0.729411764705882,0.0,1.0
0.996078431372549,0.729411764705882,0.0,1.0
0.996078431372549,0.980392156862745,0.0117647058823529,1.0
0.996078431372549,0.980392156862745,0.0117647058823529,1.0
0.996078431372549,0.980392156862745,0.0117647058823529,1.0
0.996078431372549,0.980392156862745,0.0117647058823529,1.0
0.996078431372549,0.980392156862745,0.0117647058823529,1.0
0.83921568627451,0.490196078431373,0.00392156862745098,1.0
0.686274509803922,0.0,0.0,1.0
0.686274509803922,0.0,0.0,1.0
0.686274509803922,0.0,0.0,1.0
0.686274509803922,0.0,0.0,1.0
0.996078431372549,0.0,0.0,1.0
0.996078431372549,0.0,0.0,1.0
0.996078431372549,0.0,0.0,1.0
0.996078431372549,0.0,0.0,1.0
0.996078431372549,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.349019607843137,0.349019607843137,0.349019607843137,1.0
0.349019607843137,0.349019607843137,0.349019607843137,1.0
0.356862745098039,0.356862745098039,0.356862745098039,1.0
0.368627450980392,0.368627450980392,0.368627450980392,1.0
0.376470588235294,0.376470588235294,0.376470588235294,1.0
0.388235294117647,0.388235294117647,0.388235294117647,1.0
0.4,0.4,0.4,1.0
0.407843137254902,0.407843137254902,0.407843137254902,1.0
0.419607843137255,0.419607843137255,0.419607843137255,1.0
0.427450980392157,0.427450980392157,0.427450980392157,1.0
0.43921568627451,0.43921568627451,0.43921568627451,1.0
0.447058823529412,0.447058823529412,0.447058823529412,1.0
0.447058823529412,0.447058823529412,0.447058823529412,1.0
0.458823529411765,0.458823529411765,0.458823529411765,1.0
0.466666666666667,0.466666666666667,0.466666666666667,1.0
0.47843137254902,0.47843137254902,0.47843137254902,1.0
0.486274509803922,0.486274509803922,0.486274509803922,1.0
0.498039215686275,0.498039215686275,0.498039215686275,1.0
0.509803921568627,0.509803921568627,0.509803921568627,1.0
0.517647058823529,0.517647058823529,0.517647058823529,1.0
0.529411764705882,0.529411764705882,0.529411764705882,1.0
0.537254901960784,0.537254901960784,0.537254901960784,1.0
0.549019607843137,0.549019607843137,0.549019607843137,1.0
0.556862745098039,0.556862745098039,0.556862745098039,1.0
0.556862745098039,0.556862745098039,0.556862745098039,1.0
0.568627450980392,0.568627450980392,0.568627450980392,1.0
0.576470588235294,0.576470588235294,0.576470588235294,1.0
0.588235294117647,0.588235294117647,0.588235294117647,1.0
0.6,0.6,0.6,1.0
0.607843137254902,0.607843137254902,0.607843137254902,1.0
0.619607843137255,0.619607843137255,0.619607843137255,1.0
0.627450980392157,0.627450980392157,0.627450980392157,1.0
0.63921568627451,0.63921568627451,0.63921568627451,1.0
0.647058823529412,0.647058823529412,0.647058823529412,1.0
0.658823529411765,0.658823529411765,0.658823529411765,1.0
0.666666666666667,0.666666666666667,0.666666666666667,1.0
0.666666666666667,0.666666666666667,0.666666666666667,1.0
0.67843137254902,0.67843137254902,0.67843137254902,1.0
0.686274509803922,0.686274509803922,0.686274509803922,1.0
0.698039215686274,0.698039215686274,0.698039215686274,1.0
0.709803921568627,0.709803921568627,0.709803921568627,1.0
0.717647058823529,0.717647058823529,0.717647058823529,1.0
0.729411764705882,0.729411764705882,0.729411764705882,1.0
0.737254901960784,0.737254901960784,0.737254901960784,1.0
0.749019607843137,0.749019607843137,0.749019607843137,1.0
0.756862745098039,0.756862745098039,0.756862745098039,1.0
0.768627450980392,0.768627450980392,0.768627450980392,1.0
0.776470588235294,0.776470588235294,0.776470588235294,1.0
0.776470588235294,0.776470588235294,0.776470588235294,1.0
0.788235294117647,0.788235294117647,0.788235294117647,1.0
0.8,0.8,0.8,1.0
0.807843137254902,0.807843137254902,0.807843137254902,1.0
0.819607843137255,0.819607843137255,0.819607843137255,1.0
